{'短评内容': '酒店设施可以，隔音效果不太好', '短评打分': 5}
{'短评内容': '酒店还不错，周边城中村环境很差', '短评打分': 2}
{'短评内容': '早餐是全素的，很乱。前台很应付，效率很慢，入住人很多的时候还在闲聊天。酒店设施很老，周边环境乱七八糟，要不是为了离白云山近，绝不会定这里。', '短评打分': 3}
{'短评内容': '酒店早餐特别棒，但是周边环境不是很好，其它的还是可以的，前台服务员太少了登記入住手续还要排队等候，总体感觉不错。', '短评打分': 4}
{'短评内容': '很不错很满意', '短评打分': 5}
{'短评内容': '不错的酒店，离广外很近', '短评打分': 5}
{'短评内容': '在山庄开会所以订这里，酒店真的太旧，客服清洁也做的一般。', '短评打分': 2}
{'短评内容': '呵呵哈哈哈叫姐姐', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '住了很多次了，感觉不错', '短评打分': 5}
{'短评内容': '設施老舊，也就服務員的態度值得肯定了。', '短评打分': 1}
{'短评内容': '不如旁边的鸣泉居度假酒店和白云会议中心的酒店好', '短评打分': 4}
{'短评内容': '虽然酒店规模不大，但是环境清幽，房间面积挺大，干净卫生，离广外很近。只是春节期间入住，外面的小吃店都没有开门，想吃个早餐还有点困难。', '短评打分': 5}
{'短评内容': '虽然酒店规模不大，但是环境清幽，房间面积挺大，干净卫生，离广外很近。只是春节期间入住，外面的小吃店都没有开门，想吃个早餐还有点困难。', '短评打分': 5}
{'短评内容': '环境安静，设施很好，隔音略微逊色，酒店前台服务很好', '短评打分': 5}
{'短评内容': '位置很好，上山方便！', '短评打分': 5}
{'短评内容': '早餐太简单', '短评打分': 4}
{'短评内容': '早餐太简单', '短评打分': 4}
{'短评内容': '早餐太简单', '短评打分': 4}
{'短评内容': '住得蛮好的~~~~~~~~~~~~~~', '短评打分': 4}
{'短评内容': '性价比较高，离广外挺近的，但位置不太好找，早餐比较单调', '短评打分': 3}
{'短评内容': '和原图差不多。感觉有点偏', '短评打分': 3}
{'短评内容': '住的豪华双人房，房间够大比较安静，深夜入住，早起拉开窗帘一汪蓝色清澈池水真是好意头。', '短评打分': 3}
{'短评内容': '酒店房间宽敞 被褥干净 卫生间很不错  大开窗子下面是游泳池  周围植被茂盛  外面鸟语花香  酒店附近有各种小吃店  总之下次还会来', '短评打分': 3}
{'短评内容': '价格合理，环境优良，但早餐只有15元/每位，不够吃的', '短评打分': 5}
{'短评内容': '服务态度有点不好，但是环境不错，早餐其实并不好，只是刚好有送的餐券才吃，有试过房间好像还没有打扫好就给客人住。', '短评打分': 5}
{'短评内容': '保利山庄挺好的，环境挺安静，距离广外也比较近，还有小型干蒸室。', '短评打分': 5}
{'短评内容': '服务态度和环境都很不错…自助餐味道也不错…', '短评打分': 3}
{'短评内容': '去广外考T的，离北门10米远。离正门CD场也就10来分钟的路程，方便干净。早餐自助~', '短评打分': 5}
{'短评内容': '因为是要考托福这是第三次住了这家酒店，离广外很近，走路很快能到，房间还算宽敞，但这次不行，安排的房间没有窗，通风不好。前两次还好，这次不满意。', '短评打分': 5}
{'短评内容': '不是太方便，房间一般般。卫生有待进一步做好', '短评打分': 1}
{'短评内容': '这次订的是高级大床房，大床小了，两个人睡比较挤，没有豪华大床房的床大，但是没有三楼的豪华大床房的很呛人的新装修的油漆味道。浴室有配桑拿房，很不错。', '短评打分': 5}
{'短评内容': '还过得去阿拉', '短评打分': 3}
{'短评内容': '酒店环境不错，价格合理，服务还可以，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店交通很方便，前台服务员态度很好，安排的房间也很安静，整体感觉不错。', '短评打分': 5}
{'短评内容': '，酒店房间宽倘，舒适干淨，是不错的休息选择，但因徧遠生活机能较不只。', '短评打分': 3}
{'短评内容': '酒店房间干净。隔音效果太差，走廊大声点说话房间均能听到。双窗房间竟然还不送矿泉水，只有大床房才配送。', '短评打分': 3}
{'短评内容': '因为是要考托福就住了这家酒店，离广外很近，走路很快能到，房间还算宽敞，就是刚装修酒店里有股难闻的味道。', '短评打分': 1}
{'短评内容': '对于旺季想来广外看孩子考试的同学们这家酒店就是最好的选择了。。。环境好，离光外北们仅数步之遥', '短评打分': 5}
{'短评内容': '酒店一般，服务较差，早餐种类极少，房间地毯很脏，电梯蚊子很肥。', '短评打分': 3}
{'短评内容': '位置有点偏，早餐很一般。房间还行。如果正好在附近办事就还行。', '短评打分': 5}
{'短评内容': '交通不便，位置比较偏僻，适合度假休闲，早餐简单', '短评打分': 1}
{'短评内容': '房间内适不错，但现在在装修闻到很大的气味！貌似酒店比较单调～没什么娱乐的项目', '短评打分': 3}
{'短评内容': '酒店距离广东外国语大学较近，走着就能过去，客房和卫生间蛮大的，性价比还可以，服务一般，卫生条件很好', '短评打分': 3}
{'短评内容': '服务态度很不错。比较热情周到，前台办事效率较快，很不错，房间硬件设施齐全，住宿条件不错，卫生条件很好，很满意', '短评打分': 5}
{'短评内容': '酒店布置的很温馨，周边出行很方便，服务贴心，服务员用语很专业礼貌，其他都还好', '短评打分': 5}
{'短评内容': '房间装修的很简单，周边交通出行方便，周边空气蛮清新的，房间硬件设施齐全，服务态度很友善，住宿环境很好', '短评打分': 5}
{'短评内容': '房间干干净净的，空间很大，空气不错，隔音一般，房间装修的还可以，服务态度不错，其他都还好', '短评打分': 5}
{'短评内容': '酒店周边环境很好，蛮安静的，房间硬件设施有些旧，但蛮齐全的，服务一般，卫生条件还好，其他都一般', '短评打分': 3}
{'短评内容': '周边交通还是很方便的，房间空间效果蛮好的，酒店内部有游泳池，服务很体贴，服务员用语专业，住着很舒服', '短评打分': 5}
