{'短评内容': '比想象中好很多了，就是被子似乎没有经常清洗，晒', '短评打分': 5}
{'短评内容': '还可以吧   床挺大的 就是设施太旧了  卫生间不是很舒适 电脑也用不了的  ', '短评打分': 4}
{'短评内容': '在县城里还算不错了，位置也可以，周围没什么人，好空旷', '短评打分': 5}
{'短评内容': '将就着吧！', '短评打分': 4}
{'短评内容': '环境不错，也很便宜，离天柱山不远，比住景区便宜很多', '短评打分': 5}
{'短评内容': '一般般，离火车站较近。', '短评打分': 3}
{'短评内容': '离火车站不远，条件还算行。不过吃饭不太方便，要走10分钟左右，才能找到合适的饭店', '短评打分': 4}
{'短评内容': '离火车站不远，条件还算行。不过吃饭不太方便，要走10分钟左右，才能找到合适的饭店', '短评打分': 4}
{'短评内容': '水或大或小！周边没吃的！比较简单的酒店', '短评打分': 3}
{'短评内容': '在火车站附近，交通方便，不错！', '短评打分': 4}
{'短评内容': '我也是够了，住宿还行吧，毕竟是小地方，可是离店被困电梯十几分钟，紧急呼叫没人应，只有打电话到前台，喊人来修速度慢，被停在半空还是跳下来的，店家前台没有任何表示，态度很不好，晚上睡觉吵死人，有些素质差的人大喊大叫，总之差评', '短评打分': 3}
{'短评内容': '地方很好找，还算干净，服务也不错，只是隔音不太好！', '短评打分': 5}
{'短评内容': '住宿还行吧 早餐比较简单 卫生条件还可以', '短评打分': 5}
{'短评内容': '稍微有点偏，旁边吃饭不方便，其他服务很好。', '短评打分': 5}
{'短评内容': '条件不错，服务态度特挺好的，就是早餐太早', '短评打分': 5}
