{'短评内容': '真的不值得推荐呀！', '短评打分': 2}
{'短评内容': '不值得推荐！', '短评打分': 2}
{'短评内容': '感觉一般般吧。', '短评打分': 2}
{'短评内容': '酒店在闹市区，真的是闹市啊，不骗你，第二天起来脑子都在自动回放“糖炒栗子，新鲜水果，糖炒栗子，新鲜水果····”至于环境，就是升级版的招待所，看了外面都不想进，里面还可以，至少床单被套很白。', '短评打分': 2}
{'短评内容': '挺好的。环境也还好', '短评打分': 5}
{'短评内容': '挺大的，房间有点空旷，靠近路边，有点吵，其他还行', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '今天是第七天住这里了，明天要回去了。', '短评打分': 5}
{'短评内容': '住六七天了，以后再也住这里。', '短评打分': 5}
{'短评内容': '住了好几天了，这里晚上好热闹。', '短评打分': 5}
{'短评内容': '总的来说对得起这个价位了，位置也比较好，出门都很方便，房间空调，热水都好用，性价比还是挺高的，服务和卫生有待提高。', '短评打分': 4}
{'短评内容': '总的来说对得起这个价位了，位置也比较好，出门都很方便，房间空调，热水都好用，性价比还是挺高的，服务和卫生有待提高。', '短评打分': 4}
{'短评内容': '总的来说对得起这个价位了，位置也比较好，出门都很方便，房间空调，热水都好用，性价比还是挺高的，服务和卫生有待提高。', '短评打分': 4}
{'短评内容': '总的来说对得起这个价位了，位置也比较好，出门都很方便，房间空调，热水都好用，性价比还是挺高的，服务和卫生有待提高。', '短评打分': 4}
{'短评内容': '总的来说对得起这个价位了，位置也比较好，出门都很方便，房间空调，热水都好用，性价比还是挺高的，服务和卫生有待提高。', '短评打分': 4}
