{'短评内容': '还不错价格有点高', '短评打分': 5}
{'短评内容': '前台很丑，服务狠烂，', '短评打分': 1}
{'短评内容': '还不错，离火车站15分钟路程', '短评打分': 5}
{'短评内容': '早餐很简单。房间很大。还可以。', '短评打分': 5}
{'短评内容': '很好，一切都好！', '短评打分': 5}
{'短评内容': '酒店一般', '短评打分': 4}
{'短评内容': '环境还好，就是设备老旧，普通3星的样子', '短评打分': 4}
{'短评内容': '还好还好吧！', '短评打分': 5}
{'短评内容': '可以环境好服务好', '短评打分': 5}
{'短评内容': '服务很周到，房间很大，以前常住汉庭，现在觉得速八挺好！周围吃饭方便，网络很棒，速度很快，值得推荐！下次还要入住！', '短评打分': 5}
{'短评内容': '房间卫生看着不错，遗憾的是在枕头下发现潮虫一只，吓人。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店卫生很干净，房间宽敞、明亮，还会去的。', '短评打分': 4}
{'短评内容': '房间很大，很好，还有早餐', '短评打分': 3}
{'短评内容': '总体还可以，早饭种类太少，希望能改进', '短评打分': 4}
{'短评内容': '还不错！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '幫客戶訂的，交通方便，設施齊全', '短评打分': 3}
