{'短评内容': '卫生差', '短评打分': 3}
{'短评内容': '地方很好找，a口出来对面那栋就是乐，最差的就是卫生，这天气都有蚊子而且不是一只，一晚上被折腾的起来打蚊子，后来实在受不了空调 18度，迷迷糊糊一觉起来坐动车。', '短评打分': 4}
{'短评内容': '没有早餐，有洗衣机', '短评打分': 5}
{'短评内容': '没有早餐，有洗衣机', '短评打分': 5}
{'短评内容': '没有早餐，有洗衣机', '短评打分': 5}
{'短评内容': '近，方便出行，酒店公寓。价格在哪，不能要求太高。', '短评打分': 5}
{'短评内容': '破旧', '短评打分': 2}
{'短评内容': '位置在地铁站附近，但吃的不好找，必须穿过深圳东站到布吉老街去打食。房间卫生一般，出现好多小蟑螂。', '短评打分': 5}
{'短评内容': '位置在地铁站附近，但吃的不好找，必须穿过深圳东站到布吉老街去打食。房间卫生一般，出现好多小蟑螂。', '短评打分': 5}
{'短评内容': '屋子有点潮，', '短评打分': 4}
{'短评内容': '位置很好，就是东站', '短评打分': 4}
{'短评内容': '服务不错，有问题及时解决', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '设施全，服务周到', '短评打分': 5}
{'短评内容': '好！！！！！！！', '短评打分': 5}
{'短评内容': '不错，真心不错，服务也很好，设施很全', '短评打分': 5}
{'短评内容': '环境一般，酒店位置离车站很近很方便，但是不好找到。', '短评打分': 4}
{'短评内容': '环境不错；卫生干净！', '短评打分': 5}
{'短评内容': '订给朋友住的，朋友很满意。', '短评打分': 5}
