{'短评内容': '卫生一般般', '短评打分': 3}
{'短评内容': '就是靠近公路有点吵，隔音有点差', '短评打分': 3}
{'短评内容': '环境很不错，服务员挺好', '短评打分': 5}
{'短评内容': '比较方便临近车站', '短评打分': 4}
{'短评内容': '一分钱一分货，价格平宜，好难想象广州东站上的山水比显得较差点，卫生不好，房间有异味，烟味酒味重!希望下次入住改进。', '短评打分': 3}
{'短评内容': '还可以不错', '短评打分': 5}
{'短评内容': '设施陈旧，房间空调噪音大，房间隔音不好，房间有异味，卫生方面需要讲究，提升。', '短评打分': 3}
{'短评内容': '还可以吧！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '就是普通快捷酒点的水准。但价格有点高啦。而且里面设计有点怪。浴室和厕所用同一个门。就是关了厕所这边，浴室就没有门了。不方面啊。', '短评打分': 3}
{'短评内容': '服务态度好 酒店卫生条件好 下次还会光顾', '短评打分': 5}
{'短评内容': '设备陈旧，服务可以', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '山水时尚酒店各方面服务都还好。只有一点就是墙隔音效果有点差。', '短评打分': 5}
{'短评内容': '房间很宽敞，很舒适，里周围环境很安静，晚上睡觉不会被吵到，里车站又 近很方便', '短评打分': 5}
{'短评内容': '还算可以.但是价格在县城来讲价格有点偏高.还有房间隔音不好.', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
