{'短评内容': '挺好的，离沙滩近，也蛮新净的', '短评打分': 5}
{'短评内容': '感觉还不错，态度也挺好的', '短评打分': 5}
{'短评内容': '免费加了海景房。很好', '短评打分': 5}
{'短评内容': '卫生太差了，连肥皂和挂胡刀都没有，早餐没几样，房间有蚂蚁，太遭搞了。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还行吧，价格比较贵', '短评打分': 3}
{'短评内容': '一般般吧', '短评打分': 3}
{'短评内容': '酒店是旧房重装修的，一不小心点击订单后就不能退订了，房间隔音很差，被单等很旧的了。', '短评打分': 3}
{'短评内容': '位置不错，设施一般；服务还好，环境也还好！对于这种酒店也只能这样评价！', '短评打分': 4}
{'短评内容': '房间一股味，房间的凳子有好多小小只的＂爬虫”，床上也发现了＂小禽劳＂，', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '太贵了', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '很好。可惜无宽带用。', '短评打分': 4}
{'短评内容': '海波楼在海边，还不错，下川岛很好，海鲜很很好，特别喜欢海蟹', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 3}
