{'短评内容': 'lihuochezhanjin,jiagepiabyi,jiaotongbianli          ', '短评打分': 5}
{'短评内容': '没有早餐 不能加床 双床间 可以带孩子 酒店位置靠近青岛火车站 酒店后面就是火车站 门口就是停车位', '短评打分': 4}
{'短评内容': '棒棒哒', '短评打分': 5}
{'短评内容': '还可以，有空调有窗，床也很干净', '短评打分': 5}
{'短评内容': '在火车站附近，离地铁一条街挺方便的，挺好的。就是浴室水不太热，走廊还有吹风机，饮水机挺好的。就是价格太不一了', '短评打分': 4}
{'短评内容': '价格合适，服务周到', '短评打分': 5}
{'短评内容': '条件还不错，但是店家服务不是很好。感觉店员很冷淡。但是房间的条件不错。', '短评打分': 4}
{'短评内容': '酒店位置非常不错，离中山路很近，晚上可以去逛逛中山路。停车不太方便，幸好老板挪了一个车位给我们。距离栈桥很近，走着就到了，房间不大，设施一般，到外面也不能讲究太多，没有电梯是最不方便的地方，拎个大箱子爬了四层楼，腿的软了，希望能够改进。', '短评打分': 5}
{'短评内容': '价格可以服务态度好，经济实惠房间大', '短评打分': 3}
{'短评内容': '在五一这个价格真的很便宜，不过房间很吵，去的那天恰巧没凉水', '短评打分': 3}
{'短评内容': '卫生一般，交通便利。酒店设施陈旧。', '短评打分': 4}
{'短评内容': '酒店位于市中心，交通便利，房间很干净，布置的也很温馨，相比同档次酒店，性价比不高。服务员很热情。', '短评打分': 4}
{'短评内容': '靠近火车站，房间干净卫生，住着很舒服', '短评打分': 5}
{'短评内容': '唉我去了，大家可别来，本来以为国家法定假日人会多，所以提前很久定的，这个破宾馆，连炮房都不如，如果想定这个档次的，那完全马路边都是，床很硬很就，不小心就磕腿，墙边都是烟灰，浴巾我都没认出来，跟抹布一样黑一样埋汰，靠着马路边，睡眠 不好的人一夜失眠把，图片和真是的不一样，一点没有图片好，纳闷了，在哪盗来的呢，本来定两天，一天实在受不了了，所以大家千万别在上当了', '短评打分': 1}
{'短评内容': '卫生不怎么好，洗澡水一直不热，室温刚好。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '没有周边的其他宾馆性价比高', '短评打分': 3}
{'短评内容': '这是我有史以来住的性价比最不协调的房子，168的神经病价格，配上有小强，墙皮起皮的房子，我真是无语。说能上网，连百度都搜不了东西，QQ不能登，这叫能上网？反正这个垃圾酒店劝大家别住，地段其实也一般。离火车站还有更近的酒店，价格也和它差不多，环境一定会比这个垃圾好！！！！真差劲！！！！恶心！！！！！！', '短评打分': 1}
{'短评内容': ',感觉一般', '短评打分': 3}
{'短评内容': '一点都不好，靠窗户还有铁路，晚上吵的人睡不好，\n下次肯定不会住那了。', '短评打分': 1}
{'短评内容': '简单来说一般般，房间设施比较的陈旧.离火车站很近，交通比较便利。', '短评打分': 1}
{'短评内容': '酒店很潮，而且还有蟑螂。热水等了10分钟才有，还不能调冷一点。电视只有8个台。', '短评打分': 1}
{'短评内容': '基本满意', '短评打分': 3}
{'短评内容': ',酒店不错，比较卫生，性价比可以。就是服务差一点，还有进了屋里要记住空调的品牌，然后去服务台要空调遥控器', '短评打分': 3}
{'短评内容': '地理位置很好，环境还可以，服务也很好，如果有机会去青岛旅游，还会选择这里，晚上可以在海边散步。', '短评打分': 5}
{'短评内容': '住宿条件不是很好，但是地理位置很方便。。。', '短评打分': 5}
{'短评内容': '已经入住,用开水不方便。', '短评打分': 3}
{'短评内容': '，这家店太古老了，和想像的差远了，尤其是床睡的不舒服，还有一股发霉的味道，预定的是两天，我住一个晚上就撤了，以后去青岛都不会去住。', '短评打分': 3}
{'短评内容': '卫生还可以，就是网上介绍说有免费宽带，实际上并没有，空调也无法使用，也没有随叫随到的吹风机，总体上还过得去。', '短评打分': 3}
{'短评内容': '酒店跟网上预定时图片差别很大，不太卫生，房间小，空调不给遥控器，电视太小，卫生间不干净', '短评打分': 3}
{'短评内容': '位置很不错，就在火车站附近，挺干净的，被子也没什么味道，总体来说好评', '短评打分': 3}
{'短评内容': '价格虽然低廉，但设施陈旧，相比同等价位酒店差距巨大，不建议大家入住', '短评打分': 1}
{'短评内容': '环境还不错', '短评打分': 3}
{'短评内容': '房间稍小 设施稍有陈旧  其他还好...', '短评打分': 5}
{'短评内容': ' 条件很一般 不值98元', '短评打分': 3}
{'短评内容': '酒店位置不错，但是装修陈旧卫生条件比较差。宽带不好用，而且没有看到服务员', '短评打分': 1}
