{'短评内容': '床很舒服 位置很好', '短评打分': 5}
{'短评内容': '酒店房间有点暗', '短评打分': 5}
{'短评内容': '房间灯光有点暗', '短评打分': 5}
{'短评内容': '', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '代人评价♧好♧', '短评打分': 5}
{'短评内容': '朋友的酒店&hellip;&hellip;', '短评打分': 5}
{'短评内容': '一如既往吧', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '网上加没会员价实惠！', '短评打分': 5}
{'短评内容': '本来就是会员！网上价可以以会员价住更好一点的房间！', '短评打分': 5}
{'短评内容': '特价房，有点后悔，不如用会员卡！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错，交通方便', '短评打分': 5}
{'短评内容': '大热天的居然白天没空调', '短评打分': 3}
{'短评内容': '房间也还可以，标间还不错，就是早餐一般', '短评打分': 4}
{'短评内容': '房间总体不错，价格合理，交通方便', '短评打分': 3}
