{'descr': '成功入住，环境可以', 'star': 3}
{'descr': '位置很好，方便逛街', 'star': 3}
{'descr': '条件还不错，价格便宜，呵呵 。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店设施陈旧，环境太差，太脏，地板边还有很多小虫，房间的墙壁不干净，晚上睡觉有很多小虫，难受死了。唯一的好处是在市中心，离步行街比较近。', 'star': 1}
{'descr': '房间很差，有虫还有臭味，而且网上预订的价格和实际交的价格不一样，被宰了……', 'star': 3}
{'descr': '房间很干净、很好…如果再有机会去连云港，还会来这家住宿的…就是地点不太好找，在一条胡同里，周围没有便利店，买东西很不方便…', 'star': 5}
{'descr': '交通挺方便的，酒店条件设施非常一般，床单被子潮潮的。', 'star': 5}
{'descr': '还可以吧  便宜   就是 12点过后就停电了  害的我摸黑收拾行李', 'star': 5}
{'descr': '如果去店里还有特价八十的，和网订一样的房间', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '前台小姐态度非常好，有求必应，解决旅客的问题。', 'star': 5}
{'descr': ' 这边隔音不好 楼下有KTV 好吵 卫生不佳 漱口杯里居然还有头发！没有电梯 楼梯口的都出租给公司了 感觉不是很安全 好在房间挺大 ', 'star': 3}
{'descr': '档次较低,不是想象中的那样.免费停车在店门口.只有两个位置.', 'star': 1}
{'descr': '交通还算比较方便 很容易就能找到 价格也实惠  很满意', 'star': 5}
{'descr': '酒店设施简陋，没有纱窗，一个晚上拍死30多个蚊子。', 'star': 3}
{'descr': '宾馆设施陈旧一点，枕头上有长头发，以后打扫卫生方面要加强了！', 'star': 5}
{'descr': '和朋友我们一起在网上定了这家酒店，朋友中有一对情侣。在网上定了大床房，却告知没有，到店之后刚开始没说在网上预定过，却告知有大床房，要求服务员给换，服务员还没法做主，还要和老板联系，还得用信用卡担保，比较麻烦，不过服务员服务态度挺好的，房间设施比较旧，还就一块肥皂。', 'star': 5}
{'descr': '酒店设施比较老，服务一般，还要信用卡担保，比较麻烦，价格是在网上酒店中最便宜的，只有这点具有优势，其余的基本上没什么竞争力，比徐州的特价88的酒店差远了', 'star': 1}
{'descr': '酒店环境不好，旁边就是ktv很吵，服务质量也不好。', 'star': 1}
{'descr': '如果您想找便宜的酒店并对酒店环境要求不高的话，可以选择该酒店。如果想住的舒服、豪华点的，就不要选了。', 'star': 5}
{'descr': '设备挺全，但感觉比较旧，不过性价比算可以', 'star': 3}
{'descr': '客房的环境还算不错，住着挺舒服的，而且服务也不错，整体水平相当满意.', 'star': 5}
{'descr': '客房的环境还算不错，住着挺舒服的，而且服务也不错，整体水平相当满意.', 'star': 5}
{'descr': '地理位置不错，出行方便，而且周边公车，打车都挺便利的，服务也可以.', 'star': 5}
{'descr': '地理位置不错，出行方便，而且周边公车，打车都挺便利的，服务也可以.', 'star': 5}
{'descr': '楼层不是高，不过干净整洁，唯一不足就是没有电梯，上下楼不是很方便，其它各方面还好.', 'star': 5}
{'descr': '楼层不是高，不过干净整洁，唯一不足就是没有电梯，上下楼不是很方便，其它各方面还好.', 'star': 5}
{'descr': '环境好，服务也不错，房间通透，采光好，显得格外的温馨.', 'star': 5}
{'descr': '环境好，服务也不错，房间通透，采光好，显得格外的温馨.', 'star': 5}
{'descr': '房间简单大方，装修风格也很不错，住着最起码算是舒服，位置好，距离我出行办事近.', 'star': 5}
{'descr': '房间简单大方，装修风格也很不错，住着最起码算是舒服，位置好，距离我出行办事近.', 'star': 5}
{'descr': '按约入住, 比较满意', 'star': 3}
{'descr': '按约入住, 比较满意', 'star': 3}
{'descr': '位置很好。。。环境还可以。。。性价比挺高的\r\n', 'star': 5}
{'descr': '位置很好。。。环境还可以。。。性价比挺高的\r\n', 'star': 5}
{'descr': '还不错，地理位置不错。价格也还可以。服务员态度也不错。就是每层都有办公的。', 'star': 3}
{'descr': '还不错，地理位置不错。价格也还可以。服务员态度也不错。就是每层都有办公的。', 'star': 3}
{'descr': '都还可以，只是没有电梯，我住在四楼，自己拎着行李箱走楼梯上去的。', 'star': 5}
{'descr': '都还可以，只是没有电梯，我住在四楼，自己拎着行李箱走楼梯上去的。', 'star': 5}
{'descr': '卫生间门关不上，异味厉害，性窗户关不上，价比低', 'star': 1}
{'descr': '卫生间门关不上，异味厉害，性窗户关不上，价比低', 'star': 1}
