{'短评内容': '最主要太吵了 外面在施工 阿姨打扫隔壁房间的时候说话声音很大 性价比倒是不错 地点也可以 在地铁站旁边', '短评打分': 2}
{'短评内容': '没有车位', '短评打分': 4}
{'短评内容': '挺不错的位置好，也蛮安静', '短评打分': 5}
{'短评内容': '位置在农讲所斜对面，离地铁站很近，没停车场，出入方便。', '短评打分': 5}
{'短评内容': '位置不错，离北京路很近，但是酒店设施实在一般', '短评打分': 3}
{'短评内容': '环境很好很干净，住的很舒适。', '短评打分': 5}
{'短评内容': '牙刷牙膏自備，否則5塊。設備非常一般', '短评打分': 3}
{'短评内容': '非常的一般', '短评打分': 4}
{'短评内容': '這個價錢一般般', '短评打分': 4}
{'短评内容': '环境一如既往地好，每次出差都帮朋友订的', '短评打分': 4}
{'短评内容': '性价比不高的酒店，不会再光顾', '短评打分': 2}
{'短评内容': '房间小，卫生差，没有电视看，后来加钱换其他房间，不愉快的体验。', '短评打分': 3}
{'短评内容': '方便，对正地铁出口，步行到北京路较便利。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '感觉没以前好了……', '短评打分': 4}
{'短评内容': '位置很好，出地铁口就是，离北京路和中华广场都只有10多分钟，周边很多小吃，非常方便', '短评打分': 4}
{'短评内容': '周围交通和餐饮的确是方便。房间属于快捷连锁酒店格式！房间不大配置属于基本。', '短评打分': 5}
{'短评内容': '酒店房间比较小，但胜在酒店位置相当方便，一出地铁站就可找到', '短评打分': 5}
{'短评内容': '无懈可击的店，交通方便，周边食肆众多，也有多间便利店，总之是住宿首选', '短评打分': 5}
{'短评内容': '订的双人房，在2楼，有窗户，房间挺干净的，开了房间打开抽风机很快就没有了房间的异味。房内有保险箱，但是没有吹风机，要用的话得去找前台拿，这个比较麻烦~一次性用品5块钱一套。', '短评打分': 5}
{'短评内容': '服务态度不错，每次去广州玩都会去这家住，就是卫生一般，现在那些一次行洗刷用品也没有，不过地理位置很好，下次还会去！', '短评打分': 5}
{'短评内容': '酒店位置实在太方便了，出地铁口马上就看到了，虽然店面有点小。很顺利就办了入住，房间层高较低，其他的也就是连锁酒店的水平，一般般。前台有无密码的WIFI，房间没有。附近吃的真的超多，真的超适合年轻吃货居住。', '短评打分': 3}
{'短评内容': '环境很好环境很好环境很好环境很好环境很好环境很好环境很好环境很好环境很好环境很好环境很好环境很好环境很好环境很好环境很好环境很好环境很好环境很好', '短评打分': 5}
{'短评内容': '不错！交通方便！不过房间偏小~其他都行！', '短评打分': 5}
{'短评内容': '地铁出口，下面有各种食市，房间大小可以，对得起价格。', '短评打分': 5}
{'短评内容': '地点正中，地铁出口，房间大小适中，不过不失，对得起价格。不错。', '短评打分': 5}
{'短评内容': '  来多次广交会头一次住这儿,,老城闹市,吃饭逛街方便,地铁农讲所站只有几步路,广交会期间还二百多,下次还来。', '短评打分': 3}
{'短评内容': '位置便利，早晚都有食店開門，房間還算ok，只是早上門外的人聲會透入房內。', '短评打分': 5}
{'短评内容': '太方便了 离地铁站超近 每次去广州都喜欢住这间 周围又很多小吃 方便', '短评打分': 5}
{'短评内容': '就靠近地铁很方便吧我觉得 厕所没门是帘子 这是一个问题 ', '短评打分': 5}
{'短评内容': '交通便利，农讲所A出口便是。周围很多吃的。室内环境不错，干净舒适', '短评打分': 5}
{'短评内容': '交通便利，农讲所A出口就是了，卫生，安静。很不错，以后都去那里住', '短评打分': 5}
{'短评内容': '主要看中的是交通方便，就在地铁农讲所对面，周末入住按门市价的话还要上涨10元，不过网上预订的就不受影响。订的大床房607，有窗，房间的洗漱用品要收5元一套，还好有自备的。。。，不足的是吹风机是要到前台登记才可以借用的', '短评打分': 5}
{'短评内容': '房价合理，入住环境还不错，尤其是交通非常方便，是个不错的选择。', '短评打分': 5}
{'短评内容': ' 几好，交通方便！', '短评打分': 3}
{'短评内容': '空气不流通，有点吵。但装修还不错。', '短评打分': 3}
{'短评内容': '常住，比７ＤＡＹＳ好很多,舒服，干净，地段好', '短评打分': 5}
{'短评内容': '交通極為方便、房間也不錯。但商務房的台卓没有台燈、無法進行商務工作、建議安上台燈。', '短评打分': 5}
{'短评内容': '厕所无门，房间无窗，两张1.2米床', '短评打分': 3}
{'短评内容': '房间较小，但很干净。缺点是房间间关门时，声音影响比较大。总的来讲，性价比还好了。', '短评打分': 5}
{'短评内容': '酒后很好找，农讲所A出口对面马路就是。附近很多小吃店，就是里面旧了点。还满意吧。', '短评打分': 3}
{'短评内容': '地理位置确实很方便，就在地铁口对面，地处老城区，下楼就能各式生活需要。唯一，我住的是五楼，不知是水压问题还是怎样，淋浴水小。枕头太高了，不利健康。', '短评打分': 5}
{'短评内容': '这次房间好脏哦~~而且水温又不够热~~~被子什么的不干净~~好失望~~可能以后都不选这里了~~以前还蛮好的~！', '短评打分': 1}
{'短评内容': '很好。还是那么的好，很多次我女朋友生日都是在这间酒店过的，服务很好，交通特别方便，地铁1号线农讲所A出口就到', '短评打分': 5}
{'短评内容': '地理位置就是最好的优势,就是房间隔音差点,稍微压下床会有响声,插头太少.', '短评打分': 5}
{'短评内容': '佳园酒店就在农讲所地铁A出口对面,交通放便,而且广东实验中学走几步路就到了.另外越秀区外国语学校也从这里坐地铁很近.价位还不错.\n', '短评打分': 3}
{'短评内容': '毗邻地铁口，周边很方便。\n房间挺不错，舒适安静。', '短评打分': 5}
{'短评内容': '酒店位置非常好~~就在地铁站农讲所A出口对面~~非常方便，就在市中心，周边还有好多吃的地方', '短评打分': 5}
{'短评内容': '环境很不错，闹中取静，生活交通购物都很方便。缺点就是房间设施相对简陋了些。不过偶住也可以接受。', '短评打分': 3}
{'短评内容': '帮朋友订的，朋友很满意，交通方便，干净，不错', '短评打分': 5}
{'短评内容': '环境不错,出行很方便，楼下对面就是地铁站。服务态度良好！', '短评打分': 5}
{'短评内容': '地段不错，还干净，就是下水道有些问题，601房洗澡水会流到卫生间，弄得房间湿搭搭的，希望能改进。', '短评打分': 3}
{'短评内容': '总体来说还不错，交通很方便，天冷的时候，希望可以加张棉被就很好了', '短评打分': 3}
{'短评内容': '地理位置好，离地铁站近，有便利店,食、行很方便，环境宁静，不错!', '短评打分': 5}
{'短评内容': ' 好好', '短评打分': 3}
{'短评内容': '房间还可以，有部分带窗户，交通也很便利，出门就是地铁站。\n但房间里没有一次性用品，在预定的时候和网站上也不说明，这点有点不好！', '短评打分': 5}
{'短评内容': '房间挺整洁的，也很安静，周边交通方便，可步行至北京路步行街或者中华广场等地方，步行至文明路也很近，有很多地道小吃，值得推荐。', '短评打分': 5}
{'短评内容': '位置方便，出门即是地铁和北京路步行区，房间还算大也还干净…………………………………………………………………………', '短评打分': 5}
{'短评内容': '除了交通方便之外其他没什么特别的，广州的酒店太一般', '短评打分': 5}
{'短评内容': '说实话，住进来感觉不理想，219元的商务大床，这个价高啦。洗手间与马桶的设计不合理，太窄了。坐在马桶上方便要是不开抽风，味道大。开吧，声音吵得很。最可恨的是连门都没有，要是两人住，可真是现场直播拉。里面一次性的牙刷什么都没有，在上面也没有注明。幸好我是头发短的男生，不然都没法梳头。', '短评打分': 1}
{'短评内容': '说实话，住进来感觉很差，和自己预想的有些反差，219的商务大床，这个价格还真不如住七天中华广场店呢，那才197，还有早餐。郁闷阿。洗手间与马桶的设计不合理，太窄了。里面一次性的牙刷什么都没有，在上面也没有注明。幸好我是头发短的男生，不然都没法梳头。反正这次来广州是培训，白天也不在，就晚上住一宿。凑合住了，在住三天，下次再来就不会住了。直接去七天或其他酒店住啦！', '短评打分': 1}
{'短评内容': '双床房现在都是些无窗，在里面待久了狠压抑，由于是无窗就一定要把排风或者空调开启，排风声音过大，影响休息。还有就是洗手间里马桶的距离与面盆紧挨太紧，设计部够合理。不是总公司在这附近和靠地铁较方便，我会选择其他快捷酒店。', '短评打分': 1}
{'短评内容': '广州住的实在是很一般。。。就是交通很方便。。', '短评打分': 5}
{'短评内容': '广州的酒店还是差了一点，不过交通很方便。。。。', '短评打分': 5}
{'短评内容': '環境不錯.周圍都比較乾淨.隔音較好...酒店周邊交通和飲食購物都很方便..', '短评打分': 5}
{'短评内容': 'OK好.~OK好.~OK好.~OK好.~OK好.~OK好.~OK好.~OK好.~OK好.~OK好.~OK好.~', '短评打分': 5}
{'短评内容': '位置非常好，只是可惜没窗户，周围很多吃饭的地方，走路去北京路或者中华广场也很方便', '短评打分': 5}
{'短评内容': '入住的时候前台居然说查不到订单，不过最后还是搞定了，几次都是住这里，就是因为方便', '短评打分': 5}
{'短评内容': '入住的时候前台居然说查不到订单，不过最后还是搞定了，几次都是住这里，就是因为方便。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '交通方便，就是农讲所A出口，不过卫生一般般，还算可以了', '短评打分': 5}
{'短评内容': '看了有那么多的好评才来的，结果非常失望，前台给了我一件非常吵的房间，8楼的，整晚能听到外面车开的声音和喇叭声，甚至连外面的人在说话的声音都能听到。害我整夜都没睡好！！！！！', '短评打分': 1}
{'短评内容': '服务挺好，位置便利，但房内卫生环境较脏。房间一股味道，床单有血、油等脏的痕迹，不知道有没有换床单。总的来说不会再去！', '短评打分': 1}
{'短评内容': '环境还好，不过没洗发水，电视太小了，服务不到位…不够为客人着想…！', '短评打分': 3}
{'短评内容': '酒店地理环境不错，附近很多吃的。而且房间里环境还不错！', '短评打分': 5}
{'短评内容': '最却心眼的酒店，服务特别差。鄙视客人。不过地角非常方便', '短评打分': 1}
{'短评内容': '不错喔~附近好多吃吃喝喝的地方很方便', '短评打分': 3}
{'短评内容': '酒店位置极佳，对门就是地铁站。去北京路也近。下次还会住。建议：房间没法挂衣服。应该解决。', '短评打分': 5}
{'短评内容': '位置很好，於老城區，但太吵，旁邊就是麻將房，根本沒辦法睡覺', '短评打分': 1}
{'短评内容': '环境舒适卫生！地理位置不错，就在地铁口对面，值得推荐！', '短评打分': 5}
{'短评内容': '我已提出一点小意见，从手机13802332425发出，请谅。', '短评打分': 5}
{'短评内容': 'location is good but room not so good', '短评打分': 5}
{'短评内容': '环境不错，可惜没有窗，空气不太流通，刚进去时有点霉味～', '短评打分': 3}
{'短评内容': '地理位置是一流的，可是房间旧不说，晚上非常的吵，服务员在走廊聊天房间里听得一清二楚，隔音不好，还有，我订房放假明明是219，到退房时服务员硬说是259，我想，如果我不是为了省钱我有必要订房吗？我直接门市价不就得了，以后不会考虑', '短评打分': 1}
{'短评内容': '总体还好，隔音较弱！！还算ok，以后还会选', '短评打分': 5}
{'短评内容': '干净整洁,就是电视有点问题,方便出行,不错', '短评打分': 5}
{'短评内容': '\u3000交通很便利，服务还OK ，跟我换了间房，噪音没那么大～房间干净', '短评打分': 3}
{'短评内容': '位置很便利，就在地铁一号线农讲所站A出口对面。外出相当方便！\n前台接待很随和，行李有房间寄存。\n酒店门口旁边就是一家水果店。酒店附近吃喝店也较多。\n房间卫生就众而言已是相当不错！设施也很齐全。整体形象较好！', '短评打分': 5}
{'短评内容': '地理位置特别好，就在广州最繁华的市中心，酒店对面就是地铁站口，吃饭方便，旁边生活出行极其便利，就是有一点不好，淋浴间的设置很不科学，玻璃门接口缝隙特别大，每次洗完澡房间就得闹水灾，得用两块大毛巾给堵上，其他设施还算对得起房价，住的是商务大床房，床挺舒服，就是枕头太矮，不过网速挺快，我是去考gmat的，去考点很方便，非常推荐~~~', '短评打分': 5}
{'短评内容': '很不错，交通也很方便，出了地铁口左转就是了。环境也很干净。', '短评打分': 5}
