{'短评内容': '很不错，就在海边', '短评打分': 5}
{'短评内容': '很不错的，房东很热情', '短评打分': 5}
{'短评内容': '老板娘是很客气，但是价钱是偏贵的，房间很小，卫生也不好，还看到小强了，老板娘加工菜的费用真的不是普通的高，4个菜收了100元，还不如直接外面吃，反正我是以后不来了，也不推荐，第一次用携程订这么不满意的住，看来评论很重要', '短评打分': 2}
{'短评内容': '卫生很差，房间水壶都发霉了，设施也很差，电视看不了，还让我自己调，无语，WiFi都没有，真心醉了，服务态度也很不好，说好的酒店接送服务，啥玩意，都不稀得搭理你，房间超级小，还家庭海景套房。。。。千万不要信。可是什么都没有', '短评打分': 1}
{'短评内容': '对于观海客栈来说有点失望，但还是能看到海，相对于傍边的3楼装修略显陈旧，卫生间设施很旧，不怎么好用，房间有点小味道，早饭一般般，总体感觉比较失望，', '短评打分': 3}
{'短评内容': '酒店卫生不太好，很多蟑螂，都爬到床上来了。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还好，就是在房里看见小强了，靠近海湾，风景个还不错', '短评打分': 4}
{'短评内容': '其实就是一个小渔村，受旅游经济影响自家的房屋改成的民宿，设施和卫生很一般，民宿嘛！不能期望太高，本来定的双床因为在一楼太暗了，后改大床房也是很小一间，早饭是老板娘做的青菜鸡蛋面，主要优势有一个小海景地理位置还不错，老板一家人还算热情，', '短评打分': 3}
{'短评内容': '农家乐的小屋，海景房，一出门就看见大海，房间卫生一般，还可以接受吧', '短评打分': 4}
{'短评内容': '民宿面朝大海，店家热情，店内提供海鲜餐饮，可以购买当地特产的小超市，我们在小超市请香的价格和景区一样。出门几步路就到乌石塘景区，晚上有夜市，适合短期旅游打尖。', '短评打分': 3}
{'短评内容': '首先说价格有点贵 不过要集景点 海边 交通便利与一体的话还是有些勉强说的过去！里面洗澡水太小 而且设备不是旧就是有问题，早饭不提供但能买他供应的，稀饭套餐10元，海鲜面条30，4个人吃个早餐都能上百元，而且巨难吃！', '短评打分': 3}
{'短评内容': '有虫子  蚊子  蟑螂', '短评打分': 3}
{'短评内容': '老板 人不错   烧得菜  呵呵   不敢恭维', '短评打分': 3}
{'短评内容': '老板夫妻很热情，很好', '短评打分': 3}
{'短评内容': '主人不错，到店前两次主动打电话，告知公交路线', '短评打分': 3}
{'短评内容': '就是渔家乐，还不错，就是国庆期间涨价涨的厉害。卫生间的马桶有些问题。老板娘很热情。', '短评打分': 5}
{'短评内容': '.我住一晚、好干净热心', '短评打分': 3}
{'短评内容': '不咋样。价格太黑', '短评打分': 3}
