{'短评内容': '位置好，靠近合肥中隐于市酒吧街。', '短评打分': 4}
{'短评内容': '位置很方便', '短评打分': 5}
{'短评内容': '1。房间内设施还可以。2。不要住在4楼的偶数房间(面大路)。首先是因为4楼窗户面对的是一面高墙，墙体涂满防水材料。所以味道难闻，空气根本不流通。其次酒店是在南环路上，车辆太多，吵。3其他都还好。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '考试，比较近，很方便，环境一般，性价比还可以，整体还算满意，办事情很方便，设施也比较全，住的还是比较开心的', '短评打分': 4}
{'短评内容': '一般般的酒店', '短评打分': 3}
{'短评内容': '很一般的酒店，性价比不高。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '太旧了，政府酒店，不值这个房价', '短评打分': 3}
{'短评内容': '价格还算实惠', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '位置非常好，设施很老旧', '短评打分': 4}
{'短评内容': '交通方便 安全舒适', '短评打分': 4}
{'短评内容': '交通非常方便，性价比挺高，服务态度好', '短评打分': 1}
