{'短评内容': '环境很不错，毕竟是大宾馆，这个价位也是比较能接受的', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '干净整洁，价格便宜，还有早餐吃', '短评打分': 4}
{'短评内容': '这个价格超实惠，还有早餐，下次还要继续住这里', '短评打分': 4}
{'短评内容': '地理位置好，环境不错', '短评打分': 5}
{'短评内容': '还可以，住了很多次了！', '短评打分': 5}
{'短评内容': '还行吧，可以的', '短评打分': 4}
{'短评内容': '服务员态度简直差到死     只是问一下能不能换房间   就说我们事多   里面的电视是其它宾馆淘汰的   真是垃圾   大家慎选', '短评打分': 1}
{'短评内容': '太他妈差了 陈旧就算了 隔音条件就是70年代的水平 在这你可以享受一整夜发动机的轰鸣 让你感受这城市的悸动', '短评打分': 1}
{'短评内容': '当时是去师范考试，离得地方很近，设施什么的都还不错。不过WI-FI就不敢恭维了，连了更本就没用这年头酒店上网如此的差，还真是少见。还有酒店前台居然连基本的应急药物都没有，我也只能呵呵了，要去的旅客记得带上常备的应急药物，靠服务，不可能的。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好住！', '短评打分': 5}
{'短评内容': '各项设施都挺好的，就是外面路上的车有点吵了，不过总体来说还是很满意的', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '君需苑，原来的军需宾馆，读书的时候就住过，当时价格很实在的，装修一番后，价格猛增，现在的价格差不多赶上三星的标准了，不过房间环境倒还不错，只是面积小了点。', '短评打分': 4}
