{'短评内容': '中心地段出入方便，有点小贵', '短评打分': 5}
{'短评内容': '直接一个招待所，价格还死贵！', '短评打分': 4}
{'短评内容': '很好，就是换了一次房，有点小，房间卫生当是很干净', '短评打分': 5}
{'短评内容': '晚上网络都没有了，速度很慢，卫生间没有排气扇，不怎么干净。胜在地理位置优越出门就是地铁站公交车站有很多百货后面就是回民街。', '短评打分': 3}
{'短评内容': '酒店就在钟楼附近，背后就是回民街，地理位置很好，服务态度也很好，房间很干净，每天都会有人打扫，总体来说非常满意，但有几个细节希望店家能够改善：1、关注小家电的使用情况，刚入住，想烧点水，结果水壶插销烧坏了，不过店家及时更换了。2、关注电池使用寿命，因为电视遥控器的电池快没电了，因为每天回来都很晚，早上走得早，实在不好意思打扰店家休息，所以每天凑活着把电池卸下来过一会再安上，勉强看了会电视。3、热水', '短评打分': 5}
{'短评内容': '不错，挺好的', '短评打分': 4}
{'短评内容': '卫生蛮干净，房间挺大。周围环境很热闹，后面就是回民街。', '短评打分': 5}
{'短评内容': '很不错，到了后，店家兄弟人挺好的，很热心，公寓设施也齐全，谢谢', '短评打分': 5}
{'短评内容': '性价比非常高！', '短评打分': 5}
{'短评内容': '位置非常好，位于市中心，离回民街还有西羊市都非常近，其他也不错，就是热水是用电烧的，有点慢，电视是网络机定盒，老是缓冲缓冲', '短评打分': 4}
{'短评内容': '地理位置非常好，离钟鼓楼很近，离回民街不到5分钟就可以到，太方便了！房间卫生也不错，很干净。带着孩子住比较不错！推荐！', '短评打分': 5}
{'短评内容': '新房间，很干净，住在16层，感觉像住在家里，一室一卫，很宽敞，很适合三口之家。重要的是离回民街，钟鼓楼都很近', '短评打分': 5}
