{'短评内容': '山景酒店，太行美景。', '短评打分': 5}
{'短评内容': '服务非常好，房间环境舒适，离景区非常近，下次还会入住。', '短评打分': 5}
{'短评内容': '非常好的酒店，餐饮也很出色，后山可以捡漂亮的太行山石，值得入住。', '短评打分': 5}
{'短评内容': '硬件，服务都很好。', '短评打分': 5}
{'短评内容': '酒店位于景区，周边环境很好，只是交通不方便，建议自驾选择', '短评打分': 5}
{'短评内容': '环境不错，服务也不错。', '短评打分': 5}
{'短评内容': '绝对好评！服务好 送水果！河南最好！', '短评打分': 5}
{'短评内容': '幸好提前定，今天都1000多一间，房间真的很奢华舒适，孩子特别喜欢！', '短评打分': 5}
{'短评内容': '酒店真心不错，当地最好的，就是早餐一般', '短评打分': 5}
{'短评内容': '园区环境超5星！房间设施5星！服务更是优秀，随行的有老人，服务员一直从车上扶到房间，等待办理入住手续时还陪在身边。再重申一次，宾馆园区环境是坡地景观，环境超棒！现在是冬天，估计到春天更漂亮！', '短评打分': 5}
{'短评内容': '其实位置很好，只是来的时间不凑巧，路在施工，但服务员们的态度很好很到位，餐饮配套设施环境各方面也都很好，', '短评打分': 5}
{'短评内容': '房间不错。', '短评打分': 5}
{'短评内容': '硬件好，服务好，关键是风景美', '短评打分': 5}
{'短评内容': '服务超级好，环境幽静，优雅，红旗渠度假出差首选', '短评打分': 5}
{'短评内容': '超五星环境优美山景别墅度假好地方', '短评打分': 5}
{'短评内容': '价位高', '短评打分': 4}
{'短评内容': '宾馆不错。干净。空间很大。设施很好。', '短评打分': 5}
{'短评内容': '环境和设施一流，超性价比的酒店，适合家人度假休闲，多住几天', '短评打分': 5}
{'短评内容': '酒店环境还不错，离太行大峡谷比较近', '短评打分': 5}
{'短评内容': '酒店环境还不错，离太行大峡谷比较近', '短评打分': 5}
