{'短评内容': '很不爽很不爽很不爽很不爽很不爽很不爽很不爽很不爽很不爽很不爽很不爽很不爽很不爽', '短评打分': 4}
{'短评内容': '还不错，出差首选、价格实惠、前台小妹也很热情！值得推荐', '短评打分': 5}
{'短评内容': '价格偏高，房间到还行。', '短评打分': 5}
{'短评内容': '撇', '短评打分': 3}
{'短评内容': '春节贵就不说了     太撇了   相当于我们县城几十块钱的旅馆    隔音也不好   楼上唱歌的听的清清楚楚      ', '短评打分': 3}
{'短评内容': '一般般这个价格这个条件', '短评打分': 5}
{'短评内容': '网速还可以，外边是闹市区，服务态度还好，室内环境还算不错', '短评打分': 5}
{'短评内容': '条件太差，春节期间还特贵。', '短评打分': 2}
{'短评内容': '服务态度差！', '短评打分': 1}
{'短评内容': '位置还是好找，价格还是不错。就是上面好像有KTV，有点吵。房间水又热又大，洗澡很舒服。不过帕子不是一次性的', '短评打分': 5}
{'短评内容': '前半夜楼下歌厅鬼哭狼豪，后半夜宾馆走廊猫叫天亮', '短评打分': 3}
{'短评内容': '周边生活方便，旁边就是大超市', '短评打分': 4}
{'短评内容': '不错，老板人很好，4点到算第二天的', '短评打分': 3}
{'短评内容': '朋友推荐的酒店，入住后整体感觉不错，房间很大，很干净，床也很舒服，交通也方便。', '短评打分': 3}
{'短评内容': '洗澡的地漏不是很好，还没洗那水就益出来了，其他的还好', '短评打分': 4}
{'短评内容': '服务good', '短评打分': 4}
