{'短评内容': '好………………………….，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '房间环境一返般般，有待提高', '短评打分': 5}
{'短评内容': '房间还可以，考试近，早饭也很好吃，居住环境安静，楼下就是吃饭的地方，水果也很便宜。下次考试还会过来。', '短评打分': 5}
{'短评内容': '帮朋友定的，说的包含了早餐结果没有，不满意', '短评打分': 3}
{'短评内容': '有早餐但没吃过，有停车场。当时住的房间漏水了，说了当时就换了。', '短评打分': 5}
{'短评内容': '比省外的便宜又好', '短评打分': 5}
{'短评内容': '以后订房就他家', '短评打分': 5}
{'短评内容': '感觉非常不错，周围也安静', '短评打分': 5}
{'短评内容': '停车方便还免费', '短评打分': 4}
{'短评内容': '也就是周边比较热闹，房间潮湿，有异味，有蟑螂，特大只，房间配置比较差，wifi信号几乎为零。房间衣架都没有。在网上看口碑就不好，只不过是离要去的地方比较近，所以选择了。', '短评打分': 2}
{'短评内容': '住过多次  性价比高', '短评打分': 3}
{'短评内容': '老板人不错，酒店经济，卫生。。。。', '短评打分': 3}
{'短评内容': '不错，下回会再来。。。', '短评打分': 3}
{'短评内容': '干净，卫生总体还不错，以后还会再入住。。。', '短评打分': 3}
{'短评内容': '环境还可以，设施也还可以，比较满意', '短评打分': 5}
