{'短评内容': '没早餐，不能加床，停车场收费，停一晚15元', '短评打分': 3}
{'短评内容': '周边环境不错，还算好停车的，就是设施有些陈旧，隔音很差。但估计这个价位这个地方也能算是最优选了', '短评打分': 4}
{'短评内容': '床垫很舒适，房间也挺干净，就是有点老了，酒店对面就是华润万家超市，还有魏家凉皮，周坐车也很方便～～～', '短评打分': 4}
{'短评内容': '条件太差，热水壶全是锈…这家酒店不能刷预授权，太low', '短评打分': 3}
{'短评内容': '简单便宜，出差要求不高的可以住，周围方便', '短评打分': 4}
{'短评内容': '房间卫生 并且比较宽敞', '短评打分': 4}
{'短评内容': '房间比较干净 相对周边房间网络也比较稳定  ', '短评打分': 4}
{'短评内容': '总体感觉一般，洗澡的淋雨头出水不好', '短评打分': 3}
{'短评内容': '比较干净', '短评打分': 4}
{'短评内容': '位置不错，离办事地点较近。房间稍微有些小，不过卫生状况很好。价格还可以。', '短评打分': 4}
{'短评内容': '位置不错，离办事地点较近。房间稍微有些小，不过卫生状况很好。价格还可以。', '短评打分': 4}
{'短评内容': '位置不错，离办事地点较近。房间稍微有些小，不过卫生状况很好。价格还可以。', '短评打分': 4}
{'短评内容': '位置不错，离办事地点较近。房间稍微有些小，不过卫生状况很好。价格还可以。', '短评打分': 4}
{'短评内容': '除了早餐有点简单！其他的都不错！', '短评打分': 5}
{'短评内容': '神华宾馆很干净，位置不错，服务态也很好。', '短评打分': 3}
{'短评内容': '  已入住,和网上相片相同,挺干净,就是订的双床房给留成大床房了,不过老板很好,临时为我们一大家都换成了双床房', '短评打分': 3}
