{'短评内容': '房间设备老化', '短评打分': 4}
{'短评内容': '说好的大床，结果是小床，还特价房间！隔音效果差，走廊走路房间里可以听到！太差了，浴卫喷头是坏的！', '短评打分': 2}
{'短评内容': '酒店交通便利', '短评打分': 5}
{'短评内容': '地理位置好，值得推荐', '短评打分': 5}
{'短评内容': '房间电源开关上满是污垢，走廊地毯陈旧肮脏，隔音极差，隔壁房间用水都听得清清楚楚，是我住过的最差的快捷酒店。', '短评打分': 2}
{'短评内容': '很好用，很不错，赶上活动也好价，京东真给力', '短评打分': 5}
{'短评内容': '酒店环境不错，服务员态度很好，房间比较整洁。', '短评打分': 5}
{'短评内容': '酒店环境不错，服务员态度很好，房间比较整洁。', '短评打分': 5}
{'短评内容': '还行&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '主要是很近', '短评打分': 3}
{'短评内容': '一般，就是位置在妇幼保健院对面方便', '短评打分': 4}
{'短评内容': '酒店一般，主要是在妇幼保健院对面方便吧！', '短评打分': 4}
{'短评内容': '卫生舒适，很好的旅行！', '短评打分': 5}
{'短评内容': '适合商务出行入住', '短评打分': 5}
{'短评内容': '一分钱一分货', '短评打分': 3}
{'短评内容': '房间味道重，设施旧，没早餐，不推荐', '短评打分': 1}
{'短评内容': '房间味道重，设施旧，没早餐，不推荐', '短评打分': 1}
{'短评内容': '位置还不错，离三坊七巷很近', '短评打分': 3}
{'短评内容': '环境、路段、交通、就餐都还不错', '短评打分': 3}
{'短评内容': '洒家价格便宜，就是设施有些旧了。整体服务还行。', '短评打分': 5}
