{'短评内容': '个人觉得环境很好，环境和服务都很好。喜欢', '短评打分': 5}
{'短评内容': '早餐品种不太多，能吃好，但早餐价格有点贵，好在我订的房间含早餐。酒店位置还不错，有免费停车场。酒店没电梯，上下楼搬行李不太方便。', '短评打分': 4}
{'短评内容': '超级好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '在如此偏远地区有此酒店不错！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店设施与环境都挺好，住的也挺好', '短评打分': 4}
{'短评内容': '恒山很平庸，浑源很普通，但是这家酒店很出色。装潢设计显露不俗的文化品位，餐厅饮食口味很地道。客房服务好，又送报纸，巧克力，又是水果。特别值得一提的是这里的早餐，不管中西餐口味，都不次于五星级酒店。因为恒吉利，使我对该地区的不满都减轻了。希望店家继续保持优势和特色！', '短评打分': 5}
{'短评内容': '酒店环境好，服务也好。下次再来还会住这里的。', '短评打分': 5}
{'短评内容': '房间是中式风格，有点小，但很舒适，在小县城里算最好的了。房间里还有加湿器，还能送水果。', '短评打分': 5}
{'短评内容': '地理位置及环境都很好，离悬空寺恒山很近很方便。赞一个', '短评打分': 3}
{'短评内容': '硬件很不错，服务很周到，进店送果盘，晚上还送晚安糖，早点丰富，如果以后有机会再来，还住这里', '短评打分': 5}
{'短评内容': '酒店很新，装修很好，住的很舒适尤其大床和被子，相当于大城市的四星级水平，能在浑源县住上这么好的酒店，说实话之前不敢想。早餐也还可以，晚餐在酒店里吃的，要了半份的刀削面和浑源凉粉，没想到上了超级大的一个碗，够四个人吃的，实在的山西人。', '短评打分': 5}
{'短评内容': '入住很满意，床很舒服，酒店赠送桑拿和早餐。', '短评打分': 3}
{'短评内容': '酒店位置不错，离悬空寺不算太远，环境也不错，服务也不错，入住还有果盘，呵呵，餐厅的羊杂粉挺不错的，汤浓，味鲜，粉滑爽有弹性，唯一不足是盐味有点太重，总之，还是不错的，推荐入住，', '短评打分': 5}
{'短评内容': '在一个县级市，这个四星还真是货真价实的。早餐很丰富，从恒山回来就在饭店吃的晚饭，也不错。', '短评打分': 5}
{'短评内容': '去恒山旅游的上佳之选，很好的酒店，服务一流，物超所值，送健身和洗浴项目，早餐很丰富，感谢酒店服务人员的周到服务！', '短评打分': 5}
{'短评内容': '不错，环境很好。是当地最好的宾馆离景区也很近，值得推荐。', '短评打分': 5}
{'短评内容': '服务还可以，比较细致，房间有点小，有些地方设计不太合理，还有不应该在旅客不在时，有服务员进入房间。', '短评打分': 5}
{'短评内容': '相当的不错，我在浑源县城能见到如此标准规格的酒店很是惊讶，硬件与服务相当的到位，房间内设施比较舒适完善（床和卫生间），虽说有点小小的问题（房间内没有桌子、椅子、脚踏感到有点不便），但是会被酒店的人文与标准的服务所掩盖下去（反应速度与热情），位置离悬空寺也相当的近，要是步行花估计20分钟左右也走过去了，酒店的地理位置我在县城转了一圈，环境不吵不闹，停车方便，赞一个，极度推荐。', '短评打分': 5}
{'短评内容': '很意外在一个小县城，也有这麽好的酒店！硬件绝对够4星，早餐也很丰盛，居然还有现磨咖啡。房间不大但很温馨，古典的中式建筑风格，床很舒服，就是房间有点热，值得一提的是房间还配了加湿器，美中不足的就是淋浴房有点小，可能是我太胖了吧。感觉和大同的花园饭店很像！值得推荐', '短评打分': 5}
