{'短评内容': '非常不错，价格便宜，酒店有艺术气息。', '短评打分': 5}
{'短评内容': '隔音不好，床太硬，其他还可以', '短评打分': 4}
{'短评内容': '有WIFI，位置离西站很近，只是现在西站的车很少了，对于去西城办事的人来说还是非常方便的。', '短评打分': 4}
{'短评内容': '不贵，干净卫生，有WIFI，位置离西站很近，只是现在西站的车很少了，对于去西城办事的人来说还是非常方便的。', '短评打分': 4}
{'短评内容': '挺好，挺实惠。', '短评打分': 3}
{'短评内容': '挺好，挺实惠。', '短评打分': 3}
{'短评内容': '挺好，挺实惠', '短评打分': 3}
{'短评内容': '挺好的，很实惠。', '短评打分': 3}
{'短评内容': '办理速度慢、服务态度好、房间空调不是很好、装修一般、电器较旧。', '短评打分': 5}
{'短评内容': '酒店地理位置优越 交通便利  符号人们出行', '短评打分': 5}
{'短评内容': '挺好，干净，房间够大，网速快。就是电视旧了点~~', '短评打分': 5}
{'短评内容': '酒店总体还可以，内部设施比较旧，空间还算可以，电视情况不好，不清楚，而且频道很少。如果能提升硬件设施的质量会更好', '短评打分': 5}
{'短评内容': '很不错，比较满意，很满意相当满意，太牛*了', '短评打分': 1}
{'短评内容': '价格可以，环境凑合，热水水流小，望酒店自身调整', '短评打分': 3}
{'短评内容': '临近繁华商圈，价格合理公道，房间宽敞舒适，适合推荐', '短评打分': 5}
{'短评内容': '房间很大，但是设施很旧，特别是地毯，有很多被烟烧成的小洞，而且光线很差，窗户玻璃坏了竟然没有换，支付只能现金，竟然不能刷卡。', '短评打分': 1}
{'短评内容': '位置应该还好，不太熟悉东营，房间很大。卫生条件一般，酒店设备有点旧。酒店的离店时间其实是下午两点，当天去了黄河入海口，时间有点紧，回来都快三点了，但酒店还是没算我超时。总的来说中等吧。', '短评打分': 5}
{'短评内容': '床很舒服，淋浴也很好，静音不错，就是电视的频道有点少，', '短评打分': 5}
{'短评内容': '酒店房间挺大 服务也不错 就是空调不是很好', '短评打分': 5}
{'短评内容': '地理位置非常好，距离中心休闲娱乐区很近，距离汽车西站很近，步行五分钟，价格还算便宜，酒店风格比较特别，到处挂着水墨画，洗漱用品一般，双人间里面只有一包洗发露，一包沐浴露，毛巾 浴巾比较旧。其他设施还算可以，空间比较好，卫生间全玻璃式周围环境比较安静', '短评打分': 5}
{'短评内容': '整体感觉还可以，但是地方稍微有点偏，酒店设备有点旧，但是服务员态度不错', '短评打分': 5}
{'短评内容': '还行吧。。。。洗澡水有点小。旁边施工盖楼，晚上有点吵。没睡好。不过地理位置还是很好很方便的。价格不贵倒是。', '短评打分': 5}
{'短评内容': '距离百货大楼非常近，里面条件一般般吧，电视台不是很多，沐浴液和洗发膏建议不要用一次性装的，那样，晚上洗了用了，白天没用的了。毛巾和浴巾距离淋浴器太近。其他还行，带电脑的屋子有点贵了吧，青岛有100元就带电脑的。', '短评打分': 5}
