{'短评内容': '还可以，条件不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境优雅，卫生干净，服务态度好，在市中心。', '短评打分': 5}
{'短评内容': '环境很好，', '短评打分': 5}
{'短评内容': 'wifi都没用', '短评打分': 2}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '设施很陈旧，除了空调，热水壶电视洗澡的花洒都是坏的，实在无力吐槽，服务还行', '短评打分': 3}
{'短评内容': '首先淋浴是直接下水到大便池的。第一次看到这样的卫生间，洗手台也是放出水漏进大便池。房间感觉已经用好久了。桌子的抽屉里发现有套套用过的。卫生间有小强出没。酒店唯一优点周边交通还可以，不过靠近他们的延河酒吧街，晚上就看你是那个房间了。总体而言小旅馆不值这个价。', '短评打分': 3}
{'短评内容': '单间的房间里面的床是双人间的那种床，在房间里面可以清楚听到外面关门的声音，旧房子味道有点大，酒店过道装修不错，里面翻新一下更好了', '短评打分': 2}
{'短评内容': '里面设施比较老了，要入住的多考虑一下。', '短评打分': 3}
{'短评内容': '第一次去乐山，从成都出发，到达乐山高铁站，坐3路公交车，大概十五站，直达宾馆，宾馆隔壁就是烧烤的，味道特别美，而且出店打车去大佛超级近，起步价五元就到！亲测，希望帮到大家！房间也可以！', '短评打分': 3}
{'短评内容': '真不怎么样    东风   兴发就离不远  完全不能比  异味太大……………………', '短评打分': 3}
{'短评内容': '显示的明明是可以停车的，停车的时候自己给了停车费，老板不给报，说网上订的本来就很便宜', '短评打分': 3}
{'短评内容': '挺有文化韵味的店，古色古香的走廊，环境和卫生也都挺好的呢。好评！', '短评打分': 5}
{'短评内容': '位置很好，去两个步行街很乐山大佛都很方便。前台一个非常热心。卫生有限，洗手台在滴水，洗手间灯坏了。另外一个告诉我联运车站可以做车到峨眉山，结果只能到市中心。还得转车。早知道就不问了。', '短评打分': 3}
{'短评内容': '价格便宜，环境还不错，临街，交通方便，我住的靠里面一件，很安静，就是厕所下水设计部太好，洗澡水都淌到外面来了', '短评打分': 5}
{'短评内容': '以后再也不回来了，什么玩意儿，地方那么远我的天啦', '短评打分': 1}
{'短评内容': '酒店周围交通挺方便，去张公桥小吃一条街也很近。房间感觉设施也比较齐全，卫生做得还行。前台服务也挺不错。自助旅游还是不错的选择。', '短评打分': 5}
{'短评内容': '房间很宽，非常不错，装修风格很特别，价格也不高，服务态度很好。', '短评打分': 3}
