{'descr': '环境不错的', 'star': 5}
{'descr': '空调有股严重的霉味，脏的很！', 'star': 3}
{'descr': '还不错，住了已经好几回了', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '太一般', 'star': 3}
{'descr': '还不错  很整洁  服务好', 'star': 5}
{'descr': '比较偏僻，房间设施还可以，入住退房都很方便迅速比较偏僻，房间设施还可以，入住退房都很方便迅速比较偏僻，房间设施还可以，入住退房都很方便迅速', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '就是周边太吵了', 'star': 4}
{'descr': '好，不错，经济实惠，比较平民化的价格，隔音效果不是太好，如果价格实惠，环境卫生管理体制都0k，那就是完美。', 'star': 4}
{'descr': '房间不错', 'star': 5}
{'descr': '噪音太大，其他的还好', 'star': 5}
{'descr': '环境和价格不符', 'star': 1}
{'descr': '卫生很好，服务规范。地点不错，是一个经济、设备齐全的工作酒店。', 'star': 3}
{'descr': '去过几次了不错~~~~~~', 'star': 3}
{'descr': '价格合理，酒店一般。感觉对得起这个价格。', 'star': 4}
{'descr': '这个价格合理，酒店一般。主要是距离我办事的地方方便。', 'star': 4}
{'descr': '房间比较小，喝水的杯子居然是一次性纸杯，这样很不环保，房间内连吹风机都没有', 'star': 4}
{'descr': '酒店还是不错的，在上海已经很便宜了，不过就是房间有点小。', 'star': 5}
{'descr': '宾馆还算干净，服务比凯旋店好点，喝水被子是一次性的。', 'star': 5}
{'descr': '很干净~服务很热情~不过附近吃的东西不是很多，旁边有公车可以通向徐家汇方向', 'star': 5}
{'descr': '还可以吧，就是电视机太垃圾了！', 'star': 3}
{'descr': '房间装潢虽然不是很精致，但十分淡雅素净，洗浴设施比较不错，提供双沐浴蓬头，唯一不是很给力的地方就是电视机，节目较少，按键不是很方便！总之，对于这个地段，这个房价来说，还是蛮不错的选择！', 'star': 5}
{'descr': ' 性价比还可以，电视台再多一点就更好了。', 'star': 3}
{'descr': '附近吃饭比较方便，毛巾比较干净，标准间临街太吵，不建议入住标准间', 'star': 5}
{'descr': '如果从内部环境来说，还好！还有楼下有家全家便利店，买东西挺方便的。只是前面的路口常有大车子经过，有点小吵！', 'star': 5}
{'descr': '环境不错，很干净', 'star': 3}
{'descr': '马路有点吵，还算干净，有蚊子没有蚊香', 'star': 3}
{'descr': '房间设置的很好， 空间还算可以，加上卫生间蛮大的，网络稳定，值得推荐，就是靠马路边的房间有点吵', 'star': 5}
{'descr': '蛮好的就是感觉小了点。。。没想象中那么大。。。。', 'star': 5}
{'descr': '这家店很好，就是在路口，噪音比较大，其他都好', 'star': 5}
{'descr': '感觉房间小了点，干净程度还可以的，价格挺便宜，性价比不错哈。', 'star': 5}
{'descr': '价格是便宜，但是房间太小了点。其它还行！', 'star': 3}
{'descr': '交通还真方便770一下就到徐家汇了', 'star': 3}
{'descr': '还不错，只是没地铁到这，还算干净，只是床单上有几根头发。', 'star': 5}
{'descr': '房内环境很好，热水也比较快，但是电视只有六个频道，而且特价房是临街的，很吵', 'star': 3}
{'descr': '酒店位置比较偏，如网友所说的，房间里味道比较大，房间较小，而且隔音没做好，住在6楼都能很清晰的听到车流声，因为就在十字路口转角处，各种汽车声音特别大，而且酒店为了增加房间 在电梯房后侧及配电房旁边也设置了房间 特别是电梯电缆的杂音 很明显 性价比一般 如有条件不推荐住这家酒店', 'star': 1}
{'descr': '位置有点偏，房间也比较小', 'star': 3}
{'descr': '就在家对面,平时亲戚来家里住起来很方便,而且也不贵', 'star': 5}
{'descr': '不去后悔，去了更后悔啊，厕所果然味道很大，水竟然还收钱。。。。蛋疼。吵就不说了，那位置够荒凉的', 'star': 1}
{'descr': '前台服务很好，房里的洗手间臭死了，希望该酒店会尽快的改善。', 'star': 1}
{'descr': '很干净…环境还可以…', 'star': 3}
{'descr': '还行吧。。特价房还无须讲究了。离南站还是有点路的。', 'star': 1}
{'descr': '定的特价大床房，房间不错，环境挺好，住了一晚上，没什么大的问题', 'star': 5}
{'descr': '整体还是不错，交通很方便，就是离码头很近？会听到船的汽笛声。。。', 'star': 5}
{'descr': '不是自己住的，帮朋友定的。由于比较近，开车方便。   ', 'star': 5}
{'descr': '房间不大,感觉比杭州时候住的锦江之星小,不过也挺干净的.', 'star': 5}
{'descr': '环境还可以，就是房间会小点，晚上停车有空位就能免费，没有的话就收费。                                            ', 'star': 5}
{'descr': '酒店比较比较安静，比较新，很干净，服务员也很热情，下次还会住\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '临街，非常吵。硬件条件很普通，服务也不够热情。', 'star': 1}
{'descr': '地理位置稍偏，房间干净不错，新楼，价格也可以不算贵。', 'star': 5}
{'descr': '太差了!!!世博期间价格高点也就算了，电梯没有空调，走道没有空调，从来没有见过这么差的酒店!!!', 'star': 1}
{'descr': '好', 'star': 5}
{'descr': '酒店环境还不错，挺干净的，出行也很方便，周边公交挺多，还有地铁，去哪都挺方便的。', 'star': 5}
{'descr': '这家酒店的环境硬件都很好，卫生服务也很达标，但是出行真的很不方便公交车就到晚上酒店，我五一过去是看世博的，每天回来都要打车，司机师傅还不太愿意去，酒店其它条件都还好就是位置太偏了。', 'star': 5}
{'descr': '房间虽然不大，但是看着宽敞。坐门口的公交车可以去搭地铁，交通还算方便。', 'star': 5}
{'descr': '什么都很不错，就是停车位可能少了点，只有6-8个的样子。', 'star': 5}
{'descr': '去年旅游时住过，老妈对卫生挑剔的不得了，就怕不干净，总是让服务员多打扫几次，服务员很耐心，态度总是很好。', 'star': 5}
{'descr': '选酒店最重要的是干净卫生，几经挑选最后定了这家，果然没失望。', 'star': 5}
{'descr': '去上海办事的时候住过，周围公交、地铁多，出行方便，其他方面就没什么要求了。', 'star': 5}
{'descr': '房间视野开阔，晚上安静，也能休息好，总体还算满意。', 'star': 5}
{'descr': '装修以暖色调为主，设施齐全，总体感觉舒适。', 'star': 5}
{'descr': '酒店的性价比还可以了,值得推荐', 'star': 3}
