{'短评内容': '早餐还可以，接送机服务', '短评打分': 4}
{'短评内容': '早餐没有以前那么大了，最爱吃的饼，堆在一起，也不好吃了，房间还是挺好的，送了水果，给满分是感情分，毕竟住了一年多的', '短评打分': 5}
{'短评内容': '适合带孩子，有停车场，离机场近，有送机场服务。', '短评打分': 5}
{'短评内容': '酒店条件不错，服务很好。晚上九点多入住还送果盘，早上4点多安排专车送到机场，很值得去。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间面积不错，内部环境还好，只是我房间玻璃窗隔音差，早早被吵醒。', '短评打分': 4}
{'短评内容': '还不错，在机场旁很近、旁边有公园喝购物中心，满足第二天赶飞机的需求', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': 'hai ke yi ba', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '不错，设施老了一点', '短评打分': 4}
{'短评内容': '房间还可以，就是楼层指引不清楚，电梯在很隐蔽的拐角，哎，对于一个带着多行李的人来说，折腾死了！', '短评打分': 4}
{'短评内容': '环境优美，没有噪音', '短评打分': 5}
{'短评内容': '现在周边都在修路，晚上到酒店不是很好找。连出租车都走错路，找不到酒店所在路的入口。可能路修好了就会好转吧！周围可吃的地方很多，很方便，而且紧临的就是一个大超市。最值得一提的就是酒店和公园只有一墙之隔，早、晚散上一圈步是最好的享受。酒店的早餐还需增加品种，餐厅位置也不是很好找，可否改进？', '短评打分': 5}
{'短评内容': '地理位置较偏僻，服务一般，', '短评打分': 3}
{'短评内容': '离机场很近，周边靠着一个公园，环境比较优雅，但是酒店设施有点陈旧', '短评打分': 4}
{'短评内容': '很满意  下次还住这', '短评打分': 5}
{'短评内容': '和总体还可以，在外出差只要干净就好', '短评打分': 4}
{'短评内容': '匆忙入住，要开票时，出了点问题。最后还是解决了。总体不错', '短评打分': 4}
{'短评内容': '我们住的是288元的豪标。房间十分安静，也干净。淋浴水可以。但卫生间地面的积水不能排走。免费送机场。当只有一个旅客时，也会专门去为这个旅客叫一个出租到机场（宾馆付费）', '短评打分': 5}
{'短评内容': '酒店距离机场不远，而且可以接送，也方便。早餐不错，就是普通标准间太旧，而且不能够上网，这样不太方便。', '短评打分': 5}
{'短评内容': '酒店房间的空调是中央空调，对于这家比较老旧的酒店，从中央空调排风孔里吹出来的冷气感觉很不舒服，也许是老旧酒店的中央空调楼道的通风管道从来不用清洗，不喜欢中央空调制冷这种方式。但重庆的夏天确实又太热，酒店房间里不开中央空调又不行，勉强吹了吹感觉很不舒服。', '短评打分': 1}
{'短评内容': '环境安静，服务尚可。设施老旧了。', '短评打分': 3}
{'短评内容': '啥都还不错，就是这么多年了，该重新装修装修了。', '短评打分': 5}
{'短评内容': ' 酒店环境很好，附近还有大型的购物商场，沃尔玛超市等等…物价也不是很贵…方便实惠…', '短评打分': 3}
{'短评内容': '卫生条件一般；环境安静；\n\n使用了20元消费券，但结账时酒店不同意使用', '短评打分': 5}
{'短评内容': '我们被安排住的一楼,床还是很干净,卫生间有些破旧,房间很潮湿,也有可能正好那几天重庆天天大雨吧.水龙头基本都有问题.不过早餐很不错', '短评打分': 5}
{'短评内容': '。酒店简洁干净，周边环境好。', '短评打分': 3}
{'短评内容': '酒店周围环境还可以，房间内设施设备比较齐全，但显得比较成旧。前台收银不能刷卡。早餐质量感觉比以前入住该酒店的早餐有退步。', '短评打分': 5}
{'短评内容': '实在太差，服务员凶巴巴的，爱理不理的，没空调，晚上太冷，地毯脏，房间异味太重', '短评打分': 1}
{'短评内容': '酒店硬件一般，但是服务相当不好，特别是早上送机的司机，脾气大，闯红灯，服务不好。', '短评打分': 1}
{'短评内容': ' 乘机方便。', '短评打分': 3}
{'短评内容': '真的很好，妈妈说早餐特别好，什么都有的吃，离着机场近。吃完早餐都吃不下机餐了= =夏天去的，中央空调看的温度很低，很爽啊！', '短评打分': 5}
{'短评内容': '四楼的房子很旧了，希望能重新装修', '短评打分': 3}
{'短评内容': '环境还不错，房间条件还可以，就是找的时候，出租车找了一大圈才找到，有早上送机服务，遗憾的是没有接机服务。', '短评打分': 5}
{'短评内容': '服务很好，早上还有车免费送机场。很满意，房间条件还凑合', '短评打分': 5}
{'短评内容': ' 性价比还行', '短评打分': 3}
{'短评内容': '前台脸色差的一毛！好像欠了她似的！房间隔音不好，但平心而论环境不错，性价比可以，早餐和送机服务还是不错的，特别是送机的司机师傅很热情，态度可圈可点，给个推荐吧。', '短评打分': 5}
{'短评内容': '只是为了过夜，定了一个普通标间。虽然价格非常的低廉，但是房间我不敢恭维。\n味道超级重，我硬是拿出香水，狂喷才好些。卫生间恶臭而且光线很阴暗。类似闹鬼的房间。他们所谓的豪华间我也住过，也很一般。\n所以，性价比超级低。飞机晚点，到重庆12点多了，所以迫于无奈的选择。', '短评打分': 1}
{'短评内容': '早餐还不错，房子有点旧了。一楼有点潮，要住的话一般最好是选择二楼会好一点。不过我这个说的是老楼的房间。', '短评打分': 5}
{'短评内容': '价格适中，离机场近，打车十元，早餐不错，房间整洁，设施陈旧。总之为乘飞机可以选择', '短评打分': 3}
{'短评内容': '犀牛宾馆我住的是8206房间卫生条件不好卫生间的洗脸池都破了', '短评打分': 3}
{'短评内容': '酒店很好，离机场很近，卫生很好，早餐丰盛，下次来重庆还住这里。', '短评打分': 5}
{'短评内容': '虽然陈旧  但卫生尚可  有送机服务  对转机客人挺适合', '短评打分': 5}
{'短评内容': '房间的设施实在是太差了。特别是浴室。很残旧。像是上世纪90年代遗留下来的。灯也暗，空调也不能调温度，不是我们当代用的空调。是那种很古老的空调，不能调温度。我凑合住了一晚上，宁愿不洗澡也不想上那个厕所。实在太烂了。水龙头还滴水。房门也不太好。隔音也差。好就好在早上5点40就有免费送机服务。如果大家能接受上述条件而又要搭早机的话，还是推荐给你的。', '短评打分': 5}
{'短评内容': '机场对面，坐早班机不错，设施有些老旧，总体还可以吧。。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '房间还可以 厕所不敢恭维，很陈旧都掉漆了 要是只住一晚睡个觉还是可以的', '短评打分': 3}
{'短评内容': '房间干净整洁，满意', '短评打分': 3}
{'短评内容': '普通标准间太旧，而且不能够上网，除睡觉的床还比较干净以外和离机场近，其他一般。', '短评打分': 3}
{'短评内容': '不坐飞机谁也不会到这里住，设施真的很旧但还算干净，晚上睡觉很安静，早上有免费的汽车到机场，要是赶早班机还是很值得住的，服务人员有点冷漠，有点像二十年前国营老店的服务员，另外你要不说明要有宽带的房间人家一定直接给你安排没宽带的，除非你提出了再给你换，有点欺客的感觉。', '短评打分': 1}
{'短评内容': '酒店的外部环境不错，旁边就是公园，唯一的缺憾就是环境有点潮湿，卫生间设备太陈旧。若乘早航班，离机场很近，还有免费送机服务，值得推荐！', '短评打分': 5}
{'短评内容': '138元的标普（含双早），价格是可以，图片也不错，但硬件太差，类似平民窟，省钱的朋友可以将就.房门低矮，墙面斑驳，卫生间五脏俱全，但实在是破败不堪', '短评打分': 1}
{'短评内容': '房间不错，离机场也近，挺安静的！', '短评打分': 3}
{'短评内容': '酒店比较简单，比较经济，就在机场对面，但走起来不太方便，有送机服务，能接机就更好', '短评打分': 5}
{'短评内容': '环境一般，但比较安静，设施有点旧，提供的早餐很丰盛，性价比较高', '短评打分': 5}
{'短评内容': '硬件设施是差了点，不过也对得起那个价格了。环境还不错，早餐也挺丰富的，最关键得是酒店还有免费的送机服务。', '短评打分': 5}
{'短评内容': '性价比高 很安静  但卫生间设施比较陈旧', '短评打分': 5}
{'短评内容': '服务态度好。离机场近。旁边还有碧津公园。还免费送机。', '短评打分': 3}
{'短评内容': '还不错，离机场挺近的，适合候机居住，价格也适中。', '短评打分': 5}
{'短评内容': ' 酒店环境还不错，卫生、整洁，有一点不足就是卫生间地板不平，洗澡后积水无法排出。', '短评打分': 3}
{'短评内容': '该酒店是个非常好的酒店‘服务到位’设施好‘下次还去；', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '性价比不错，离机场比较近，来去江北机场比较方便。', '短评打分': 5}
{'短评内容': '环境幽雅，十分安静，卫生一般，性价比十分高！', '短评打分': 5}
{'短评内容': '房间装修很老 一股味道 早餐还好', '短评打分': 3}
{'短评内容': '酒店服务可以，内部用品已相当陈旧，性价比一般', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '很好啊！离机场那么近！服务也不错！这个价位蛮好的', '短评打分': 5}
{'短评内容': '没服务员，没电梯，没热水，没网络，差', '短评打分': 3}
{'短评内容': '还行~就是吃早餐的地方太绕~性价比还是不错的~~', '短评打分': 5}
{'短评内容': '价格合适~~去的时候是大年初一~员工都放假了~早餐简单的吃了', '短评打分': 5}
{'短评内容': '的确设施有点陈旧，离机场近，方便，周边小吃也比较多，很正规的酒店', '短评打分': 5}
{'短评内容': '像迷宫一样的酒店，如果很累就不要去了，找房间还要花很长时间', '短评打分': 1}
{'短评内容': '宾馆还行', '短评打分': 3}
{'短评内容': '位置近，酒店服务态度也好，早餐很丰盛，觉得值得一住。', '短评打分': 5}
{'短评内容': '虽然设施稍微陈旧了一些，但性价比还是不错，值得推荐', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '＋满意', '短评打分': 3}
{'短评内容': '离重庆江北机场很近，已经是第二次入住了，非常不错！', '短评打分': 5}
{'短评内容': '酒店大堂挺漂亮，不过房间就太一般了，屋子有些旧，洗漱设备也不太好，不过看这个价位也还算过得去吧。', '短评打分': 5}
{'短评内容': '很满意。', '短评打分': 3}
{'短评内容': '我二月十号入住该酒店，就它的价位，所受到它的服务，我是满意的。\n本订的是九号入住至十一号，后因九号在重庆大足，让减一天，\n等于说没住就麻烦酒店，服务和态度都好。后改一天。普标的房间算大的，空调也蛮好，除硬件旧点，没别的不好。更让我感到方便的是，有预订去机场的专车，就因为我是早晨七点整的飞机，才选住该酒店。有车送我，我就放心了，收费也合理。下次去重庆，如果是坐飞机，首选还是该酒店。', '短评打分': 5}
{'短评内容': '优点离机场近，设备旧', '短评打分': 3}
{'短评内容': '设施太陈旧了      唯一的好处就是离机场很近      但是感觉这个价格不值得了', '短评打分': 5}
{'短评内容': '还可以，离机场比较近，只是设备太陈旧了。', '短评打分': 3}
{'短评内容': '标准三星,环境非常好,在碧津公园里,只是卫生间设施比较旧了点,门也不太好!如果这两点能改善,真的非常好!!', '短评打分': 5}
{'短评内容': '不错，条件还可以。距离机场也近，走路半个小时就到了。', '短评打分': 5}
{'短评内容': ' 环境还不错~', '短评打分': 3}
{'短评内容': '设施陈旧', '短评打分': 3}
{'短评内容': '犀牛宾馆很安静，但是普标设施太陈旧了，和招待所有一拼了。不过要强调一点：设施破旧了点儿，床面卫生还是很好的。', '短评打分': 3}
{'短评内容': '距离机场不远，坐出租车10元，而且环境以及服务都很周到。不好的是，设备比较旧，但是性价比不错', '短评打分': 5}
{'短评内容': '比较老的酒店,设备陈旧,还没有宽带,就是离机场较近', '短评打分': 1}
{'短评内容': '图片与实际相差太多了，酒店房屋陈旧，服务员还很老', '短评打分': 1}
{'短评内容': '便宜！水大，不过洗得不爽。在重庆机场周边综合看性价比可以的！', '短评打分': 5}
{'短评内容': '位置太偏僻了，其他一般', '短评打分': 3}
{'短评内容': '离机场近  但是其实去机场靠走的还是有点麻烦的  早晨很早的航班是打的去的机场\n\n住的时候浴室的水龙头坏了 有点郁闷\n\n不过经济型的酒店这样已经可以了', '短评打分': 5}
{'短评内容': '不错的地方，推荐入住，环境不错，离机场很近', '短评打分': 5}
{'短评内容': '一般般…配不上三星的称号…很旧…但离机场很近的', '短评打分': 5}
{'短评内容': '还是可以,没有想象中好，也没有想象中差，歇歇还是要的', '短评打分': 5}
