{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '第二次入住了，两次都是家庭出游。酒店的地理位置优越，紧邻国贸CBD，大北京最繁华的地段，北面就是使馆区域。附近公交地铁都很方便。二居室也比较适合家庭出游，特别是带着老人小孩要一起活动的，但是酒店设施维护得不怎么样，和3年前比已经很老旧了，服务比较热情，问题都得到了及时解决。但如果经常住高星级酒店的请略过，各种奇葩的事情会让你无所适从的，仅适合家庭出游且带着不常出门的老人必须住在一起的家庭。', '短评打分': 3}
{'短评内容': '一切都是那么糟糕，不知道还能不能再差点', '短评打分': 2}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '就是脏脏脏。', '短评打分': 1}
{'短评内容': '空调不给力(*￣m￣)，其他还不错，厕所装修老旧', '短评打分': 4}
{'短评内容': '在北京这样城市，可以接受', '短评打分': 4}
{'短评内容': '如果人多，不计较其他，只计较费用的话，可以选择', '短评打分': 3}
{'短评内容': '下次家庭旅游还是首选，服务态度好，干净。', '短评打分': 5}
{'短评内容': '环境挺好的，交通便利，我们是家庭出游合适，下次还选这里，老板人很好，祝生意兴隆', '短评打分': 5}
{'短评内容': '服务非常好，环境也非常好', '短评打分': 5}
{'短评内容': '好', '短评打分': 2}
{'短评内容': '好', '短评打分': 1}
{'短评内容': '酒店就在地铁建国门附近，乘坐地铁一二号线非常方便，到北京的主要景点的交通均有，主要是出行方便', '短评打分': 5}
