{'短评内容': '外景不错，啥都很好。方便', '短评打分': 5}
{'短评内容': '包琪和微微服务态度很好，经常来住，干净卫生。', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置在中心 环境很好 每次和朋友来都住这种家庭房 今天带家里人一起也享受了一次 逛街特别方便 早餐很好吃 姑娘身高不够 免费吃的  ', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '非常好的一家店，值得推荐，下次来还会住，交通便利，酒店高大上，适合出差，旅游，高楼层景色不错，可惜停车位紧张', '短评打分': 3}
{'短评内容': '非常好的一家店，值得推荐，下次来还会住，交通便利，酒店高大上，适合出差，旅游，高楼层景色不错，可惜停车位紧张', '短评打分': 3}
{'短评内容': '非常好的一家店，值得推荐，下次来还会住，交通便利，酒店高大上，适合出差，旅游，高楼层景色不错，可惜停车位紧张', '短评打分': 3}
{'短评内容': '冬天来的，一百多住这种环境的酒店很合算。是常客了，每回来都住这里，前台石娜服务态度很好，好评', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '出差一直住这里，吃饭方便，出行便利。房间干净舒适，房间够大！非常不错', '短评打分': 5}
{'短评内容': '地段不错，床间也大，就是暖气不够热', '短评打分': 5}
{'短评内容': '环境不错 价格便宜 性价比高', '短评打分': 5}
{'短评内容': '环境不错 价格便宜 性价比高', '短评打分': 5}
{'短评内容': '环境不错 价格便宜 性价比高', '短评打分': 5}
{'短评内容': '整体感觉一般，和对面的友谊没得比。不错下面的餐厅自助餐还行，整体凑合。', '短评打分': 1}
