{'短评内容': '不错的一间酒店!', '短评打分': 4}
{'短评内容': '早餐OK，有停车场。房间不错，位置也很好。适合商务出差人事。但停车场通常要晚上10才有位置。总体感觉不错。', '短评打分': 4}
{'短评内容': '感觉装修很旧，刚入房间的时候，还有一股味道，窗户的锁也坏了，不能锁，外面有唱歌的地方，噪音太吵了，早餐也不怎么样，反正不如四星级酒店的早餐，', '短评打分': 4}
{'短评内容': '酒店不错，就是周边没有什么娱乐和餐饮', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': 'shemr', '短评打分': 5}
{'短评内容': '不错，在同安算性价比超高了，早餐不错。', '短评打分': 5}
{'短评内容': '除了没有大床房，其他都很满意。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '在同安算是不错的', '短评打分': 4}
{'短评内容': '在同安还可以了', '短评打分': 4}
{'短评内容': '性价比不错', '短评打分': 4}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '环境不错。', '短评打分': 4}
{'短评内容': '酒店在同安市区，离高铁站较近，早餐不错，但是酒店附近没什么好逛的。', '短评打分': 4}
{'短评内容': '门脸有点小了，但内部空间还可以，有停车场，周边的饭店较少，只有一些大排档，如果去工作有人请客，还可以。', '短评打分': 5}
{'短评内容': '环境不错，房间宽敞，服务态度很好！下次仍机会去的话还住这酒店~~', '短评打分': 5}
{'短评内容': '酒店比较新，有早餐，性价比在当地算还不错的了', '短评打分': 5}
{'短评内容': '酒店不错，等价。', '短评打分': 3}
{'短评内容': '比想像中好太多了。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服務低劣：要衛生紙，每次只給一小卷，很快就用完，一冕叫他們拿三次來。\n交通不便：附近没有任何出租車，只有酒店的代租私家車，出行不便利\n早餐低劣：食品種類小，而且很涼', '短评打分': 1}
{'短评内容': '房间比较大，但是卫生条件不是很好，不值这个价', '短评打分': 1}
{'短评内容': '靠近同安汽车站，新开的酒店。设施较新服务不错，综合性价比较高', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '今天的房价降了，不错的酒店，已经介绍多位朋友如住。', '短评打分': 5}
{'短评内容': '不错的酒店，环境卫生都还不错，不过早餐简单了点。', '短评打分': 5}
