{'短评内容': '很好的一家酒店，值得住的……', '短评打分': 5}
{'短评内容': '第一次订了一天，比较满意后办理了延住，客房比较紧张但携程还是帮我们协调到了，酒店的早餐在旁边的鸿翔记，15元一位，一位也就是一份，有包子、烧饼、鸡蛋和些许西蓝花西红柿，再加一份粥或者牛奶吧，还可以，总体的体验还是比较好的，推荐吧！', '短评打分': 5}
{'短评内容': '酒店位置很便利，离五道口地铁站仅几百米吧，去附近的学校北大、清华都很方便，酒店这两天没挂牌子不是很醒目，但是进来发现有院子还能停车，一楼大厅也挺大，有朋友来会面还可以在大厅休闲区小坐，前台服务态度好，办理速度也很快，房间选的无窗商务单间，挺大的，设施各方面也很满意，虽说无窗也做了个假窗绿植灯带，让人感觉比较舒服，整体来说感觉比较舒适，私密性也好，算是物超所值了！', '短评打分': 5}
{'短评内容': '距离北四环、五道口都不远，交通还算便利。', '短评打分': 4}
{'短评内容': '设施不错，住的很舒服', '短评打分': 5}
{'短评内容': '热水没有，洗澡冻死人！', '短评打分': 4}
{'短评内容': '地理位置不错，离机场大巴站和地铁较近，酒店对面有不少餐馆，服务员较热情。', '短评打分': 4}
{'短评内容': '性价比太差，', '短评打分': 3}
{'短评内容': '位置有点偏 离地铁站有点远 其它没什么特别之处', '短评打分': 4}
{'短评内容': '一般吧 在北京也就是快捷这个级别', '短评打分': 4}
{'短评内容': '好好好', '短评打分': 4}
{'短评内容': '还不错吧，这个价钱来说全是不错的了', '短评打分': 5}
{'短评内容': '条件一般，价格有点高了，这价格在四川能住很好的酒店了，在北京就这样吧，附件有地铁和公交，离清华大学很近，就这样了', '短评打分': 4}
