{'短评内容': '挺干净 也挺安静 就是不知道水为什么滑滑的', '短评打分': 4}
{'短评内容': '冬天来这，也不知道是暖气管子还是下水管，咕噜咕噜的，很大声，我躺在床上感觉自己在海景房里，耳边是波涛拍击沙滩的声音，就这么挨了两天怎么多水，洗澡热水上那么慢', '短评打分': 5}
{'短评内容': '发票不能按实际支付额度开票，没有热水，设施陈旧', '短评打分': 1}
{'短评内容': '早餐一般般 家常 就是餐厅太冷了。 我住的是榻榻米的房间 没有供暖只有空调 声音太大了 一宿都在响、热水也不是24小时的', '短评打分': 4}
{'短评内容': '酒店早餐品种少味道差，房间小卫士也一般', '短评打分': 3}
{'短评内容': '服务不错，环境也不错，房间特干净，', '短评打分': 5}
{'短评内容': '周边环境不好', '短评打分': 4}
{'短评内容': '热水就像小便一样，有点温', '短评打分': 3}
{'短评内容': '有点异味', '短评打分': 4}
{'短评内容': '帮别人预定的 自己没住过 只是位置离办事的地方方便', '短评打分': 5}
{'短评内容': '烟味重 但房间够大 周边方便', '短评打分': 4}
{'短评内容': '性价比还是比较高，周边餐饮服务齐全。', '短评打分': 4}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '设施陈旧，还有蚊子', '短评打分': 2}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '还可以，房间挺干净的。', '短评打分': 3}
{'短评内容': '打车很方便 走出临河街很多餐馆 很不错 下次出差还来', '短评打分': 5}
{'短评内容': '房间里有电脑 网速不稳定 房间也够大 就是总感觉这是老酒店', '短评打分': 5}
{'短评内容': '在会展中心附近 刚好这段时间做展会 还是比较方便的 车也好打', '短评打分': 5}
{'短评内容': '酒店还是不错的，就是位置有一点偏，价格还算适中', '短评打分': 5}
{'短评内容': '经济实惠型的酒店，高要求，讲究品质的朋友就不要选择吧。', '短评打分': 5}
