{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '早餐品种多样合口味，卫生干净，服务态度好', '短评打分': 5}
{'短评内容': '酒店一般，淋浴喷头不行', '短评打分': 4}
{'短评内容': '酒店环境很好', '短评打分': 4}
{'短评内容': '环境和评价都好', '短评打分': 5}
{'短评内容': '环境很好，还有早餐吃，住了好几天了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位置不错，周边购物，吃饭也都方便，酒店设施可以，地下停车场也不收费，就是早餐一般般，没有什么可以吃的', '短评打分': 4}
{'短评内容': '房间隔音一般，隔着马路晚上有点吵，最不能忍的是温泉酒店居然没有热水洗澡，前台说因为是温泉水要放20分钟会有热水，我放到快睡着依然是凉的', '短评打分': 3}
{'短评内容': '浴巾太旧了', '短评打分': 3}
{'短评内容': '不错的酒店，挺干净，洗澡水也很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错，性价比很高！', '短评打分': 5}
{'短评内容': '感觉很好', '短评打分': 5}
{'短评内容': '比较方便，周边配套情况还可以', '短评打分': 4}
