{'短评内容': '服务尚可，设施待改。', '短评打分': 4}
{'短评内容': '服务可以，硬件稍差。', '短评打分': 4}
{'短评内容': '早餐不丰盛但实用，8.30吃的基本都是冷的。环境不错，停车场很方便，基本满意。', '短评打分': 4}
{'短评内容': '不错不错！', '短评打分': 4}
{'短评内容': '酒店可以的，好评，早餐吃的东西少了一点，卫生环境都不错', '短评打分': 5}
{'短评内容': '里面电视不错，频道很多，很好看', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以吧，设施比较齐全，装修比较陈旧', '短评打分': 5}
{'短评内容': '早餐很一般', '短评打分': 4}
{'短评内容': '好好好好好地很特别特别，特别特别滴好好好，非常好。环境很好，卫生很好，房间很好很好，很好很好，非常好。', '短评打分': 5}
{'短评内容': '每次去都住在这', '短评打分': 5}
{'短评内容': '酒店不算豪华，但很规范。交通便利，环境安静。值得点赞的是前天服务，非常认真。经理协调事情也非常娴熟。下次出差还会选择这家酒店。', '短评打分': 5}
{'短评内容': '还成。比较便宜', '短评打分': 4}
{'短评内容': '性价比超高，适合商务旅行', '短评打分': 5}
{'短评内容': '卫生、空调好，舒适，早餐也还行吧！', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
