{'短评内容': '杭州的宾馆周末价格多变', '短评打分': 5}
{'短评内容': '位置好，交通方便', '短评打分': 5}
{'短评内容': '酒店设施太老了，房间也不大，就是位置好点。', '短评打分': 4}
{'短评内容': '房内配套设施有些陈旧，其他还不错。', '短评打分': 4}
{'短评内容': '很安静，周边的环境也不错，设施都挺齐全的，主要是卫生做的还是很不错的，很干净、整洁，希望对住酒店的朋友有些帮助(*˘︶˘*)', '短评打分': 5}
{'短评内容': '酒店不错挺好的，价格便宜', '短评打分': 5}
{'短评内容': '酒店设施较陈旧，周边交通很方便，', '短评打分': 4}
{'短评内容': '房间很不错，位置佳', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间卫生一般，壁纸有发霉的地方。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '环境卫生，出行方便', '短评打分': 3}
{'短评内容': '不知道是什么机器响个不停…………服务挺好！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错就是早上有点吵', '短评打分': 4}
{'短评内容': '酒店装修比较老了 好多地方墙纸都脱落了 毛巾 床上用品什么的都比较破旧了 晚上说的矿泉水也要收钱的 唯一满意的有个户外阳台', '短评打分': 4}
{'短评内容': ' 丽庭酒店环境很不错，离省高院很近，很方便，以后就选它了', '短评打分': 3}
{'短评内容': '环境很不错 房间很大 也很清爽干净 下次还来', '短评打分': 5}
{'短评内容': '房间狭窄，设施也不新了。\n有不知名的低频噪音，白天不明显，夜深人静很干扰睡眠。\n虽然是辅路上的酒店，深夜至凌晨仍然偶有车辆经过，而且竟然喇叭响，MD.\n两百以内的价格还差不多，这个价格，不值得。', '短评打分': 1}
{'短评内容': '商务型，酒店比较幽静，门前有少量停车位，楼下粗菜馆菜好吃', '短评打分': 5}
{'短评内容': '房间干净整洁，有个可爱的漏天小阳台。。。附近还有外婆家。。。', '短评打分': 3}
{'短评内容': '各项都一般，主要没有大床的房间，下次会选择别家', '短评打分': 5}
{'短评内容': '停车不是很方便，整体还算干净的，价格相对有点小贵！！！', '短评打分': 5}
{'短评内容': '酒店有点偏，不好找，在市场旁边。房间空间大，太设施比较简单，性价比高', '短评打分': 5}
{'短评内容': '酒店还算干净，但是就是地方稍偏了些，打车不方便', '短评打分': 3}
{'短评内容': '客房干净，卫生间很大，但房间比较小，价格小贵:-)', '短评打分': 3}
