{'短评内容': '一般，有停车场，停车方便', '短评打分': 5}
{'短评内容': '酒店位置好.位于市中心、出行和购物也比较方便.房间比较大.干净卫生.昨天晚上住了一个临街的.吵死了.网速不是很快.早饭质量有待提高', '短评打分': 4}
{'短评内容': '性价比超高，环境不错，细节有待提高！', '短评打分': 5}
{'短评内容': '不错。值得推荐。', '短评打分': 5}
{'短评内容': '酒店位置不错，交通方便，有停车场；房间卫生还不错，中规中矩；早餐味道还可以，种类稍微少了一点。总体来说可以推荐吧。', '短评打分': 4}
{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '楼下在装修，吵！房间没吹风，让保安送个吹风，我还特意说让服务员送，太不专业了！', '短评打分': 3}
{'短评内容': '国庆期间入住，装修都没有全部完工，没有空调', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '酒店标间房间有点小，网络挺好的。', '短评打分': 5}
{'短评内容': '国庆出游，装修尚未完全竣工，空调不能使用，有停车场可免费', '短评打分': 5}
{'短评内容': '不错的地方，方便，离商务区很近，周边有很多吃的，下次还会住哪里', '短评打分': 4}
{'短评内容': '订了后才知道是没窗的房间，要更换比较复杂，早餐一般', '短评打分': 4}
{'短评内容': '价格高了点，不过早餐不错，房间灯光不行比较暗，台灯也是坏的', '短评打分': 4}
{'短评内容': '不错，', '短评打分': 4}
{'短评内容': '环境不错，服务周到，下次还来', '短评打分': 5}
{'短评内容': '酒店裝修太旧了', '短评打分': 3}
