{'短评内容': '酒店交通方便，房间相对比较便宜，很实惠，下次还会去住。', '短评打分': 5}
{'短评内容': '还不错，环境蛮舒服的，除了大花洒陈旧，其他都挺满意。', '短评打分': 3}
{'短评内容': '第二次住了，主要是离火车站近，方便，而且环境干净', '短评打分': 5}
{'短评内容': '酒店价格比较实惠，房间比较大，整体不错。对的起价格，下次去还会住。缺点网络经常掉线。', '短评打分': 5}
{'短评内容': '服务什么的都还好、性价比蛮高的~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '很好的宾馆，还有早餐，值得大家去住，地理交通方便', '短评打分': 5}
{'短评内容': '不错的酒店，值得去住，在那个城市就算好的宾馆了。', '短评打分': 5}
{'短评内容': '卫生不错，性价比很好。', '短评打分': 3}
{'短评内容': '在火车站广场对面，交通方便。房间和价格比较对称，不过总的来说还是不错的。', '短评打分': 5}
{'短评内容': '离火车站比较近，周围环境还可以，里面情况不如旁边的浙江宾馆，当然价钱也比浙江宾馆要低一些', '短评打分': 1}
{'短评内容': '住的还算可以，房间干净，就是有点陈旧，服务还好，下次还来', '短评打分': 5}
{'短评内容': '挺便宜的。名字叫香格里拉挺让人汗的！坐车特别方便', '短评打分': 5}
{'短评内容': '不错，车站旁，这个价位可以了，电视频道多些就好了，没吹风机，不怎么方便', '短评打分': 5}
{'短评内容': '贵得离谱，旁边的速8才88元', '短评打分': 3}
{'短评内容': '环境舒适卫生，设施齐全，居住感受好', '短评打分': 3}
{'短评内容': '一个字贵啊，周边同档次的才80，而且新开的一家100的，都比这个好，卫生条件很差，蚊子特别多，服务态度很拽的', '短评打分': 1}
{'短评内容': '酒店还可以，卫生条件也还可以，但是电视太小了', '短评打分': 5}
{'短评内容': '酒店还可以，住的还行吧，  推荐吧。。。', '短评打分': 5}
{'短评内容': '酒店还可以吧，就是里面的设施有些老化了，电视小了些', '短评打分': 5}
{'短评内容': '不错不错，条件挺好的', '短评打分': 3}
{'短评内容': '有时连不上网、、其他的都不错、、、、、、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '不错  真的  不错             还行  房间大  ', '短评打分': 5}
{'短评内容': '住了两天了，满意', '短评打分': 3}
{'短评内容': '环境不错，干净', '短评打分': 3}
{'短评内容': '房间很大，卫生不错。性价比不错。', '短评打分': 3}
{'短评内容': '便捷，安静,空调也很得力，早餐也不错，这样的价格很值', '短评打分': 5}
{'短评内容': '总体上来说很不错，在阜阳这个店不错了，价格还是稍微贵了点，可以接受，服务很好，很干净，热水不是太热', '短评打分': 5}
{'短评内容': '＋很好的服务，由于赶火车，离店手续办的非常快，很好', '短评打分': 3}
{'短评内容': '这个酒店比较干净，服务态度好，下次去估计还是会住的', '短评打分': 5}
{'短评内容': '该酒店保安半夜三更走道用对讲机讲话，还查房，吵得人无法入睡', '短评打分': 3}
{'短评内容': '条件差点要从新装修了', '短评打分': 3}
{'短评内容': '火车站正对面，的确很方便\n\n在前台直接付款也是108元\n\n早餐品种还算可以', '短评打分': 5}
{'短评内容': '一般，晚上有点吵，电视台不多，服务态度一般。火车站旁边，这个价位，可以接受吧。', '短评打分': 5}
{'短评内容': '卫生差了点 其他的还不错 内部环境应当重新装修了', '短评打分': 5}
{'短评内容': '卫生差了点 其他的还不错 内部环境应当重新装修了', '短评打分': 5}
{'短评内容': '服务态度、住宿环境：均不推荐。可能地方差异吧，感觉和连锁的宾馆真的是有一些差距的。', '短评打分': 1}
{'短评内容': '卫生很干净,房间也很大,下次还会光顾', '短评打分': 3}
{'短评内容': '环境还不错，网速非常快，就是早餐不太好。', '短评打分': 3}
{'短评内容': '浴室没有门，没有热水洗澡，门不隔音，周围没有什么可以吃饭的地方，价格比市区的贵很多', '短评打分': 1}
{'短评内容': '交通方便，就在火车站旁，离市区也进，我来的时候可能太早，房间有点紧张\n房间内干净整洁，面积很大，早餐要到明天才知道好不好\n感觉对得起这个价格，很不错，推荐一下！', '短评打分': 5}
{'短评内容': '优点:1.离火车站近,公交站近,交通方便;2.提供免费早餐,味道还行;3.上网速度快;4.热水够热\n不足:1.嘈杂吵闹,屋与屋隔音不好;2.设施较陈旧;3.卫生状况不是很满意,床单居然有烟味,拖鞋底明显脏污;', '短评打分': 1}
{'短评内容': '  年廿八晚上七点半入住的时候，并没有告知没有热水。在等了两个小时后，还是没有热水。期间一直询问什么时候会好，回复是不知道，正在修。我们问洗漱怎么办？回复是别洗了，睡觉吧？\n\n我们一路风尘的赶来，明天还要赶路，入住酒店就是为了能好好的休息一下，不知他们怎么想的？我们要求退房，他们说可以，但房款要全收。\n\n后经交涉按钟点房收取，我们不依，理由是如果入住的时候，他们告知了暂时没有热水，我们答应了等待，', '短评打分': 1}
{'短评内容': '离火车站很近，是出行的最佳选择，而且价格适中。第二天退房的时候，想找个地方寄存东西，然后问了下前台，酒店免费给寄存。', '短评打分': 5}
{'短评内容': '我是2012年1月17号入住的这家酒店，当时定的是豪华大床房，我去的时候前台告诉我只有一间房间了，就是给我预留的。由于当时坐车太累就想找个地方休息算了，所有的手续办完后我就上了楼，坑爹的一幕开始了，首先是房间的门居然有点问题，这也就算了，我进去后厕所的门根本就没有，想想也就算了自己一个人住，没有门也没事。整理东西准备洗澡的时候，厕所里的洗澡的差点把我恶心的吐出来，整个浴霸的头全是黑的，墙壁上全是污', '短评打分': 1}
{'短评内容': '出火车站就能看到，非常方便，在那边看这个价还行，酒店外面的环境不好，太靠近车站了，', '短评打分': 5}
{'短评内容': '环境确实不错，很有氛围，很温馨。距离火车站也很近，各种方便...', '短评打分': 5}
{'短评内容': '酒店还行，住宿环境一般，离火车站近，方便同时晚上会有点吵', '短评打分': 5}
{'短评内容': '条件设施一般，屋里不是很暖和，窗户不够隔音。服务比较热情，总体还可以。', '短评打分': 1}
{'短评内容': '房间很干净，里火车站很近，比较方便，下次还会住这里', '短评打分': 5}
{'短评内容': '＋还不错，值这个价，而且还有早餐，虽然不知道早餐好不好吃？', '短评打分': 3}
{'短评内容': '服务态度挺好的，房间也干净整洁。只是隔音效果不太好，而且卫生间下水道是堵的。', '短评打分': 5}
{'短评内容': '简直是破旧不堪的破酒店，还要到连锁酒店的价格，淋浴是坏的，水管爆了，电视是坏的，空调吵死人，简直就是黑店，大家都别去住，恶心死了！！！', '短评打分': 1}
{'短评内容': '房间设施很旧，被子很薄，有空调也不管用，晚上睡觉很冷，因为对面就是火车站，环境不好，很吵', '短评打分': 1}
{'短评内容': '卫生什么的还算可以，有早餐，离火车站很近，方便，楼下有超市', '短评打分': 5}
{'短评内容': '房间不错  ', '短评打分': 3}
{'短评内容': '酒店位置不错，交通方便。早点有点单调。服务不错，卫生状况还好。推荐', '短评打分': 5}
{'短评内容': '还不错啊，比我想象的好多了啊。不错啊，值得拥有啊', '短评打分': 5}
{'短评内容': '整体还不错，酒店位置交通方便，房间挺大。卫生间的设备不好，圆盘喷头使用时水到处乱喷。', '短评打分': 3}
{'短评内容': '火车站对面很方便，经济实惠， 还有早餐，适合出差', '短评打分': 5}
{'短评内容': '服务尚可，楼下就是酒店的超市，比较方便。卫生等算干净。缺点是附近无正规掉的餐馆。', '短评打分': 5}
{'短评内容': '地理位置还不错，就是空调制热效果太差，不知道是不是为了省电故意设置的？', '短评打分': 5}
{'短评内容': '房间一般般', '短评打分': 3}
{'短评内容': '酒店还是蛮干净清爽的，价位也挺低的，不错', '短评打分': 3}
{'短评内容': '还算可以，那个价钱，也就能住那样的酒店了。', '短评打分': 5}
{'短评内容': '电话不能打外线,明天换宾馆', '短评打分': 3}
{'短评内容': '火车站对方，特别方便。公交线路多。', '短评打分': 3}
{'短评内容': '＋怎么说呢，感觉这家没有那么好，房间里有飞虫，问前台说电蚊香没有了；房间里贴的宣传单写着长途市话免费打，但是我想打114查询时确被告知没有权限，前台解释说只有豪间才可以打外线电话；早餐品种不多，味道尚可，白米粥里好像放的是玉米渣，还合胃口，五分满分的话可以给四分。', '短评打分': 3}
{'短评内容': '还是比较有性价比的一家商务酒店，里面还是比较干净的，比一般火车站旁边的酒店要稍微好一点，简单住一晚的话是个不错的选择', '短评打分': 5}
{'短评内容': '服务不怎么样，态度没有，看不见人，前台服务还行', '短评打分': 3}
{'短评内容': '还可以，房间很不错，总体都狠满意，为什么要限制50字呢 ，没有那么多话要写啦\n很不错的酒店，距离火车站非常的近', '短评打分': 5}
{'短评内容': '离火车站很近，前台服务态度挺好的，房间整齐干净还提供早餐，性价比比较强，总之不错非常满意，下次出差还会住那里。', '短评打分': 5}
{'短评内容': '总体来说还不错。价格不是很贵。装修有点老。空调效果不理想。交通是很方便。早餐不是很丰富。房间的隔音效果不理想。。。。。。。。。。', '短评打分': 5}
{'短评内容': '软件很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '床够大\n设施有点陈旧\n我的房间靠近火车站\n声音比较吵\n隔音效果不是很好！', '短评打分': 5}
{'短评内容': ' 环境还不错，价格也比较实惠，离火车站特别近，只有一路之隔。室内干净、卫生，感觉很温馨。唯一不满意的就是早餐大差了，需要改进。', '短评打分': 3}
{'短评内容': '离车站比较近   出行方便  卫生也可以  还有早饭  虽然差一点也过的去  价格合适', '短评打分': 5}
{'短评内容': '还可以，交通挺方便的，如果能有更好的早餐提供就更好了', '短评打分': 1}
{'短评内容': '非常经典的酒店，，位置超级好火车站对面，价格超级便宜，旁边吃饭烧烤很多！房间也很干净！强烈推荐！', '短评打分': 5}
{'短评内容': '价格还是不贵的，但是店里的尊贵会员价格更便宜，环境很好，服务也周到，房间很温馨', '短评打分': 3}
{'短评内容': '住宿超给力，就是早餐不怎么行', '短评打分': 3}
{'短评内容': '酒店设施齐，服务态度好，房间空间宽大，早餐搭配比较简单，但还好。', '短评打分': 5}
{'短评内容': '酒店设施齐，房间宽大周正，卫生良好，服务态度好，但由于靠近火车站，白天有些吵，不过晚上还好。', '短评打分': 5}
{'短评内容': '不是沒早餐，是通過藝龍訂房的話沒早餐，但是自己入住或加入酒店會員就有早餐，且價格便宜近40元。', '短评打分': 5}
{'短评内容': '真的很便宜，加入該酒店會員更加便宜，一般能便宜49元一晚。', '短评打分': 5}
{'短评内容': '房间很大，交通便利，离火车站不远，缺点是没有早餐。', '短评打分': 5}
{'短评内容': '藝龍價格較貴，標間108不送早餐，加入該酒店會員才79.', '短评打分': 5}
{'短评内容': '周边环境比较差，没什么干净卫生的餐馆。离市中心也比较远。', '短评打分': 1}
{'短评内容': '还算不错，就是靠马路一面又点吵。服务人员也还不错。', '短评打分': 5}
{'短评内容': '紧靠火车站大马路，环境有点吵。其他的还好。豪华大床房，房间非常大', '短评打分': 5}
{'短评内容': '退房中午2点很好，入住服务态度不错哦，火车站交通方便', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 3}
{'短评内容': '房间有一股味道。早餐也太差了，没什么吃的。', '短评打分': 1}
{'短评内容': '不错，对的起这个价。', '短评打分': 3}
{'短评内容': '还不错，就是服务人员不专业，应该多向汉庭学习下。', '短评打分': 5}
{'短评内容': '房间的面积太小，沐浴间和洗漱间的格局让人很不舒服。所谓的高级大床房其实也就是大床房。', '短评打分': 1}
{'短评内容': '还不错…', '短评打分': 3}
{'短评内容': '价格还适合，离火车站也比较近，下车就能看见。并且网速也是不错的。', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '这家还可以，面积挺大，服务也很好，就是卫生间的卫生有待提高', '短评打分': 5}
{'短评内容': '房间蛮大，卫生还可以。', '短评打分': 3}
{'短评内容': '不错，离火车站近，很方便。', '短评打分': 3}
{'短评内容': '酒店一般，设施一般，实在没地方住的话可以考虑。', '短评打分': 1}
{'短评内容': '位置不错 对面就是火车站 服务也不错 性价比高', '短评打分': 5}
{'短评内容': '交通便利，隔音不好，空调功率太低，淋浴喷头好旧', '短评打分': 5}
{'短评内容': '位置还可以，就是开着空调屋里还冷，可能是房间大的原因', '短评打分': 5}
{'短评内容': '服务很好，酒店的设施不错，值得向朋友推荐。', '短评打分': 5}
