{'短评内容': '大床不是一米八宽的是一米五的，不过倒是有窗子算扯平了', '短评打分': 3}
{'短评内容': '酒店服务员礼貌还不错，但是酒店设施比描述的要差很多，房间很脏，而且有霉味，东西都很破旧，和照片出入很大。而且隔音极差，价格也不算便宜，不推荐！', '短评打分': 1}
{'短评内容': '房间还算干净，但房间隔音太差，隔壁说话都听得到。', '短评打分': 5}
{'短评内容': '性价比较高的酒店，离传媒大学较近，附近有居民区，较方便！要是酒店大堂设公用电脑，并能提供出租车服务就更好了！', '短评打分': 5}
{'短评内容': '房间挺干净的，住着不错，就是附近吃饭的地方少了点～', '短评打分': 3}
{'短评内容': '插座真少，别的还算可以，服务态度一般。', '短评打分': 3}
{'短评内容': '服务挺好的。', '短评打分': 3}
{'短评内容': '该酒店性价比绝对超值，当然了，前提是你在附近选择酒店的话。', '短评打分': 5}
{'短评内容': '软硬件不错，这个价位值!就是在能提供出租车服务就OK了!', '短评打分': 3}
{'短评内容': '房间很干净肃静', '短评打分': 3}
{'短评内容': '设施比较齐全，但隔音效果有待提高，其它都还可以。。。。z', '短评打分': 5}
{'短评内容': '已经住上，环境不错，挺干净，还有电脑提供。', '短评打分': 3}
{'短评内容': '温情雨霖离传媒大学近', '短评打分': 3}
{'短评内容': '价格还实惠，不过房间比较低矮，其他还好吧，以这个价位也就还行了', '短评打分': 5}
{'短评内容': '到传媒大学考试时预定的 远了点 不过条件不错 不过隔音差了点 最好别碰见我住时那样的隔壁', '短评打分': 5}
{'短评内容': '酒店还不错，价位适中，唯一的缺点就是交通不便', '短评打分': 5}
{'短评内容': '很好呢。。。。我跟老公挺喜欢这里的，很安静，下次还会来，就是交通不是很好', '短评打分': 5}
{'短评内容': '整体感觉还不错，房间很舒服，就是交通不是很便利', '短评打分': 5}
{'短评内容': '除了门锁有问题 电视信号差之外 都还不错~', '短评打分': 5}
{'短评内容': '＋房间比较大，服务好，但是位置稍有点偏', '短评打分': 3}
{'短评内容': ' 不错。挺干净的', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '。。。。。。。。。。。。。。。。。对的起这个价格，值。', '短评打分': 5}
{'短评内容': '房间很大很干净环境也很好很满意', '短评打分': 3}
{'短评内容': '十酒店很好,环境不错', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '总体性价比还行，地理位置有点偏，不太好找，但是作为CBD区域的商务型酒店，就已经很不错了。', '短评打分': 5}
{'短评内容': '挺干净，挺宽敞的。挺不错的', '短评打分': 3}
{'短评内容': '住宿条件不错，价格挺值的，服务不错，在吃饭方面要加强，', '短评打分': 5}
{'短评内容': '装修不错，价格也还行，但是最大的问题在于它顶层是一家KTV，晚上整栋楼都能听见上面的音响和鬼哭狼嚎的歌声，很吵......另外，早上退房索取发票，告诉我用完了........我靠', '短评打分': 1}
{'短评内容': '很干净很安静!就是交通不是很方便!', '短评打分': 3}
{'短评内容': '感觉还行，就是周围吃饭购物不是太方便，不过毕竟是六环，这个酒店还是可以的', '短评打分': 5}
{'短评内容': '好不错', '短评打分': 3}
{'短评内容': '设备条件都很好，不过隔音效果差了一些。位置也稍微偏远，然后电脑房数量太少。', '短评打分': 5}
{'短评内容': '服务很周到 工作人员很热心 只是 交通不太便利\n', '短评打分': 5}
{'短评内容': '位置有点篇，没的早餐吃。卫生不错。价位适中。', '短评打分': 1}
{'短评内容': '服务态度比较满意，只是距离办事地点远。', '短评打分': 3}
{'短评内容': '环境不错，服务态度良好，满意', '短评打分': 3}
{'短评内容': '晚上酒店旁歌厅吵到两三点无法入睡很糟糕', '短评打分': 3}
{'短评内容': '环境还好,服务不够好', '短评打分': 3}
{'短评内容': '酒店环境和设施都不错，就是交通不那么方便', '短评打分': 3}
{'短评内容': '屋子内宽敞，明亮，就是周边交通不是特别的方便。早晨打车很不方便。隔壁就是夜总会，晚上时间很吵', '短评打分': 5}
