{'短评内容': '环境不错，酒店位置可以', '短评打分': 5}
{'短评内容': '酒店还可以，就是位置有点偏了。酒店还可以，就是位置有点偏了。酒店还可以，就是位置有点偏了。酒店还可以，就是位置有点偏了。', '短评打分': 2}
{'短评内容': '商务出差比较方便，距离上海公司非常近，宾馆无早餐供应，周边新cbd区，在宾馆北面，有新建开业的综合商业综合体，', '短评打分': 3}
{'短评内容': '绝对不会再来了，位置偏僻我也可以理解，但是进房间就是一股霉味，然后开窗通风，就看到一排树，晚上还是很吓人的，隔壁房间一直发出唧唧的声音，走廊灯一闪一闪，全酒店就没有几个游客，空调是中央空调。直接是这么大一个洞，吹出的风很小，空调没法调节，没有wifi，电梯一个损坏，最恐怖的是床头挂个这幅画？你吓唬谁？', '短评打分': 2}
{'短评内容': '一般，但这价位还是值', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很一般！', '短评打分': 1}
{'短评内容': '服务周到，环境优美，交通方便，价格合适。', '短评打分': 5}
{'短评内容': '服务周到，环境优美，交通方便，价格合适。', '短评打分': 5}
{'短评内容': '服务周到，环境优美，交通方便，价格合适。', '短评打分': 5}
{'短评内容': '突然出差订的酒店，真的是太让人失望了，比快捷酒店都差，楼下就是夜总会，也真的是醉了。。。', '短评打分': 2}
{'短评内容': '不会再来！设施很陈旧！地摊上有好大一个洞~~~~', '短评打分': 2}
{'短评内容': '真心的不想吃、真心差', '短评打分': 1}
{'短评内容': '还不错，挺好的，卫生很好，服务也不错！位置也可以！', '短评打分': 3}
{'短评内容': '到了前台怎麼也查不到訂單只能用前台的價錢住宿，進了房間悶的要命又只有暖氣，差評!!', '短评打分': 3}
{'短评内容': '房间太小，破旧。。。。。。。。。。。。，', '短评打分': 1}
{'短评内容': '挺便宜，房间环境也不错，只是位置稍偏了点', '短评打分': 5}
{'短评内容': '环境还可以，早上有汽车喇叭声音，早饭一般，其他的没啥了', '短评打分': 5}
{'短评内容': '各方面设施都不错。住的二楼的房间，比较干净。性价比较高。', '短评打分': 5}
{'短评内容': '酒店床非常的硬 睡的背疼的要死 周围很偏僻 旁边就是个夜总会 晚上出入有点吓人', '短评打分': 1}
{'短评内容': '第二次来居然又给我同一个房间，都还不错啦', '短评打分': 5}
{'短评内容': '确实还不错！在闵行中心医院旁边旅馆也这个价格 哎  宁可2,3公里住这个酒店！', '短评打分': 5}
{'短评内容': '环境还不错！ 就是让我朋友 定的那次没用卷亏了不返现 大家记得一定要用优惠卷啊！', '短评打分': 5}
{'短评内容': '价格实惠，设施齐备，装潢不错，性价比很高，不过地毯很脏，开门发现只小蟑螂', '短评打分': 5}
{'短评内容': '挺不错的过两天可能还来住！', '短评打分': 3}
{'短评内容': '价位还行吧，地理位置也还好，可以推荐，是比较热闹的地方了', '短评打分': 5}
{'短评内容': '刚住进来，不错，除了地毯有点脏，其他都不错，就是今天停电，郁闷', '短评打分': 3}
{'短评内容': '性价比高，想不到120元在上海能住到这么好的酒店！下次还会再住！', '短评打分': 3}
{'短评内容': '不错的酒店很好,下次还会选择', '短评打分': 3}
{'短评内容': '环境不错，价格实惠！', '短评打分': 3}
{'短评内容': '地理位置好，出行很方便，有早餐，房间设施齐全。', '短评打分': 5}
{'短评内容': '唯一的不足就是地上铺的地毯看起来不干净，房间设施很齐全，有早餐，门口就是公交车站，打车或者乘公交到七宝和莘庄地铁都很方便。', '短评打分': 5}
{'短评内容': '性價比非常高，地理位置還不錯，到地鐵站打出租車起步價就到了，而且周圍環境很安靜，酒店也乾淨，唯一的就是前臺的服務人員做事情比較死板！而且經常滿臉石化！', '短评打分': 5}
{'短评内容': '环境优雅，交通便利，且早餐很丰盛，实惠。', '短评打分': 5}
{'短评内容': '不错，很便宜，房间硬件要妥善维护，这家酒店才真的不错。现在还好了，比较便宜', '短评打分': 5}
{'短评内容': '普通标准间，房间信价比不错，早餐一般，前台服务态度很好，如果在闵行这边办事，算是一个理想的选择', '短评打分': 5}
{'短评内容': '房间设施很全，有棋牌，美容美发，KTV,早餐，小卖部，门口就是公交车站，叫出租车到虹桥机场大概28元，很方便。', '短评打分': 5}
{'短评内容': '还可以,比较安静,价格也还可以!内部装修不错!', '短评打分': 5}
{'短评内容': '性价比很高,窗户很大，卫生间条件很好，送的早餐券，早餐就一般了。', '短评打分': 5}
{'短评内容': '挺好的，干净~安静。性价比很高啊。在上海还是颇意外的', '短评打分': 5}
{'短评内容': '地点相对闹中取静，房间里设施比较陈旧。房价不含早餐。', '短评打分': 5}
{'短评内容': '價格方面性價比高，而且位置不錯，而且周圍還有小吃店比較多，房間安靜舒服。房价包含早餐，内容和口味还不错。推荐', '短评打分': 5}
{'短评内容': '酒店没有想象中的干净比较脏很不舒服下次不会入住了', '短评打分': 1}
