{'短评内容': '停车场很好', '短评打分': 3}
{'短评内容': '就是太吵', '短评打分': 3}
{'短评内容': '总体感觉还可以，在这地方来说可以了', '短评打分': 4}
{'短评内容': '环境很好，干净整洁，入住愉快', '短评打分': 5}
{'短评内容': '环境不错，位置离高速出口很近，很方便', '短评打分': 5}
{'短评内容': '还行  附近吃的不多  但停车相当方便  去景点也方便', '短评打分': 3}
{'短评内容': '还不错，服务也挺好的，去赤壁玩不错的选择', '短评打分': 3}
{'短评内容': '房间太久。设备太旧。位置比较偏', '短评打分': 3}
{'短评内容': '酒店最大优势就是离G4近，有个专门停车场，方便自驾游。设施基本都有，就是太旧了，地毯看起来很脏，床垫的弹簧太明显了。周边啥都没，可以售景区门票，价钱和携程一样。', '短评打分': 3}
{'短评内容': '这酒店相对性价比还不错！跟朋友一起去的 ~有棋牌室', '短评打分': 3}
{'短评内容': '是我住过最差的酒店了，五点钟服务员就开始在走廊上吵吵，房间设施不全空调是坏的。卫生间弥漫着一股怪味！只有前台的服务员值得表扬一下，态度比较好。', '短评打分': 1}
{'短评内容': '入住的是商务标间', '短评打分': 3}
{'短评内容': '房间太小了其他还行不过没早餐', '短评打分': 3}
{'短评内容': '离高速公路出口很近，位置很好找，停车也方便，房间设施还不错，再到赤壁的话还会住', '短评打分': 5}
{'短评内容': '很垃圾，还不如路边的小旅馆。墙是发霉的，房间超小，离中心区很远。主要是给旅行社用的。', '短评打分': 1}
{'短评内容': '方便易找，性价比很高。周围配套设施不全，找吃的要到市区里。', '短评打分': 5}
{'短评内容': '地理位置偏，交通不便，但环境不错，态度好。', '短评打分': 5}
{'短评内容': '环境很好 但是离中心区有点偏 不过 这个价格很值', '短评打分': 3}
{'短评内容': '.干净，舒适。交通方便就在高速出口不远。容易找。', '短评打分': 3}
{'短评内容': '老板人nice…', '短评打分': 3}
{'短评内容': '环境还不错', '短评打分': 3}
{'短评内容': '不是市中心，算是郊区吧。出行不太方便。不过酒店内部还可以，至少隔音不错。', '短评打分': 5}
{'短评内容': '388的套间性价比很不错，就是麻将机旧了点。', '短评打分': 3}
{'短评内容': '干净，卫生，便捷，离，火车站，近，很好！', '短评打分': 5}
{'短评内容': '性价比还可以，公路旁，晚上有点吵，记得不要订靠公路的房子，应该好点。', '短评打分': 5}
{'短评内容': '很不错啦，工作人员服务很到位！不过门口很难打车。', '短评打分': 5}
{'短评内容': '还不错，很温馨。酒店的位置倒还是不错的，跟我们想要去的地方很近。', '短评打分': 5}
{'短评内容': '条件一般，房间太小，服务尚可！', '短评打分': 3}
{'短评内容': '已入住，谢谢！', '短评打分': 3}
{'短评内容': '不错，窗户隔音效果很好，晚上很安静，比较温馨..................................................', '短评打分': 5}
{'短评内容': '这家酒店就是服务和卫生方面还好，其他都很一般。', '短评打分': 3}
{'短评内容': '这家宾馆距离京珠高速公路口很方便价位低，周围饭店很少，建议蹭加早餐。', '短评打分': 5}
