{'短评内容': '葫芦岛老牌酒店，回葫芦岛只要在新区基本就他家', '短评打分': 5}
{'短评内容': '早餐不错，适合出差旅游', '短评打分': 4}
{'短评内容': '服务不行 态度有点傲慢 不想再去住了 酒店也老', '短评打分': 3}
{'短评内容': '早餐很差劲，前台服务水平太差，从来没遇到这种四星酒店的服务，实在是太差劲了，发票金额和水单对不上，水单都不能调。', '短评打分': 3}
{'短评内容': '早餐一般，退卡时候前台特别没礼貌，爱答不理的，跟吃了狗屎似的', '短评打分': 4}
{'短评内容': '酒店很靠谱，早餐58一位的自助餐，酒店后面有座小山，早晨爬到山顶拍的照。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '不错的酒店，不错的酒店，不错的酒店，不错的酒店，不错的酒店，不错的酒店，不错的酒店，不错的酒店，不错的酒店，不错的酒店，不错的酒店，不错的酒店。', '短评打分': 5}
{'短评内容': '不错，值得拥有', '短评打分': 5}
{'短评内容': '还不错吧！', '短评打分': 4}
{'短评内容': '在葫芦到新区，周围没什么景点', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '地理位置好，交通方便，环境比较清静，闹中取静，房间卫生不错，干净整洁，没有闲杂人等打扰，下次还选择这里。', '短评打分': 5}
{'短评内容': '设施陈旧，房间里不放吃的', '短评打分': 2}
{'短评内容': '这家酒店我已经住过多次了，都很棒', '短评打分': 4}
{'短评内容': '房间有异味...服务员还是挺热情的', '短评打分': 3}
{'短评内容': '酒店很干净服务很周到装修以后好多了\n公交站点很近 海边不行十分钟吧\n', '短评打分': 5}
{'短评内容': '酒店比较好找，离海滨5分钟车程，较方便。房间设施还不错，只是双人住送单人早餐有点儿不够意思。', '短评打分': 3}
{'短评内容': '酒店设施非常陈旧，房间里有一股发霉的味道，再也不住了。', '短评打分': 5}
{'短评内容': '房间有些潮湿，设施陈旧，但是地理位置相当不错，离海边近，服务也还行', '短评打分': 1}
{'短评内容': '各项指标都很一般 不像五星大饭店 勉强算个三星 ', '短评打分': 3}
{'短评内容': '离海边近 离市中心远 整体还不错 就是性价比不是很高', '短评打分': 5}
{'短评内容': '这家酒店设施比较陈旧，早餐非常差，我7点半去的时候，一些菜已经所剩无几了，连鸡蛋都没有了，问服务员，说都吃光了，再煮也来不及了。42元的自助早餐，实在是不值。酒店的名字比较吸引人，又是挂牌四星，我才去的，没想到这么差。', '短评打分': 1}
{'短评内容': '万万没想到这么差！以人格担保！！！强烈建议不要入住该酒店~！！！！', '短评打分': 1}
{'短评内容': '贵，除了靠近海边没啥优点。大厅弄得挺华丽，房间小的可怜。窗户外中央空调嗡嗡作响。实在很差。', '短评打分': 1}
{'短评内容': '酒店房间内硬件设施陈旧，尤其是毛巾浴巾！', '短评打分': 5}
{'短评内容': '有小型免费室内泳池。位置很尴尬，即不在海边也不在市内，出门打车不太方便', '短评打分': 3}
{'短评内容': '有小型免费室内泳池。位置很尴尬，即不在海边也不在市内，出门打车不太方便', '短评打分': 3}
{'短评内容': '有小型免费室内泳池。位置很尴尬，即不在海边也不在市内，出门打车不太方便', '短评打分': 1}
{'短评内容': '屋子很小而且设备陈旧，这样的酒店也能号称葫芦岛最好的酒店？下次宁愿去住如家或者汉庭', '短评打分': 1}
{'短评内容': '去的时候刚好是周末，价位468，感觉有些贵，服务不错，但是设施太一般了，房间的中央空调总有流水的声音。总体来讲性价比不高。', '短评打分': 1}
{'短评内容': '位置不错，装修稍旧些，总体还可以', '短评打分': 3}
{'短评内容': '位置不错，还算可以', '短评打分': 5}
{'短评内容': ' 环境不错,设施太旧', '短评打分': 3}
{'短评内容': '老酒店，设施有点旧了，离市区较远。有的房间可以看到隐约的海。', '短评打分': 5}
{'短评内容': '不像4星的酒店', '短评打分': 1}
{'短评内容': '虽然标称4星，但充其量也就够3星标准。设备陈旧，我住的房间墙皮有水印，花洒只剩水龙头。早餐很一般，目前海鲜池正在装修，这海边的酒店居然没有什么海鲜可吃。服务人员态度还是不错，而且没有辽西口音。到店当天中午是在附近的富都饭店吃的。', '短评打分': 1}
{'短评内容': '不怎么样。', '短评打分': 3}
{'短评内容': '推荐', '短评打分': 3}
{'短评内容': '推荐，就是旧了点', '短评打分': 5}
{'短评内容': '四星级酒店，设施有一点老，总的来说还可以！', '短评打分': 5}
