{'短评内容': '可以，简单干净', '短评打分': 5}
{'短评内容': '还行吧，外面小吃挺多的', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '整洁，隔音效果不好', '短评打分': 5}
{'短评内容': 'WIFI很差劲，经常连不上，叫服务人员也搞不定，后面干脆直接性的不来了，不过位置还可以，周边比较繁华', '短评打分': 3}
{'短评内容': '酒店服务不错，设施齐全。', '短评打分': 5}
{'短评内容': '酒店服务不错，设施齐全。', '短评打分': 5}
{'短评内容': '酒店服务不错，设施齐全。', '短评打分': 5}
{'短评内容': '酒店服务不错，设施齐全。', '短评打分': 5}
{'短评内容': '有点旧', '短评打分': 5}
{'短评内容': '交通方便，外观不错。地毯电梯等设施略微老旧，早八点前电梯拥堵。', '短评打分': 5}
{'短评内容': '价格便宜吃饭方便环境可以热水有点慢 还算可以的选择', '短评打分': 4}
{'短评内容': '电梯减少', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
