{'短评内容': '房间很宽敞，干净卫生、很安静，位置很好', '短评打分': 5}
{'短评内容': '酒店位置好价格实惠，卫生方面也没啥问题，就是里面的设施不是很齐全，不过需要的吹风机问前台要了下也就给了，总体还是挺满意的。', '短评打分': 5}
{'短评内容': '酒店服务人员 主动打扫卫生 干净整洁 空间充足', '短评打分': 5}
{'短评内容': '四楼一下电梯就会闻到过道垫子一股怪怪的气味，希望酒店引起重视，及时更换。不然会影响客人对酒店的第一印象', '短评打分': 4}
{'短评内容': '酒店环境不错，很满意。', '短评打分': 5}
{'短评内容': '这个价格住到这种房间还是不错的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '服务好.干净整洁.', '短评打分': 5}
{'短评内容': '一如即往的巴适，实惠', '短评打分': 5}
{'短评内容': '位置还不错，属于成都内环，离市中心很近 离大部分成都景点也有车，附近的火锅也很好吃，下次再去也会订这家的，强烈推荐！', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '酒店不错，下次还来', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，在这个价位的酒店算可以了。至少比上次入住的大床房好，唯一缺点，没有充电器。', '短评打分': 5}
{'短评内容': '房间不错，床很舒服，洗澡水很好。', '短评打分': 5}
{'短评内容': '一般般，态度一般般，服务一般般。', '短评打分': 3}
{'短评内容': '环境优雅', '短评打分': 5}
{'短评内容': '节日期间价格便宜，周围地段同等条件的酒店大床房都在300-500，这个便宜，房间也不错', '短评打分': 4}
{'短评内容': '闹中取静，可以住得比较舒服。不过设施有点老。', '短评打分': 5}
{'短评内容': '整体感觉还可以，挺卫生的，在市中心交通较为方便。', '短评打分': 5}
{'短评内容': '酒店不错，性价比比较高，离市中心也很近，走路差不多10分钟', '短评打分': 5}
{'短评内容': '不错！周围很安静，离春熙路进，交通还算方便。', '短评打分': 5}
{'短评内容': '还可以，安静。干净。交通吧稍微差点，离地铁很远，公交站很多。离文殊院很近。', '短评打分': 5}
{'短评内容': '-旅馆环境不错，有三星级标准', '短评打分': 3}
{'短评内容': '恩，房间还不错啦，但没自己酒店的创意和主题', '短评打分': 3}
{'短评内容': '房间很干净  交通很方便 步行至春熙路大约20分钟 就是电视频道较少哈哈', '短评打分': 5}
{'短评内容': '环境部错，我特别喜欢该酒店的商务系列房间', '短评打分': 5}
{'短评内容': '地点不错，房间够宽敞，卫生、服务都不错。', '短评打分': 5}
{'短评内容': '房间很舒服，还算宽敞，周边环境不错，交通较便利', '短评打分': 5}
{'短评内容': '房间干净,离中心近.车位较少,有车的朋友请早喔!', '短评打分': 5}
{'短评内容': '我住的是豪华单人间，设施不错挺干净的，交通也比较方便 附近有小吃，就是插座的插孔是小的，我的相机充电器是大的插头，要是配有转换器就好了。', '短评打分': 5}
{'短评内容': '挺方便的', '短评打分': 3}
{'短评内容': '感觉挺不错的，周围环境也蛮安静…很满意', '短评打分': 3}
{'短评内容': '很好很干净', '短评打分': 3}
{'短评内容': ' 非常满意', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '洗澡间较小，周围小吃比较多，离市中心也不算远，性价比一般', '短评打分': 5}
{'短评内容': '不过，特别是北面的胡同里全是小吃。', '短评打分': 3}
{'短评内容': '酒店位置不错,只是现在装修,夜里搬运垃圾很吵.', '短评打分': 5}
{'短评内容': '空调很好。床很舒适。我住的是靠街边的一边，吵闹程度可以接受。\n唯一一般的是网络速度，开了迅雷就不能上网。\n早餐10块，吃的一般，不太好。\n如果是纯住的话推荐一下。还不错。', '短评打分': 5}
{'短评内容': '位置有点偏，网速有些慢，其他的都不错。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': 'a place you need to try', '短评打分': 5}
{'短评内容': '中端，就是位置不是很好找。', '短评打分': 5}
{'短评内容': '不错 浴室感觉很好，很干净标准的商务酒店。只是入口有点偏', '短评打分': 5}
{'短评内容': '挺干净，我住的大床房，感觉挺好，和七天酒店差不多的布局。地段也不错，离春熙路不远，从拐枣树街过去步行二十分钟就到了，那条街吃饭的小店也挺多,计划下次去成都玩也住这里了', '短评打分': 3}
{'短评内容': '虽然出租车司机不知道这个酒店，但是挺好找的，还正好在我要参加培训的三星级酒店对面，让我不得不佩服自己找了个好地儿。网上地址写得太简单了，加上个“玉沙路七家巷”或是“省商行政管理局前行N米”更便于住客向司机描述地方吧。', '短评打分': 5}
{'短评内容': '觉得还是不错，外面看起来有点旧，但里面装修还可以，性价比也算可以的', '短评打分': 5}
{'短评内容': '我觉得酒店性价比还行，按这个价格来说环境就这样的了', '短评打分': 3}
{'短评内容': '司机一般不知道酒店在哪里.在楼下感觉酒店周围环境有点杂乱.上楼后房间感觉卫生和设施都不错。服务员态度也很好。性价比比较高。', '短评打分': 5}
{'短评内容': '酒店条件还算可以，像是在服务和环境，硬件配备的都还算不错，交通算是比较方便的。', '短评打分': 5}
{'短评内容': '新酒店,比较干净,服务一般.设施一般.', '短评打分': 5}
