{'短评内容': '酒店环境优美，干净整洁，交通便利', '短评打分': 5}
{'短评内容': '刷卡不灵', '短评打分': 5}
{'短评内容': '购物吃饭方便～含了两份早餐，带了女儿没另外收费，比较大气', '短评打分': 5}
{'短评内容': '房间太干燥太闷热，退房速度太慢', '短评打分': 4}
{'短评内容': '变差了，以前很好', '短评打分': 3}
{'短评内容': '记录童年肖总肖总与图图我哦', '短评打分': 5}
{'短评内容': '酒店很好，下次还会选择！', '短评打分': 5}
{'短评内容': '性价比挺高', '短评打分': 4}
{'短评内容': '比较好，方便', '短评打分': 5}
{'短评内容': '比较好，方便', '短评打分': 5}
{'短评内容': '整体满意', '短评打分': 4}
{'短评内容': '挺不错的。', '短评打分': 5}
{'短评内容': '房间好', '短评打分': 5}
{'短评内容': '五星级酒店真不是吹的，房间宽敞，吃饭看电影什么的都很方便，月下江边散步感觉很好！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般！', '短评打分': 4}
{'短评内容': '太吵了电梯旁的房间', '短评打分': 5}
{'短评内容': '房间硬件还过得去，服务不行。', '短评打分': 3}
{'短评内容': '服务还不错', '短评打分': 3}
{'短评内容': '环境，卫生都很好，江边风景也好1环境，卫生都很好，江边风景也好', '短评打分': 5}
{'短评内容': '酒店就在长江边上,景色很好,万达的连锁店,大堂不错.自助餐很丰富,女宾100元男宾158,算合理.有机会还会住.', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '很不错的酒店。设施及服务都好。值得入住........', '短评打分': 5}
{'短评内容': '酒店的服务非常好，下次还会考虑入住…', '短评打分': 3}
{'短评内容': '好酒店，值得住，下次来宜昌继续住在这里，宜昌有这样的酒店没有想到，万达的酒店办的挺好的', '短评打分': 5}
{'短评内容': '非常好,面对长江景色很美,出行方便边上就是购物中心,什么都有,下次来继续选择万达皇冠,留下了美好回忆', '短评打分': 5}
{'短评内容': '一家不错的酒店，在宜昌已经是一个高档的酒店，设施很好，值得选择', '短评打分': 5}
{'短评内容': '哎呦 不错哦\n窗外会有大型机械的轰隆声 不是很大 夜里会听见\n但设施还是很不错的 还有就是不含早餐 ', '短评打分': 5}
