{'descr': '划算 卫生干净', 'star': 5}
{'descr': '一般', 'star': 2}
{'descr': '很一般', 'star': 3}
{'descr': '很一般', 'star': 3}
{'descr': '屋子里有股味道，', 'star': 4}
{'descr': '经济实惠，设备还可以，。出差都住这', 'star': 5}
{'descr': '不错，非常好。测试还用写评语，没谁了！', 'star': 5}
{'descr': '床很软，很好，就是洗面池在床对面，很是不爽，为什么不同洗浴间合在一起呢？', 'star': 5}
{'descr': '住了好几次了，感觉不错！', 'star': 4}
{'descr': '位置不错，价格也行。就是不太隔音。', 'star': 5}
{'descr': '吃顿饭跑老远 总体还不错', 'star': 4}
{'descr': '房间有点小！但床很舒服！', 'star': 4}
{'descr': '比较安静，房间比较宽敞。', 'star': 4}
{'descr': '环境还可以服务不怎么样', 'star': 1}
{'descr': '服务态度挺好的，就这个这个六楼走上去的楼梯给人感觉有点凄凉。', 'star': 5}
{'descr': '很好干净舒适', 'star': 3}
{'descr': '很好干净舒适', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '性价比蛮高的。。。下次还来入住了~~~~~~~', 'star': 5}
{'descr': '性价比蛮高的。。。下次还来入住了~~~~~~~', 'star': 5}
{'descr': '我是第一次入住泰格DNA商务连锁酒店，总体感觉是，第一，地理位置较好，处于松原油田家属区附近，交通便利，第二，酒店整体装修风格较好，时尚感强，第三房间格局比较特别，我入住的商务大床房，洗浴间和卫生间是分开的，洗脸盆是开放式的，显得比较新颖。第四，服务质量较好。也存在几个缺点，第一是停车的车位不太合理，有些不安全，第二，电梯速度太慢了，可能是我个人性子较急，哈哈，感觉电梯速度特别慢，个人意见。', 'star': 5}
{'descr': '我是第一次入住泰格DNA商务连锁酒店，总体感觉是，第一，地理位置较好，处于松原油田家属区附近，交通便利，第二，酒店整体装修风格较好，时尚感强，第三房间格局比较特别，我入住的商务大床房，洗浴间和卫生间是分开的，洗脸盆是开放式的，显得比较新颖。第四，服务质量较好。也存在几个缺点，第一是停车的车位不太合理，有些不安全，第二，电梯速度太慢了，可能是我个人性子较急，哈哈，感觉电梯速度特别慢，个人意见。', 'star': 5}
{'descr': '还可以吧 办事方便 游玩还可以 交通也算便利 房间还凑活吧', 'star': 5}
{'descr': '还可以吧 办事方便 游玩还可以 交通也算便利 房间还凑活吧', 'star': 5}
{'descr': '位置一般  条件一般                                        ', 'star': 5}
{'descr': '位置一般  条件一般                                        ', 'star': 5}
{'descr': '卫生很好，每天都有人及时打扫，空调、电视都有，还能上网，感觉挺不错的。', 'star': 5}
{'descr': '卫生很好，每天都有人及时打扫，空调、电视都有，还能上网，感觉挺不错的。', 'star': 5}
{'descr': '地理位置很优势，离客运站、火车站都很近，周边交通也很便利。', 'star': 5}
{'descr': '地理位置很优势，离客运站、火车站都很近，周边交通也很便利。', 'star': 5}
{'descr': '位置很好，去哪都很方便，房间很干净，基本设施都有，住的还挺满意的。', 'star': 5}
{'descr': '位置很好，去哪都很方便，房间很干净，基本设施都有，住的还挺满意的。', 'star': 5}
{'descr': '酒店环境一般，房间的还是蛮干净，酒店的位置还是可以，价格也还行。', 'star': 3}
{'descr': '酒店环境一般，房间的还是蛮干净，酒店的位置还是可以，价格也还行。', 'star': 3}
{'descr': '环境还是可以的，房间的装修一般卫生打扫的还行，服务还是比较不错比较热情的。', 'star': 5}
{'descr': '环境还是可以的，房间的装修一般卫生打扫的还行，服务还是比较不错比较热情的。', 'star': 5}
{'descr': '位置很好出行方便，但是感觉会有些吵杂。配置硬件设施比较达标。', 'star': 5}
{'descr': '位置很好出行方便，但是感觉会有些吵杂。配置硬件设施比较达标。', 'star': 5}
{'descr': 'jiaohao', 'star': 5}
{'descr': 'jiaohao', 'star': 5}
{'descr': '卫生不错，打扫很彻底。我对酒店要求就是干净方便就可以。', 'star': 5}
{'descr': '卫生不错，打扫很彻底。我对酒店要求就是干净方便就可以。', 'star': 5}
{'descr': '酒店的环境还不错，卫生很好，干净舒适。', 'star': 5}
{'descr': '酒店的环境还不错，卫生很好，干净舒适。', 'star': 5}
{'descr': '位置还不错了，出行交通很方便，值得推荐入住。', 'star': 5}
{'descr': '位置还不错了，出行交通很方便，值得推荐入住。', 'star': 5}
{'descr': '第一次去，停车位置不太好，不过地理位置很方便，值得住', 'star': 5}
{'descr': '第一次去，停车位置不太好，不过地理位置很方便，值得住', 'star': 5}
