{'短评内容': '一般般  床太硬了', '短评打分': 5}
{'短评内容': '房间太小，一百多，', '短评打分': 5}
{'短评内容': '吧', '短评打分': 5}
{'短评内容': '房间太小 明明订了商务大床房 酒店说携程乱定价格不给大床 只给小床 原本的好心情都没了', '短评打分': 2}
{'短评内容': '还可以，价格决定一切', '短评打分': 5}
{'短评内容': '空气比较差', '短评打分': 3}
{'短评内容': '不咋滴不咋滴不咋滴不咋滴 有停车场 位置挺好 不知道能不能加床不咋滴不咋滴不咋滴不咋滴 有停车场 位置挺好 不知道能不能加床', '短评打分': 3}
{'短评内容': '还不错，挺好的住的舒服，给力，下次有机会在来', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '很不错的一家酒店，满意', '短评打分': 5}
{'短评内容': '房间太小了，空调又在下雨，我真的是无语了', '短评打分': 5}
{'短评内容': '环境优美，价格亲民，服务好', '短评打分': 5}
{'短评内容': '总体来说还不错', '短评打分': 5}
{'短评内容': '房间小、床小、配套一般', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '脏，小，乱', '短评打分': 1}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '挺不错。第二次入住了', '短评打分': 5}
{'短评内容': '服务态度很好，特别是前台服务很好，房间很干净，值得再来入住。', '短评打分': 5}
{'短评内容': '感觉还是不错的，床舒服', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务态度还可以的。不过酒店环境一般。', '短评打分': 3}
{'短评内容': '商务酒店这类不算可以!只是房间有点小', '短评打分': 4}
{'短评内容': '房间特别小，周边环境还算是可以', '短评打分': 3}
{'短评内容': '就是交通不大方便，其他还好，周围的环境有点点乱，不过很齐全', '短评打分': 3}
{'短评内容': '房间小，装修比较新，床单和浴巾比较干净。有网线没有电脑，空气不好，有异味。交通很方便，去长隆坐公交车只有3站。附近吃饭很方便而且便宜，超市买东西也方便。总的来说，还不错，毕竟旅游呆在宾馆的时间不多，只要床舒服就好。', '短评打分': 5}
{'短评内容': '我昨晚已入住房间这个价在番禹这里不算返现也拿的到，但算返现就很划算了，房间很舒服干净，对于我这个有洁癖的人都算满意，给优评，就是小了点', '短评打分': 3}
{'短评内容': '看着比较乱的酒店，房间小，豪华房根本就没有描述上说的25-30平米。厕所小到门要关的话得人进去点。。。房间只有一个小桌子。没有衣柜，没有吹风机。', '短评打分': 1}
{'短评内容': '环境很好，酒店的布置比较漂亮，住宿比较满意', '短评打分': 5}
{'短评内容': '位置方便，设施新净，服务热情，价格公道。', '短评打分': 5}
{'短评内容': '服务态度好，酒店位置方便，设施比较新净。', '短评打分': 5}
{'短评内容': 'didianbucuo,fuwukeyi', '短评打分': 5}
{'短评内容': '位置比较方便，设施比较新，就是房间没有衣架和电吹风。', '短评打分': 5}
