{'短评内容': '此用户未填写评价内容', '短评打分': 1}
{'短评内容': '酒店自助早餐，停车方便！距离地铁不到1000米！服务员的服务特别的好！房间的及酒店的环境都超级棒！点赞', '短评打分': 5}
{'短评内容': '早餐非常好', '短评打分': 5}
{'短评内容': '酒店距离地铁口900米，房间很不错！环境也很安静！还有自助早餐奉送！服务员的服务态度超级棒！下次还要入住', '短评打分': 5}
{'短评内容': '出差的地方很近，挺方便的。', '短评打分': 5}
{'短评内容': '前台服务员的态度特别好 一开始给我订了一间没有浴缸的 然后我要求换房间 立刻就给我换了 特别好 下次还会入住 前台服务员很美有气质 是一家特别完美的酒店！希望各位多住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的，也安静，早饭也可以', '短评打分': 5}
{'短评内容': '太好了，房间非常舒适，交通还方便', '短评打分': 5}
{'短评内容': '一般，不值这个价钱，还不如汉庭', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店周边很安静，适合商务出差。', '短评打分': 4}
{'短评内容': '一般般，酒店性价比还可以', '短评打分': 3}
{'短评内容': '性价比一般', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '房间干净舒适，床品舒服，还有免费矿泉碎啦', '短评打分': 5}
{'短评内容': '安静，性价比高', '短评打分': 5}
{'短评内容': '我计划变化不能入住，居然不退房，不退钱，也不给换房间，太可恨了。没有付钱的预定可以取消，没有钱的损失，为什么付了钱反而不可以取消！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '楼下餐厅不错，价格公道，味道也很好', '短评打分': 4}
