{'descr': '设施陈旧，服务态度很好，但行动一般，早餐很差', 'star': 3}
{'descr': '房间不是特别大，周边吃比较方便，不是很吵，适合夜场出来休息', 'star': 5}
{'descr': '房间还可以，就是地毯有点脏', 'star': 4}
{'descr': '物美价廉', 'star': 4}
{'descr': '隔音特差，隔壁的电视声，说话声都听的见，灯光太暗了', 'star': 3}
{'descr': '当时也没细看，后来才发现发票开错了，仔细度有待加上', 'star': 4}
{'descr': '酒店房间干静，周围环境好！', 'star': 4}
{'descr': '房间还挺大，就是隔音效果不好。', 'star': 3}
{'descr': '很好', 'star': 5}
{'descr': '吃住都挺方便，比较干净，离汽车站也蛮近，出差可以', 'star': 5}
{'descr': '一般般啦一般般啦一般般啦一般般啦', 'star': 3}
{'descr': '应该新开没多久，设施比较新，房间干净，装修的蛮温馨的，附近还蛮安静的。', 'star': 5}
{'descr': '不错，确实可以。', 'star': 3}
{'descr': '不错，确实可以。', 'star': 3}
{'descr': '很干净，很舒适的感觉，新开的，环境很不错的呢…', 'star': 5}
{'descr': '很干净，很舒适的感觉，新开的，环境很不错的呢…', 'star': 5}
{'descr': '飞越百度酒店确实不错！', 'star': 3}
{'descr': '飞越百度酒店确实不错！', 'star': 3}
