{'descr': '周围环境有点脏乱差 但是酒店的环境还算可以 隔音效果不很好', 'star': 5}
{'descr': '还行。\n就是地理环境不是很理想。在个垃圾站后面。', 'star': 5}
{'descr': '基本设施还可以。\n就是门口的“欢迎观临”的电动玩具有点烦人，每次路过都要说一遍欢迎观临。\n旅店的位置不是很优雅，在一个垃圾站后面。\n', 'star': 5}
{'descr': '总体感觉比较新，服务态度也还是不错的，但就是有些细节问题有待解决，是个不错的酒店公寓', 'star': 5}
{'descr': '环境非常好 床单是粉色的 很温馨 就是地方有点深居简出 外面还有个垃圾场 有点乱 不过店还是很好的', 'star': 5}
{'descr': '周边安静 房间也很干净 工作人员很热情的', 'star': 5}
{'descr': '位置实在太差了，早上是被公鸡打鸣叫醒的！只有三层，没有电梯，服务就那么回事儿吧，卫生还算凑合', 'star': 1}
{'descr': '预订时告诉我有免费宽带，我一用哪是宽带，是拨号上网时代么，慢的嗷嗷的；房间里那个冷啊，大床商务间就一片3格暖气片，空调遥控器都给拿走了，我也懒得找前台要，结果睡一宿早上起来居然感冒了！设施打折没关系，毕竟是快捷酒店么，服务员的态度不该打折啊，态度也不怎样，爱答不理的，我了个去，去的这么几回如家，一次比一次印象差！', 'star': 1}
{'descr': ':很难找，周围很安静，晚上洗澡水是温的，凑合冲一下，早上起来没有热水，直接洗冷水澡，太刺激了，不同寻常的一晚', 'star': 3}
{'descr': '新的店 新的管理 待学习', 'star': 3}
{'descr': '安静', 'star': 3}
{'descr': '不错。环境可以，，，，，，环境可以环境可以环境可以环境可以环境可以环环境可以境可以环境可以环境可以环境可以环境可以环境可以', 'star': 5}
{'descr': '酒店前面就是家乐福比较方便，就是酒店门口偏僻，而且环境不好，希望能好好打扫一下，至于房间内部反正如家的都这样，网速极其慢。', 'star': 5}
{'descr': '＋好', 'star': 3}
{'descr': '还不错，交通方便，环境安静，离要去的地方很近，周围有超市，买东西方便，房间内设施还是比较新', 'star': 5}
{'descr': '＋环境和服务都不错。', 'star': 3}
{'descr': '已住如家酒店。良好。', 'star': 3}
{'descr': ' 环境还是可以。主要是离我办事的地方近  全国的如家都差不多', 'star': 5}
