{'短评内容': '很好很好！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '住的还不错', '短评打分': 5}
{'短评内容': '酒店服务不错，很干净，床很大！', '短评打分': 5}
{'短评内容': '服务一般', '短评打分': 2}
{'短评内容': '2个床，有窗户，有两瓶水，床头没有插座，不是很方便，还算比较干净，没有早餐，早餐要18块钱的，所以没有早', '短评打分': 5}
{'短评内容': '总体还行，我给差评因为中间的曲折过程一言难尽。希望你们运气不要比我差。虽然在携x程上的评价不再了，好在有狗?东，只是用的人少一点。给大家一个建议：千万别住8540和它隔壁的一个房间，带小孩的更不要住了。有问题也是投诉无门啊。', '短评打分': 1}
{'短评内容': '总体还行，我给差评因为中间的曲折过程一言难尽。希望你们运气不要比我差。虽然在携x程上的评价不再了，好在有**，只是用的人少一点。给大家一个提醒：千万别住8540和它隔壁的一个房间，带小孩的更不要住了。', '短评打分': 5}
{'短评内容': '出差入住的 还不错', '短评打分': 5}
{'短评内容': '房间比较干净', '短评打分': 5}
{'短评内容': '床头缺插座', '短评打分': 3}
{'短评内容': '方便，挺好的', '短评打分': 5}
{'短评内容': '楼上就是足疗按摩，一夜没睡', '短评打分': 3}
{'短评内容': '楼道的地面地毯居然坑坑洼洼的', '短评打分': 4}
{'短评内容': '1.房间不脏，携程提早预订性价比挺高。2.用餐很方便，楼下有快餐店，早餐店。3.隔音不好，隔壁房间的电视声听的很清晰。总评：值得推荐，下次还住。', '短评打分': 5}
{'短评内容': '房间有些阴森恐怖，以后不会去了', '短评打分': 3}
{'短评内容': '还行还行……！', '短评打分': 4}
{'短评内容': '位置确实感觉好偏，夜里自驾去酒店，感觉实在是偏，完全不如星湖街上另一个168唯亭店，房间被褥感觉潮潮的，总体感觉失望。', '短评打分': 3}
