{'短评内容': '房子整洁，交通方便', '短评打分': 5}
{'短评内容': '环境比较差，酒店还在装修，旁边都是拆烂的房间，没有提供车位，态度不好，价格高，也没有返现，周边的都比这个好价格低', '短评打分': 1}
{'短评内容': '洗澡的是坏的，马桶盖也是坏的，墙纸都掉了。', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺好的酒店，位于市中心', '短评打分': 5}
{'短评内容': '出行方便，性价比高！', '短评打分': 5}
{'短评内容': '地理位置很好。房间也不错  装修略旧。总体还可以吧', '短评打分': 5}
{'短评内容': '没能住下..', '短评打分': 5}
{'短评内容': '住这个酒店了是为了看看成都市中心的酒店怎么样，同时也为了验证一下自己的将要做的事，相当不错的，', '短评打分': 5}
{'短评内容': '经济，实惠', '短评打分': 5}
{'短评内容': '房间不隔音，隔墙是薄壁的，晚上隔壁打鼾吵的人无法睡觉，比临街的车声还吵，卫生间的换气扇是坏的，睡觉时发现枕头上有毛发，早餐就不说了，一般招待所的水平。这些影响了次日的心情。唯一的优点就是离地铁口和商圈较近。', '短评打分': 5}
{'短评内容': '不错，地理位置很好~', '短评打分': 5}
{'短评内容': '非常好的一次服务体验，酒店干净，卫生整洁，希望继续保持。', '短评打分': 5}
{'短评内容': '不错，位置很好~', '短评打分': 5}
{'短评内容': '前台姐姐有点凶，空调不顶用，别的还好', '短评打分': 4}
{'短评内容': '地理位置很好~', '短评打分': 5}
{'短评内容': '什么时候能退款？', '短评打分': 3}
{'短评内容': '酒店卫生不错  离春熙路特别近 不错', '短评打分': 5}
{'短评内容': '每次出差都选的这家酒店，服务好,交通方便，唯一不好的就是有小卡片', '短评打分': 5}
{'短评内容': '位置不错，这个位置房间价格还可以了，交通方便！', '短评打分': 5}
{'短评内容': '不错哦。感觉挺好的。正好挨着成都的三里屯，跟北京的三里屯很像哦', '短评打分': 5}
{'短评内容': '早餐太贵了', '短评打分': 4}
{'短评内容': '半岛酒店很不错，去之前看到网上有评论说酒店的房间设施旧什么的，心里还有些担心，一进房间让我的顾虑完全没有了，房间设施什么都很好，房间很干净，床也很舒服。这个价钱住这样好的酒店真是不错，后悔前几天没有去住。一会有机会去成都一定还去半岛', '短评打分': 5}
{'短评内容': '半岛\n酒店总府店不错，比较干净，服务态度也好。我住的标间，房间还比较大。', '短评打分': 3}
{'短评内容': '该酒店本人06年入住过，设施确实有些老了，维修工作也有欠缺。\n不过酒店的位置得天独厚，自助洗衣房给远行的游客也带来了极大的方便！', '短评打分': 5}
{'短评内容': '酒店房间舒适位置很方便以后还会入住', '短评打分': 3}
{'短评内容': '地理位置很好，出门斜对面就是步行街。不足之处是停车场小了。', '短评打分': 5}
{'短评内容': '酒店整体环境很好，靠近市中心十分方便，服务也很好', '短评打分': 5}
{'短评内容': '地理位置相当的好周边好几个大的商场，还有KTV服务业不错，房间也蛮干净的。', '短评打分': 5}
{'短评内容': '订了两个房间，一般，这个价钱也就这样了，只住了一天就换酒店了', '短评打分': 3}
{'短评内容': ' 酒店太闹，服务态度很差', '短评打分': 3}
{'短评内容': '酒店很不错。交通便利，服务优质。', '短评打分': 3}
{'短评内容': '酒店位置相当不错，只是服务员素质还有待提高，有点“酒好不怕巷子深”的气势，入住时有些不愉快，第二天一早酒店也给解决了。总的说，酒店位置好了，服务可能就要差点', '短评打分': 5}
{'短评内容': '酒店还不错，地理位置挺好，离各大商场很近，适合逛街。但是酒店里电吹风是不是太少了，都借不到。', '短评打分': 3}
{'短评内容': '酒店位置不错，就是早上马路的声音比较大。房间还可以，不过床太硬了。', '短评打分': 5}
{'短评内容': '太吵,晚上睡不着', '短评打分': 3}
{'短评内容': '很干净整洁的酒店，市中心性价比高的酒店。', '短评打分': 5}
{'短评内容': '位置确实不错，交通逛街都很方便，硬件也还好，对得起价格。总体不错吧！', '短评打分': 3}
{'短评内容': '感觉很舒服 房间华丽丽的~赶紧整洁，服务好，以后来成都就住这啦~', '短评打分': 3}
{'短评内容': '房间还是挺安静，不过床垫太硬和枕头太软，睡着很??舒服', '短评打分': 3}
{'短评内容': '环境、卫生都不错，价格能再优惠那就更ok了', '短评打分': 5}
{'短评内容': '整体不错、酒店挺干净，值', '短评打分': 3}
{'短评内容': '不错，离步行街近！大马路边，总体还是可以。', '短评打分': 5}
{'短评内容': '酒店位置不错，环境还可以，距离春熙路非常近。', '短评打分': 5}
