{'短评内容': '之前住过这次是继续选择这里 方便 舒适', '短评打分': 5}
{'短评内容': '酒店免费接机 酒店门口就是三姑环岛公交车站 交通便利 前台服务也很好 附近还有美食街 该有的都有了', '短评打分': 5}
{'短评内容': '没设么感谢', '短评打分': 5}
{'短评内容': '旁边是大排档，隔音效果又特别差，一晚上被声音吵醒两次，说了不要电梯口了，还是电梯口房间。', '短评打分': 3}
{'短评内容': '胡经理亲自免费接机，感谢！早餐品种多，味道好，35元自助餐物超所值，房间设施一应俱全，非常满意', '短评打分': 5}
{'短评内容': '环境设施不错，楼下的自助餐也可以', '短评打分': 5}
{'短评内容': '舒适安静，环境优美，交通方便！', '短评打分': 5}
{'短评内容': '房间还不错。。。。蓝色地中海的，，不过洗手间是透明玻璃的。。。还好是一个人住。。两个人除非是夫妻。。不然就尴尬了', '短评打分': 4}
{'短评内容': '一个非常浪漫的酒店，适合情侣出行  酒店的服务超级棒，精心布置了一场，表白成功了(*^ω^*)下次还早来这里……一个有情怀的主题酒店……', '短评打分': 5}
{'短评内容': '还可以，交通比较便利', '短评打分': 4}
{'短评内容': '房间干净，服务很好', '短评打分': 5}
{'短评内容': '武夷山逸精品酒店，是我目前为止住过的最为满意的酒店，不仅价格实惠，并且酒店各个员工的待客态度都非常的亲切，再者就是办事效率很高，这包括接车服务，订票，房间卫生处理等方面，总之，两个字，满意！', '短评打分': 5}
{'短评内容': '替朋友定的，他说挺好的，加油。', '短评打分': 5}
{'短评内容': '性价比高。离景区近。门口就有车站。早餐时间可以再延后半个小时。旅游是放松的。没必要为了吃早餐赶时间。还有早餐质量有待提高。', '短评打分': 5}
{'短评内容': '环境好，服务也好，酒店干净整洁，给它点赞！', '短评打分': 5}
{'短评内容': '位置極好, 附近就是武夷食街及食店, 又有超市可買日常用品及當地土產作手信. 酒店直行就是公車站, 去景點很方便. 前台人員很友善, 值得讚賞.', '短评打分': 4}
{'短评内容': '靠近汽车站，出行方便，服务非常热情，早餐较好。缺点，灯光太暗，地板有个台阶，需小心崴脚', '短评打分': 5}
{'短评内容': '酒店环境和卫生都很满意，早餐还算不错，到酒店前工作人员还特意确认入住情况，但由于到之前由酒店安排人员接到酒店本人以为是酒店的客户做得如此到位，后来才知道那人是所谓的导游，由于我们不清楚他们的游戏规则，自己找了导游，结果给那个所谓酒店导游给骂了一顿，有点生气！', '短评打分': 5}
{'短评内容': ' 挺好，房间干净，因该在这里是比较好的，并很有特色，早餐品种有点少，停车位少。', '短评打分': 3}
{'短评内容': '服务很贴心，家庭房的床很柔软，很舒服，每天还有水果送，很贴心的。总之很满意。', '短评打分': 3}
{'短评内容': '酒店设施很新，接车是GL8，服务也还不错，但是细节方面还要加强，比如打扫卫生时客人用过酒店的茶壶要及时清洗，安排入住的时候，一定要确保前面的客人已经退房。', '短评打分': 5}
{'短评内容': '酒店不大，但是挺新的，设施和服务态度都挺好的，就是服务细节还要加强。', '短评打分': 5}
{'短评内容': '不能跟大城市的酒店比，在镇上估计算比较好的酒店了，洗澡很舒服，超大水，超大花洒；交通很方便，吃饭也很方便，服务也不错。但感觉房间不干净，身上咬了很多包，郁闷！', '短评打分': 1}
{'短评内容': '一家比较新的酒店，所以房间里也比较干净比较新，早餐比较简单，但也着实对得起这个价格了！', '短评打分': 5}
{'短评内容': '新酒店，虽然不大但是房间很干净。软服务很到位，一到房间就有水果送来。主动运输行李，对咨询很耐心。安排接火车联系送车，早餐量很足。', '短评打分': 5}
{'短评内容': '酒店房间硬件设施，装修风格值得赞一个。服务工作人员热情。适合散客或家庭休闲入住。相关旅游服务也收费合理。推荐入住。对胡总再次表示感谢。', '短评打分': 5}
{'短评内容': '不错服务很好，很满意！', '短评打分': 3}
{'短评内容': '非常新的酒店，设施都是星级的标准，很不错，住的很舒服，也很干净。酒店的服务很好，早班的飞机，酒店的胡经理亲自来接机，谢谢！以后还会入住这里！门口就是车站，去景区很方便！酒店的北面有拍档小吃街。', '短评打分': 5}
{'短评内容': '酒店感觉很好，非常温馨！离景区也很近！\n值得一住', '短评打分': 5}
{'短评内容': '门面不大，但房间还不错，早餐也还可以！在风景区内，旁边就是一个吃烧烤大排档地方！', '短评打分': 5}
{'短评内容': '房间的设施很好，标准间的设计比较简约时尚，床很舒服，如果房间再增加一个沙发会更好，新装修的，还有油漆味。服务员热情有礼，性价比较高。', '短评打分': 5}
{'短评内容': '房间和服务都很好，有两点要提醒，一、早餐品种不多；二、无无线网络，IPAD无法上网。', '短评打分': 5}
{'短评内容': '房间里设置、用品够得上五星标准。床很软，大床房可加被，加的是蚕丝被。客房、前台工作人员服务超好。酒店其他设施庭院、大堂及早餐也就二、三星水平。不过白天进景区，晚上休息一下也已，性价比不错。', '短评打分': 5}
{'短评内容': '令人惊喜的酒店，虽然门脸不大，装修风格是精致的欧式。房间很有设计感，服务人员态度也很好。只不过冬天在餐厅里用餐不开空调，还是有点要命的，连菜都凉得很快，人冻得直哆嗦。。', '短评打分': 5}
{'短评内容': '房间很新，很干净，位置好，服务态度好，唯一就是早餐简单了点', '短评打分': 5}
