{'descr': '没早餐，老板比较和气，可以存放行李', 'star': 5}
{'descr': '额民宿，没啥想的', 'star': 4}
{'descr': '有事到广播电视学校门 在网上搜索的离得近又价格不贵的旅店 说是离学校800米远 我想一定是直线距离 这个价格已经是可以的了 刚装好空调 运气了', 'star': 5}
{'descr': '被单漂白不够，偶尔有黄色污迹，让人心情不愉快。。希望以后能够改进。出行还算方便，有公交车，3号线地铁。住了两晚上，睡得好。', 'star': 4}
{'descr': '位置还行，有停车场，不太适合带孩子', 'star': 3}
{'descr': '总体环境一般', 'star': 3}
{'descr': '很好，环境舒适，设施完善，交通方便。。。。服务也很到位，前台人员态度热情，工作认真负责，房间没有异味，很干净。', 'star': 5}
{'descr': '环境挺干净的，但是热水不热，水也很小，买了两瓶水，9个月的保质期，竟然差几天就过期了，伤不起', 'star': 3}
{'descr': '服务态度不好、、、房里面环境可以但设施一般、小风筒都没有、', 'star': 3}
{'descr': '环境不是很好 有其他选择最好就不需订这里', 'star': 2}
{'descr': '首先，预订后没给我留房间，然后第一晚帮我弄了个三人间，178元，第二天转到大房间收了我178元', 'star': 3}
{'descr': '酒店很干净，还不错。位置也不错。就是隔音效果有点差。', 'star': 3}
{'descr': '实际房间和图片部符合，卫生不是很好，梳子都是别人用过的，洗脸盆上都是短头发，服务态度很冷漠。', 'star': 2}
{'descr': '还可以，服务态度挺好', 'star': 3}
{'descr': '脏乱', 'star': 2}
{'descr': '家庭式的小旅馆，住宿条件很差，房间面积也很小，大床房临街，很吵', 'star': 1}
{'descr': '房间比较旧，感觉不值这个价，周围环境比较安静，离地铁站有些距离', 'star': 1}
{'descr': '因为紧靠着福林饭店，走廊上全是厨房的味道，房间进去还有一股说不出来的味儿', 'star': 1}
{'descr': '还可以，蛮不错，值这个价。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '地点有点偏远，但挺干净的，对得起这价，适合学生', 'star': 5}
{'descr': '有点偏僻，离地铁还是有点距离的。然后床单居然有个洞。。。', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '在这个价位的酒店里边，算是不错的了，LD住完了比较满意，就是要注意带个人洗漱用品。', 'star': 5}
{'descr': '不错下次继续来住。', 'star': 3}
{'descr': '住临街的房间，除了隔音不好，洗浴热水不太给力，其余都很好。总体来说很不错。', 'star': 5}
{'descr': '住的是路边的房子,有点吵', 'star': 3}
{'descr': '+离市区远', 'star': 5}
{'descr': '＋服务热情周到。设施齐全，卫生干净，交通便利，周围大排档，超市特便宜。', 'star': 3}
{'descr': '宾馆的服务态度非常好，地理位置也不错，交通便利，离景区很近，步行就可以去雨花台。周围的大排档很便宜，超市也很便宜。卫生干净，设施齐全，感觉很不错，价格超级划算。顶！', 'star': 5}
{'descr': '性价还好，就是离地铁有点远，门口公交太难等', 'star': 5}
{'descr': '位置邻近雨花台风景区南门，不过宾馆不是很专业。', 'star': 1}
{'descr': '位置相对比较偏僻，和招待所差不多，简直就是私人招待所', 'star': 1}
{'descr': '虽然位置偏了点，但交通蛮方便的，而且风景区空气好。父母还算满意，也达到我的期望啦。', 'star': 5}
{'descr': '到宜家很方便！环境还行', 'star': 5}
{'descr': '卫生状况较差，预定的大床房，床很小，房间里的卫生间不断发出恶臭，应该是下水道里的臭水。结账时服务员不给发票，谎称发票用完了，在我们一再坚持下才不情愿的开出发票。', 'star': 3}
{'descr': '卫生状况较差，预定的大床房，床很小，房间里的卫生间不断发出恶臭，应该是下水道里的臭水。结账时服务员不给发票，谎称发票用完了，在我们一再坚持下才不情愿的开出发票。', 'star': 1}
{'descr': '环境还可以，就是位置偏点', 'star': 5}
{'descr': '环境还可以，就是位置偏点', 'star': 5}
{'descr': '老设施，很远，很偏僻~~~离地铁站要走半个小时，离公交站也得20分钟，还只有一辆可以到中心地带的~~', 'star': 1}
{'descr': '老设施，很远，很偏僻~~~离地铁站要走半个小时，离公交站也得20分钟，还只有一辆可以到中心地带的~~', 'star': 1}
{'descr': '找半天才找到地点!', 'star': 5}
{'descr': '找半天才找到地点!', 'star': 5}
{'descr': '老板很热情  卫生挺好  环境也不错  就是位置有点偏', 'star': 5}
{'descr': '老板很热情  卫生挺好  环境也不错  就是位置有点偏', 'star': 5}
{'descr': '很干净、位置很好，设施一般，酒店人员态度到位，总体还好吧。', 'star': 5}
{'descr': '很干净、位置很好，设施一般，酒店人员态度到位，总体还好吧。', 'star': 5}
{'descr': '不错，附近其实风景挺好的，后面还是南京的豪宅', 'star': 5}
{'descr': '不错，附近其实风景挺好的，后面还是南京的豪宅', 'star': 5}
{'descr': '酒店离雨花景点比较近，过去玩方便，而且酒店环境也好.装潢设计我很喜欢.', 'star': 5}
{'descr': '酒店离雨花景点比较近，过去玩方便，而且酒店环境也好.装潢设计我很喜欢.', 'star': 5}
{'descr': '周边交通不错，走路可以去雨花台景区，那风景蛮好的，性价比理想。', 'star': 5}
{'descr': '周边交通不错，走路可以去雨花台景区，那风景蛮好的，性价比理想。', 'star': 5}
{'descr': '房间很整洁,住起来也很舒适,服务人员很热情也很周到,给我感觉很亲切.', 'star': 5}
{'descr': '房间很整洁,住起来也很舒适,服务人员很热情也很周到,给我感觉很亲切.', 'star': 5}
