{'短评内容': '嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯', '短评打分': 5}
{'短评内容': '酒店位置特别好 前台服务专业 性价比极高', '短评打分': 5}
{'短评内容': '很棒，环境很舒适', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 4}
{'短评内容': '了', '短评打分': 5}
{'短评内容': '位置还可以，就是隔音不好，房间有点冷，其他都很好，房间香水味太刺鼻', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯', '短评打分': 5}
{'短评内容': '环境  设施都很好  就是觉得每一个房间应该配一个吹风机  虽然叫了就给送   不过感觉不是很方便   但服务态度非常好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '打扫卫生的人态度特别差，特别差，特别特别差，说话不回，换拖鞋都一堆大道理，不知道是来住店的还是来被说教的，特别恶心，垃圾！如果不愿意做可以换个自认为特别高档的活干，没必要像谁欠钱一样的，并且叫了两次才过来打扫，在走廊聊天！差……', '短评打分': 3}
{'短评内容': '好，特别好，', '短评打分': 5}
{'短评内容': '结婚给朋友预定，整体环境交通不错，不过比较不开心的是，几次预定成功都被退单，酒店方还给我打电话说没房间，如果我不退单将会影响我后期的信用。后来给携程投诉才解决。酒店这种有房不卖，为了卖高价的行为，实在是不知道应该怎么形容，大家慎选吧', '短评打分': 5}
{'短评内容': '结婚给朋友预定，整体环境交通不错，不过比较不开心的是，几次预定成功都被退单，酒店方还给我打电话说没房间，如果我不退单将会影响我后期的信用。后来给携程投诉才解决。酒店这种有房不卖，为了卖高价的行为，实在是不知道应该怎么形容，大家慎选吧', '短评打分': 5}
{'短评内容': '结婚给朋友预定，整体环境交通不错，不过比较不开心的是，几次预定成功都被退单，酒店方还给我打电话说没房间，如果我不退单将会影响我后期的信用。后来给携程投诉才解决。酒店这种有房不卖，为了卖高价的行为，实在是不知道应该怎么形容，大家慎选吧', '短评打分': 5}
{'短评内容': '服务还行', '短评打分': 3}
{'短评内容': '没有免费牙具和毛巾，唯一让我觉得可以的就是前台服务员态度', '短评打分': 3}
{'短评内容': '感觉服务比以前好了', '短评打分': 5}
{'短评内容': '很好找，方便，旁边商业区，医院，吃的特多，推荐', '短评打分': 3}
{'短评内容': '还不错的酒店，设施比较新，价格比较合理，房间环境不错，晚上比较安静，卫生也不错，至于电视我倒是不清楚好坏，没用过，网速较慢，没需求的无所谓了。周边餐饮还可以，交通比较方便，前台人员服务态度还行，不过尚有提高空间.', '短评打分': 5}
