{'短评内容': '还不错 性价比挺高', '短评打分': 4}
{'短评内容': '环境、服务都非常满意', '短评打分': 5}
{'短评内容': '接触到了京东，虽然京东比较一般商城而言有些东西的价格还是偏高，但是它能够保证质量，尤其是能保证物流的速度，无论我发什么货物，都能以京东快递的方式发送给我，一般一周内都能收到货物，且是送货上门，非常的方便。如果赶上了特价活动，就能得到既便宜又快捷的优质货物，所以，现在购物就基本都在京东了。很喜欢京东，希望京东的货物种类能再多一些，让我们有更多的挑选余地，真正达到一站式购物的目的，来了京东，就不需要在去别的地方了，真心希望京东越来越好。', '短评打分': 5}
{'短评内容': '总得来说还可以', '短评打分': 4}
{'短评内容': '位置不太好找  很安静  有停车位', '短评打分': 5}
{'短评内容': 'it is good.very good.the bed can be add. i like stay. it is clean.', '短评打分': 5}
{'短评内容': '感觉被坑了，与图上介绍的岀入太大，房间也就五六个平米洗手间大概一平米，简直就是袖珍旅店。什么一个大床，一个小床都是瞎扯，也就两90公分小床。希望京东调查清楚再发布。不过交通还算可以。', '短评打分': 5}
{'短评内容': '不错哟，', '短评打分': 5}
{'短评内容': '京东老客，以前从来不去评价，不知道浪费多少京豆，自从知道京豆可以抵现金的时候，才知道京豆的重要。后来我就把这段话复制了，走到哪，复制到哪，即能赚积分，还非常省事。贴了这段话说明对商品是满意的！！！', '短评打分': 5}
{'短评内容': '价格决定品质', '短评打分': 3}
{'短评内容': '停车超级棒', '短评打分': 3}
{'短评内容': '环境相当不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '酒店位置挺好的，门口的公交车很多，出行方便。', '短评打分': 4}
{'短评内容': '店内供应早、午、晚餐，很方便，很经济，当然饭菜也很经济，没有大鱼大肉的，但很可口，很适合家庭出行', '短评打分': 5}
{'短评内容': '洒店房间比较小，但很干净，在北京来说，入住价格比较便宜，交通方便。从机场乘大巴4号线，航天桥下车过马路，走5分钟即到。到天安门乘37路车，到娱和园乘394路车，到八达岭乘27路在德胜门下车换乘911路即到，到火车西站也有直达车，有7－8站地。', '短评打分': 5}
