{'短评内容': '我的人都是我的人', '短评打分': 5}
{'短评内容': '还不错，现在京东啥都可以了', '短评打分': 5}
{'短评内容': '挺不错的酒店，值得去住。', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '这是我见过最奇葩的五星级酒店。都五星了，就算我订的是标准房，连个窗户都没有，弄个假窗户，贴一张画就完了。潍坊随便找一个这个价格的房间好歹也有窗户啊。另外，房间空调根本不制热，需要开一个暖风机才行，而且要盖两床被子。不知道是不是没人住，他们省电不开主机，而且我在前台办入住的时候还有别的房间打电话空调不热。另外我订的是一个大床，竟然是两个单人床拼在一起的，中间很硬，没法躺。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早晨8.30去吃早餐，好多东西都没有了，不过还好', '短评打分': 5}
{'短评内容': '这是我住的最差劲的五星级酒店！马桶旁边有一段烟灰！很明显，难道保洁看不到？床头柜旁边还有矿泉水瓶瓶盖！订的是大床房，房间好小，浴缸看着干净，实际好脏！', '短评打分': 4}
{'短评内容': '一直都在这住 很不错', '短评打分': 5}
{'短评内容': '不错酒店很好啊', '短评打分': 5}
{'短评内容': '好评很不错啊', '短评打分': 5}
{'短评内容': '挺不错的酒店，价钱也挺偏宜，而且还确认快', '短评打分': 5}
{'短评内容': '一直信赖京东。好评！！！！', '短评打分': 5}
{'短评内容': '感谢大堂崔经理和服务生杨明热情周到的服务.\n原房间温度18℃，有些冷,虽客房紧张，但他们没\n有以此托辞，立刻做了升级调整.感觉很暖心.\n以后来潍坊还会找他们的。谢谢', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错，方便出行到客户，设施也很好', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，电视比较小，但是还算干净，服务中等，性价比还不错，适合商务住宿，可以推荐给大家。携程服务很好。', '短评打分': 3}
{'短评内容': '整体还不错，夜间窗外有些吵。', '短评打分': 4}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '酒店周边安静，设计漂亮，设备豪华，房间安静，早餐丰富，服务周到', '短评打分': 5}
{'短评内容': '8分', '短评打分': 5}
{'短评内容': '8分', '短评打分': 5}
{'短评内容': '新酒店不错，是潍坊出差首选。    就是个人不喜欢低楼层的房间，前台说携程定的只有在一楼。无语。', '短评打分': 5}
{'短评内容': '很好，客人非常满意，就是顺丰楼还是有味道', '短评打分': 5}
{'短评内容': '酒店的硬件设施好，服务很贴心，下次还会选择这里。', '短评打分': 5}
{'短评内容': '距离市中心有点距离，卫生还可以，比较干净，网速比较快，服务也比较到位', '短评打分': 5}
{'短评内容': '环境好，服务态度好，很棒的一家酒店。。。', '短评打分': 5}
{'短评内容': '看了评论，感觉很不错，刚刚进大堂，门口礼宾很热情，前台服务也很好。大堂环境还行，我们是晚上7点多到得，氛围很好。酒店离机场不远，打车5分钟，但周边比较冷清，在酒店碧水湾会所游了一会儿泳，泳池还算不错，赞一个呵呵。酒店的床垫太软了，我有点不习惯。不过整天感觉真的不错。性价比很高。花这个钱我觉得还是值的。以后还会再来的。 \n ', '短评打分': 5}
{'短评内容': '酒店地理位置不错，离机场很近，早餐很好，很丰富口味也蛮可以。最满意的是服务员的微笑式服务，让我时刻感觉到贵宾级的待遇。以后会再来的。', '短评打分': 5}
{'短评内容': '硬件设施挺好，服务也不错，性价比很高，以后来潍坊会继续入住。', '短评打分': 5}
