{'短评内容': '好好干好好很好', '短评打分': 5}
{'短评内容': '房間寬敞，床被舒適，但水龍頭和花洒已舊，水流也太弱，其它都滿意。意外收獲是主動免費替我升級房間，給個讚！', '短评打分': 4}
{'短评内容': '卫生和服务都不错，房间大，位置方便。去保税区办事很方便。商务出差首选，价格也合理。下次还会再入住哒！', '短评打分': 5}
{'短评内容': '酒店非常好，早餐很丰富，也很安静！在地铁口旁边，性价比超级高的酒店！下次还来这家酒店！前台服务也非常好！推荐', '短评打分': 5}
{'短评内容': '打设备设施差的主要原因就是空调温度，制热模式开启后一直是冷风，房间里的温度跟外面走廊没啥区别。这次还碰到一件前所未有过的事，酒店服务员居然明知已入住房间的前提下，打开房门在查房。虽然之前是有敲过门，虽然发现房间内有人后立即解释并推出，可是这也不是能擅自打开查看的理由啊！！', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': 'msnksososowoownbdbvgxuisoskwn.ssiuxhsj', '短评打分': 5}
{'短评内容': '房间不错，就是有点偏了，离市区有点远', '短评打分': 5}
{'短评内容': '不错不错 不错不错 不错不错', '短评打分': 5}
{'短评内容': '酒店为一室一厅，', '短评打分': 5}
{'短评内容': '位置不错，地铁站出来就可以看到。酒店卫生干净，设施齐全，房价宽敞，双人床很大，床垫很舒服。早餐丰富。', '短评打分': 4}
{'短评内容': '还是不错的', '短评打分': 4}
{'短评内容': '还是比较不错的，性价比很高！', '短评打分': 4}
{'短评内容': '酒店不错，很好', '短评打分': 5}
{'短评内容': '舒适值得入住', '短评打分': 5}
{'短评内容': '真的不像五星的酒店，不太值', '短评打分': 3}
{'短评内容': '网上预付的，说是五星！连三星都勉强够，也就如家水准说明写有浴缸也没有！房间很小，早餐也就街边摊水准！而且基本没有服务！真的是很坑人的一次体验！也就价值200', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店不错，离管委会近', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店干净，服务好，还有WLAN很方便，乘地铁也方便。', '短评打分': 5}
{'短评内容': '房间不错，很干净，设备新。餐饮选择不多，出入不是很方便，叫不到出租车。', '短评打分': 5}
{'短评内容': '在外高桥保税区内，早上叫不到车。房间不错，餐饮选择不多。', '短评打分': 5}
{'短评内容': ' 新酒店，服务不错', '短评打分': 3}
{'短评内容': '酒店的前台很热情，服务也很好，大堂很气派，明亮。在办理登记的时候，工作人员还向我推荐酒店为方便住店客人特别推出了只要付20元酒店的别克车将带你到保税区内任何一个地方的服务，对于来出差的客人非常合算。酒店房间很大，很干净，采光很好，大大的玻璃窗可以把街景一览无遗，由于酒店是新开的，各种设施设备也比较新，但是一点也没有装修的味道，感觉非常满意。如果下次再来外高桥的话一定会再入住这家酒店的。', '短评打分': 5}
{'短评内容': '第一次入住该酒店，感觉非常好。酒店大堂设计简约气派，办理入住登记的时候，前台员工非常热情，还免费升级至商务套房。客房设计很温馨，淋浴设施非常舒适。\n午餐也在酒店享用，一楼的咖啡厅很有特色。中庭挑高设计，阳光玻璃房顶，是喝下午茶的绝佳场所啊。午餐是自助商务餐，服务员和热情的推荐了港市奶茶和华夫，确实很有香港特色。晚上还在健身中心锻炼了一下，没想到这里的器材特别齐全，还有拳击和瑜伽房、室内模拟高尔夫。', '短评打分': 5}
{'短评内容': '订了豪华商务房，前台小姐帮我升级到套房了，房间比其他酒店都大，客厅里还可以看DVD，房间里有IPHONE的座充闹钟，超级方便实用。\n\n在大堂里遇到一个老外，很热情的和我说了一大堆话，貌似就听懂了一句欢迎前来入住。后来前台的小姐说那是他们总经理。有点受宠若惊的感觉，住了那么多酒店第一次有总经理前来问候。\n\n健身房找了半天都没有找到，到前台去询问了下，行李员陪我上去了，原来电梯做到三楼，再走楼梯上去一', '短评打分': 5}
{'短评内容': '这是一家新开的五星级酒店，位置优越，地铁一出来就能看到。\n预订的是豪华房，还帮我免费升级到了豪华套房，房间很大，一室一厅的，有70几个平方，冰箱，微波炉，电磁炉，一应俱全。还有无限网络，网速很给力！\n服务员态度很好，包的早饭很不错，那里的粤菜也很有特色，奶茶也很好喝！\n总的来说，这样的价格很是满意，值得入住，下次有机会还会继续选择此酒店。', '短评打分': 5}
{'短评内容': '酒店各方面的设施真的很到位，房型很好，设备也比其他酒店齐全，住下来感觉不错。\n强烈推荐哈~~', '短评打分': 5}
