{'短评内容': '停电了居然停电了，全部住宿只得两家人，感觉可以拍恐怖片了', '短评打分': 2}
{'短评内容': '这房间 棒 ', '短评打分': 4}
{'短评内容': '房间设备比较老式但是环境很好很幽静远离喧嚣，罗荃半岛是洱海边上唯一一个不像工地的地方，很适合自驾游的朋友（因为离几个著名景点都太远了，如果不开车住这里的话还是不方便）', '短评打分': 4}
{'短评内容': '路上出了严重的交通事故不能出游，订的三号（春暖花开客栈）和五号（海月庄客栈）的酒店都给退了，就四号的这个酒店不能退，没有对比就没有伤害，这种事还是看老板人品', '短评打分': 1}
{'短评内容': '我们是自驾游，定了两个房间，一进酒店就觉得有一点诡异，酒店位置极其难找，停车位都没有停在山路上，然后最郁闷的是酒店居然在庙里！！！有信仰人士慎入！本人无信仰，依然觉得很奇怪，我要做香客我不会去普陀山吗我来洱海住庙里是什么情况！然后价位680的如此破烂不堪（如图），卫生条件也是极度恶劣，卫生间一股尿骚味一晚上无法入睡，酒店在已经订好十几天后莫名其妙提价200就算了，毕竟是黄金周，但是你总体硬件不能不', '短评打分': 2}
{'短评内容': '不满意。理由如下:1.已经预定并且确认，几天后忽然加价，增加了很多麻烦。2.酒店地址不方便，晚上吃饭都找不到地儿。3.说了送早饭给我们吃，8点多过去，说没得吃了。4.说好早上给发票，然后又没了，只能事后给，不省心。5.厕所很臭，一晚上没睡好，开窗睡又有蚊子。', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '岛上比较安静惬意，独自游玩蛮好滴', '短评打分': 3}
{'短评内容': '前几年住过一次，感觉不错，这次带家人出游，再次预订。酒店在景区内，观洱海位置很好，美中不足的是，吃饭不太方便，希望能改进。', '短评打分': 4}
{'短评内容': '一般般，还行。。。。。。。', '短评打分': 3}
{'短评内容': '酒店位置及所处环境较好，不过酒店可能入住率低，房间内部环境和宣传相差较大。所住房间厕所门是坏的，取电器外壳脱落较危险，房间里电源线较乱。不过，前台服务生态度很好，因行李多，其帮忙跑前跑后。另，餐厅用餐不好。因下单时提示含早餐，当时与前台确认也含早餐。结果用餐时，厨房大姐讲她们早餐是收费的。再三和她讲订酒店和前台都证实房费含早餐，她还是坚持收费。最后只能打酒店值班经理电话来沟通。最后，因酒店在景区中', '短评打分': 3}
{'短评内容': '环境真的很舒服~~住在海边很巴适~~客栈的饭店也比较合理，饭菜好吃，不贵', '短评打分': 5}
{'短评内容': '周围环境相当好 服务也很好 只是硬件设施有点。。。。。', '短评打分': 1}
