{'短评内容': '房间很大', '短评打分': 5}
{'短评内容': '蚊子超多', '短评打分': 5}
{'短评内容': '老酒店新装修，这个时候蚊子超多', '短评打分': 5}
{'短评内容': '房间设施陈旧，过去房间标配的面巾纸、两块小毛巾都没有了，就连酒店的介绍、服务设施与业务简介都没了。酒店的叫醒服务因系统损坏也不再提供。除了服务人员态度好之外，很难找到四星的感觉。想想酒店过去的辉煌，反差有点大。', '短评打分': 4}
{'短评内容': '虽说设备有点旧，但住着非常舒适，很安静！有机会还会去的！', '短评打分': 5}
{'短评内容': '发霉了！发霉了！发霉了！房间都发霉了！感觉真心不怎么样！早餐到是很不错！', '短评打分': 1}
{'短评内容': '一如既往的选择，很满意', '短评打分': 5}
{'短评内容': '还可以 价格有点高', '短评打分': 5}
{'短评内容': '首先酒店就离马路有点远，不好打车，客房离前台较远，客房还没有电梯，八十年代的老房子，卫生间全是泛黄的浴具，床头没有插头，房间里的插头都很隐蔽，所谓的湖景房，一个八十年代的小阳台，前面一个泛绿的湖，床还特别小，这些我都忍了，但是结账的时候居然说让我重新给现金，携程订的预付款要我自己去退，前台经理态度十分恶劣，我就不知道一个敢收320，但是条件连一百房间都不如的酒店，是哪里来的勇气，再也不会住这个酒店', '短评打分': 1}
{'短评内容': '绝佳地段和景色 设施老旧有待翻新 多处剥落破损 枕头床单味重 空调好没蚊子', '短评打分': 4}
{'短评内容': '外部环境优雅，内部装修陈旧，商务出行挺适合', '短评打分': 4}
{'短评内容': '周边环境不错', '短评打分': 4}
{'短评内容': '不错价格不贵。', '短评打分': 5}
{'短评内容': '酒店在鄂州地区还是很不错的，四周环水，闹中取静。订的是270的房间，酒店没房了给免费升级了320的湖景房。现在酒店也有WI-FI了，值得的推荐。', '短评打分': 5}
{'短评内容': '住的普通标间，有点旧，灯光太暗，地理位置挺好的', '短评打分': 4}
{'短评内容': '糟糕的一塌糊涂，太脏。', '短评打分': 1}
{'短评内容': '周围环境好，房间卫生，周服周到，好的体验.........', '短评打分': 5}
{'短评内容': '根本不像星级酒店，和小旅馆差不错，房间有味道，浴室设备太陈旧，出水量很小，床太硬了', '短评打分': 1}
{'短评内容': '对你们的服务很满意,您会向您的朋友推荐这家酒店.今后我介绍朋友加入你们的会员.', '短评打分': 5}
{'短评内容': '房间比较大,比较安静,浴室内有一次性洗漱用品,但毛巾用得太久,感觉很旧。房间里的地毯污迹很多。\r', '短评打分': 3}
{'短评内容': '環境一流，設施陳舊，管理要提高。', '短评打分': 3}
{'短评内容': '太旧了，客房设施都是破破烂烂的，客房不在主楼而在侧楼，还要爬2层楼梯，带个行李箱真不方便，吃早饭又在主楼，最要命的是退房后，前台居然不肯帮忙叫出租车，住了N次酒店第一次遇到，大门口离酒店大堂那么远，再说了大门口又有门卫，叫个出租车很麻烦吗？还好没下雨，下雨天也要让客人拖个行李走到大门口吗？少说有一公里吧？反正下次不会再住了，设施差，服务差。。。', '短评打分': 1}
{'短评内容': ' 环境不错,地理位置也可以,就是设施太陈旧了,地毯看上去也是斑斑点点的,但是在鄂州相比其他酒店,还算可以住住', '短评打分': 5}
{'短评内容': '已入住凤凰山庄，总体评价差：服务差，房间设施破旧，湖景房根本看不到湖。', '短评打分': 3}
{'短评内容': '不错的一个酒店，服务态度好，环境不错，干净卫生，非常的舒适 ', '短评打分': 5}
{'短评内容': '该酒店还是不错的，会对朋友进行推荐的。早餐也是不错的哦', '短评打分': 5}
{'短评内容': '酒店管理差劲,无住宿发票!', '短评打分': 3}
{'短评内容': '环境不错，但设施太差了。很多东西都是坏的。', '短评打分': 1}
{'短评内容': '环境不错。\n但是房间设施是在不行，马桶不能冲水、房间里有怪味、部分灯不亮。。', '短评打分': 1}
{'短评内容': '第一天在网上订的房，第二天续住竟然以门市价。\n因为是给朋友住的，事后朋友告诉我，也来不及追究了。\n房间景色不错，但宾馆的这种做法我实在接受不了。', '短评打分': 1}
{'短评内容': '还不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置很好，位于鄂州市中心东南角的风光旖旎的洋澜湖边。这里的服务周到热情，建筑风格具有独特的民族韵味。\n\n', '短评打分': 5}
{'短评内容': '房间舒适度还行，价格便宜，酒店装修不错，周边坐公交或者打车都方便，服务很到位', '短评打分': 5}
{'短评内容': '设备太旧。床太硬。', '短评打分': 3}
{'短评内容': '住宿环境很好，四周都是湖，酒店的服务很好，比较人性化，房间卫生条件不错，打扫的干净整洁。住宿环境很到位', '短评打分': 5}
{'短评内容': '地理位置，风景，服务态度都很好。休闲度假非常值得一住。但房间内设施较老，需要改进。', '短评打分': 5}
{'短评内容': '周围湖景很漂亮，服务态度很好，早餐也很丰富，下次还会选择入住', '短评打分': 5}
{'短评内容': '酒店在当地算是不错，位置其实也算蛮中心的位置了，里面环境还是一般但是在当地算是最好了，价格其实还是挺贵的。', '短评打分': 5}
{'短评内容': '过的去                                                  ', '短评打分': 5}
{'短评内容': '+第二次入住，服务态度很好，早餐也很丰富，周围湖景也很漂亮，下次还会选择入住！', '短评打分': 5}
{'短评内容': '酒店服务很差，送餐时故意把价格写高，服务费也不是像其它酒店按15%收取，要收30%.环境还好，但酒店周围的水质有问题，湖上都是死鱼，谁也臭了。', '短评打分': 1}
