{'短评内容': '环境一般般', '短评打分': 4}
{'短评内容': '离老虎滩公园非常近，过马路50米。卫生非常好，环境非常好，早上才十元每位。出门左转1000米，渔人码头。', '短评打分': 5}
{'短评内容': '设施太旧了', '短评打分': 4}
{'短评内容': '环境不错 卫生干净 服务态度不错 设施也不错 基本满意 可以考虑', '短评打分': 5}
{'短评内容': '酒店位置也不太理想', '短评打分': 4}
{'短评内容': '优点就是离老虎滩近，实话实说，如果如果海洋馆一类的，老虎滩真没啥看的。缺点是有点小贵', '短评打分': 5}
{'短评内容': '地理位置好 交通也非常方便  环、境一般  卫生条件也过得去 主要是位置好 离玩的地方近 因为有小孩一起', '短评打分': 5}
{'短评内容': '真心实意说，一般，只是离老虎滩公园近而已。就这一个优势。房间一般，服务也一般，国营单位就那样。', '短评打分': 3}
{'短评内容': '酒店整洁干净，很好很舒适', '短评打分': 5}
{'短评内容': '卫生一般啊，像是老招待所改的，离景区很近是最大优点，价格还算可以吧。出来玩如果对住宿没有太高要求，还是可以接受的。', '短评打分': 3}
{'短评内容': '暑假时去大连住了几晚，地理位置不错，离老虎滩海洋公园非常近，一出门走几分钟就到，吃饭也还方便，走到品海楼那里十多分钟，就是附近没有什么大型的超市，想买点水果什么的不太方便', '短评打分': 4}
{'短评内容': '酒店比较老了，设施有点古板，没有生息。', '短评打分': 4}
{'短评内容': '周围环境不错，设施有点老。', '短评打分': 4}
{'短评内容': '房间比较老，卫生间的防水帘下边有霉斑了，空间还是可以，早餐很是不能接受，离老虎滩很近', '短评打分': 4}
{'短评内容': '位置好，在老虎滩公园旁边，性价比在这个季节还算过的去，但早歺7点半就没什么了，还要收10元，有点坑', '短评打分': 3}
{'短评内容': '价格和环境成正比，门口就是海洋公园', '短评打分': 5}
{'短评内容': '不能发布差评', '短评打分': 1}
