{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '早餐没有吃，不过20元一位，真心便宜，只不过这次给开的北边的房间，很冷，开的是独立空调，开了5个小时变暖和了，晚上睡觉不敢一直开着，怕嘴干，建议订标间，标间哎大床房间大一些', '短评打分': 4}
{'短评内容': '位置不错，服务还可以，就是要爬个坡到三楼前台。。一楼电梯位置有点难找晚上很早就关了也。总的来说还不错性价比', '短评打分': 4}
{'短评内容': '房间很大，风景不错，还有个阳台', '短评打分': 5}
{'短评内容': '很不错，尤其是那个床超级舒服，早餐也还不错，喜欢', '短评打分': 5}
{'短评内容': '还好，位置不错！！！！！！！！！', '短评打分': 5}
{'短评内容': '前台服务热情周道', '短评打分': 4}
{'短评内容': '还不错，比较舒服，就是房间有点小', '短评打分': 5}
{'短评内容': '服务优质', '短评打分': 5}
{'短评内容': '个人还过得去，领导要求高，欠档次', '短评打分': 4}
{'短评内容': '总体档次过得去，不是很合等次', '短评打分': 4}
{'短评内容': '家人暑期来秦旅游，地段还可以，外观看着还不！里面相对来说一般吧……里面太杂，干什么的都有，还有公司什么的，乱七八糟的。', '短评打分': 3}
{'短评内容': '这回房间很不错的', '短评打分': 5}
{'短评内容': '还好，就是该装修了', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很重的烟味，设备陈旧。请谨慎！', '短评打分': 2}
{'短评内容': '这是第二次住这酒店了。服务不错，还有免费早餐，不错。还有海鲜自助晚餐，吃的很爽啊。', '短评打分': 5}
{'短评内容': '周边环境很好~ 就是房间稍微有些潮~ 酒店餐厅也值得推荐~', '短评打分': 5}
{'短评内容': '开了4小时的车，终于到了秦皇岛，感觉冷气很凉很舒服~~房间内饰简洁干净，就是设施稍显陈旧', '短评打分': 3}
{'短评内容': '刚入住就后悔了。住宅改的，服务不怎么样。旅游的没怎么讲究的住一夜就成，商务出差的就别来住了。本来就累，住这会', '短评打分': 5}
{'短评内容': '酒店就是原来的家庭住房改的，环境一般般了', '短评打分': 1}
{'短评内容': '房间很大 而且很干净，有阳台 可以看到窗外的汤和公园，酒店特别高，服务员会贴心的提供矿泉水和秦皇岛地图，打车10分钟就能到海边，很不错', '短评打分': 5}
{'短评内容': '自驾游去的。这个是酒店式公寓 各方面都很好  很舒服 有家的感觉  以后去还会住在这 很安静 设施装修都很满意 很开心的旅行。', '短评打分': 5}
{'短评内容': '价格较周边得便宜，早餐也比之前大有改进品种也多。在阳台上就能看汤河公园全景。', '短评打分': 5}
{'短评内容': '便宜还是便宜，地理位置很好啊，不用走很长时间就能找到公共汽车站！', '短评打分': 5}
{'短评内容': '很不错，就是位置比较难找。酒店很干净，床还有电热毯。', '短评打分': 5}
