{'短评内容': '服务态度好、房间干净、wifi快', '短评打分': 5}
{'短评内容': '服务好，房间干净、服务态度好', '短评打分': 5}
{'短评内容': '服务好卫生好', '短评打分': 5}
{'短评内容': '服务好 大堂干净 房间干净 装修不错', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 4}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '跑成马住这里很方便，环境也不错，赞', '短评打分': 5}
{'短评内容': '一直住7天，非常棒', '短评打分': 5}
{'短评内容': '房间挺干净整洁的，前台接待也很好，最重要的是，还在房间发现了两个消防用的呼吸器，消防意识很强～好评，下次来还住！', '短评打分': 5}
{'短评内容': '刚下了单，还没去感受', '短评打分': 5}
{'短评内容': '在', '短评打分': 5}
{'短评内容': '?', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '已经连续来住这家七天玉林省体育馆店很久了，感觉非常棒。首先，位置非常好找，一眼就望到了，门口走不远就是公交，非常便利。 然后一进店，就接到前台的热情问候，看到我提行李箱还主动就问我是否是过来旅游，主动帮我介绍周围好吃和好耍的，32个赞。不愧是全国拥有3000 分店的连锁。 再说房间，很干净，主要是那张床看起好暖好舒服，瞬间想睡个好觉。 极力推荐，下次带着朋友一起来。', '短评打分': 5}
{'短评内容': '这是我整个自由行的最后一个酒店，也是唯一一个快捷酒店，一如既往的干净整洁，服务很好，凌晨退房都很快速。酒店在离地铁站步行15-20分钟的地方，所以建议行李多的旅客打个车吧。选择在这个酒店也是因为玉林有很多当地的小吃，蹄花和钵钵鸡都一定要去试试看！', '短评打分': 5}
{'短评内容': '好评！！！！！！', '短评打分': 5}
{'短评内容': '一直住这家酒店 真的很好 好评！！！！！！', '短评打分': 5}
{'短评内容': '干净 服务特别好  推荐入住', '短评打分': 5}
{'短评内容': '酒店服务很好，值得入住地段在居民区里，周围有超市和水果摊，也有火锅店，很方便。前台是个帅哥，很热情，态度也很好， 走几分钟就到地铁站，离公交一条街， WiFi信号很好，房间很干净，床很大，晚上有牛奶送 很棒！', '短评打分': 5}
{'短评内容': '位置很好、周围吃的很多、也比较安静！至于酒店本身就是七天一贯的样子、但现在居然没有洗漱用品了、感觉不人性！', '短评打分': 4}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '还可以不错', '短评打分': 5}
{'短评内容': '床单太脏了，大姨妈印记都没洗干净，恶心', '短评打分': 2}
{'短评内容': '商务出差居住，交通方便，房屋大', '短评打分': 5}
