{'短评内容': '不错，还在4楼，看日出日落', '短评打分': 5}
{'短评内容': '酒店在北海应该算是出行最舒服的酒店了，早餐不算丰富，但还是不错。酒店位置没得说！风景很好、出行方便。海景房很舒服！', '短评打分': 5}
{'短评内容': '酒店在北海应该算是出行最舒服的酒店了，早餐不算丰富，但还是不错。酒店位置没得说！风景很好、出行方便。海景房很舒服！', '短评打分': 5}
{'短评内容': '沙滩美景超极棒棒哒', '短评打分': 4}
{'短评内容': '很好，就是比较难定。定了一天，第二天就没房了。下次来应该还会首选这里', '短评打分': 5}
{'短评内容': '很好的酒店，就是价格不亲民。泳池很干净，各项服务很好。', '短评打分': 5}
{'短评内容': '房间还可以，海景很漂亮', '短评打分': 5}
{'短评内容': '还不错的度假酒店，出行也比较方便。', '短评打分': 5}
{'短评内容': '位置很好，海滩比较干净。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '面朝大海，春暖花开。位置好，房间也安静。餐厅少，周边餐厅少。下午两点到，吃饭不方便。', '短评打分': 5}
{'短评内容': '总体来说尚可，有私家海滩，设施的话一般，干净整洁', '短评打分': 4}
{'短评内容': '酒店环境不错，房内设施也还可以，收拾的挺干净。就是房间偏小，价格有点儿贵。后面海滩很不错！', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 1}
{'短评内容': '泳池很赞。其他十分一般。', '短评打分': 4}
{'短评内容': '北海最适合海边住的酒店', '短评打分': 4}
{'短评内容': '北海最适合海边住的酒店', '短评打分': 4}
{'短评内容': '最大的优点是海景房很无敌，海滩近，北海最干净海滩，人少。', '短评打分': 5}
{'短评内容': '这家酒店什么都好,除了中餐厅。我住的是豪华海景标间，7层中间位置，拉开落地窗的窗帘，一望无际的大海扑面而来，真的太享受了。这儿的海景没的说！再说服务，所有的人员服务意识都很强，礼貌而热情，对客人的意见和要求很重视且马上想办法解决，使我真有一点上帝的感觉。当然除了中餐厅.再来说说这个要命的餐厅，所有的肉类菜，全部都嚼不动,还很贵,服务生态度也不像酒店里的服务员那样和蔼可亲,有点牛,不知道牛什么,要一', '短评打分': 5}
{'短评内容': '环境非常优美，配套设施也很好，而且避开了大众人流，很不错！', '短评打分': 5}
{'短评内容': '酒店一般就是方便游泳', '短评打分': 3}
{'短评内容': '上周末刚刚入住了该酒店，感觉还不错，我住的是豪华单间，房间内设施齐全，布置温馨，酒店内的泳池很漂亮，最让我满意的就是酒店离海滩非常近，晚上在海滩上散步真是种享受！呵呵，唯一的缺点就是酒店的价格贵了些，580元/晚，在香港都能住到不错的酒店了。', '短评打分': 5}
{'短评内容': '入住海珠，景色和服务还是很满意的！就是天气太冷了，空调也不开，给拿个暖风机凑合，有点遗憾！', '短评打分': 3}
{'短评内容': '10月8日入住4天，正好赶上装修，每天早上8点半开始，很吵。一天晚饭在餐厅吃，服务员都在收拾桌椅，很吵，到后来开始墩地，还有消毒水味，实在忍无可忍了，找经理把我们换到另一个房间。还有前台退房查房太慢，足足等了15分钟还没查好。前台的主管也没有礼貌。唯一一点好就是出门就是海滩。', '短评打分': 1}
{'短评内容': '不错，性价比高，出去就是海滩，下次去北海还住这儿，就是稍微有点偏僻，早上晚上打的不好打', '短评打分': 5}
{'短评内容': '正如有的客人评价一样，由于预订的时间超过，我也差点被扫地出门，好在最后一刻有人退房。又正好碰见装修，烦心的很，好在楼层服务员倒是很热情！一楼中餐厅的服务态度就很差了，吃了4顿一样的主食，收费各不相同，反说收错了，收少了！气得我。。。\n离海滩很近，外景很美，赞一个！', '短评打分': 5}
{'短评内容': '再次入住海珠，景色依然美丽，可惜正在装修太吵了，希望下次再来时，一切还像原来那么惬意！', '短评打分': 3}
{'短评内容': '酒店的位置不是银滩上，而是邻近的侨港镇上，在镇上已是不错的了，因为本身地方就小，没几家酒店。个人感觉店里的环境和设施还可心，就是没什么娱乐和休闲的地方，除了去沙滩。酒店的用餐有点贵，种类也少，所以没怎么在里面吃过。', '短评打分': 5}
{'短评内容': '不错的价格也合理 下次还会选择的 很好很好', '短评打分': 5}
{'短评内容': '离国际码头近,海景标间躺在床上就可以看海,房间干净有电脑,不错', '短评打分': 3}
{'短评内容': '环境很不错，酒店性价比也可以，地理位置也还可以，就在海边，喜欢看海的人这儿是个不错的选择，沙滩上人比银滩少，唯一的缺点就是打车不方便，因为太偏了。还有我们第一晚上很冷，居然没开冷气，其中一个朋友因此有点感冒了，第二天跟客服说了好多次才肯开。还有一个惊喜，就是第二天是一个朋友的生日，酒店经理送了我们一盘水果。退房有点慢，不过我催了下说要去赶火车还没等检查完就让我们走了。', '短评打分': 5}
{'短评内容': '沐浴液用具不好用，且盒内沐浴液几乎用完。', '短评打分': 3}
{'短评内容': '酒店环境还行，酒店门口就是海但是周围环境就显得比较乱海民比较多，房间设施卫生还算过的去但绝达不到四星标准。', '短评打分': 1}
{'短评内容': '这次再次入住，给的房间看中间的，还不错，虽然与预想的有点点区别，与上次有很大的改进了，服务态度还不错', '短评打分': 5}
{'短评内容': '这里的环境很好安静，海滩呢人很少，可能是因为比海滩的质地没有银滩好，看个人喜好了。来这里的时候最后和酒店的人说清楚要定中间看海的，如果定在了2边感觉就要差一些，特别是6楼01，02号房间，阳台前面是个大圆顶平台，很影响景观。周边的环境没有银滩好，因为这里是侨港地带，都是侨民和渔民，素质相对差点。', '短评打分': 5}
{'短评内容': '北海与大海最亲密接触的酒店了，最好的是它家还有看得到大海的游泳池，我女儿非常喜欢。早餐一般。', '短评打分': 3}
{'短评内容': '酒店下面就有海滩，人也不多，感觉比银滩还好，银滩的人太多，而且在这里游泳，冲澡很方便游。还有泳池也可以游，晚上有烧烤。', '短评打分': 3}
{'短评内容': '酒店就有海滩，比银滩的人少很多，也可以在游泳池完，游泳后可以直接回房间冲澡。房间里就有电脑，自己不用带，很方便。', '短评打分': 5}
{'短评内容': '酒店后面就是海滩，很漂亮，孩子也很喜欢！', '短评打分': 5}
{'短评内容': '酒店位置不错,离海滩很近,而且自己拥有一个泳池,早餐也可以,不足之处是交通不太方便,而且靠的银滩不是正宗的人们常指的银滩.', '短评打分': 5}
{'短评内容': '房间有一股味道 不喜欢 除了离海比较近比较方便以外没什么好的 早餐也做得很差', '短评打分': 1}
