{'descr': '还是很不错的', 'star': 5}
{'descr': '地点不错，周边购物饮食方便，门口有单车，地铁站十几分钟不行，公交车十分钟', 'star': 5}
{'descr': '没有早餐，小孩10岁以下，我认为没问题吧！酒店位置好，北京东城区，市中心，方便出行！', 'star': 4}
{'descr': '很满意，服务周到，有停车场！', 'star': 5}
{'descr': '房间墙壁有血迹，位置特别不好找，酒店前台不让登记香港人的证件，服务态度特别差，卫生间设施还非常糟糕。', 'star': 1}
{'descr': '每次都会去住 挺好的', 'star': 5}
{'descr': '酒店很好，服务到位，环境也不错，地理位置好', 'star': 5}
{'descr': '位置好，服务好', 'star': 5}
{'descr': '酒店位于一个小胡同里，离地铁还蛮近的，周围环境一般，酒店还算干净', 'star': 4}
{'descr': '一直从这里买，感觉还不错，主要是价格实惠。', 'star': 5}
{'descr': '地方闹钟取静，在居民区中，离地铁口相对较近！房间比较小！', 'star': 5}
{'descr': '酒店位置不错，东四六条胡同里很安静，就是房间不大', 'star': 5}
{'descr': '很便宜还不错', 'star': 5}
{'descr': '因为提前支付了房款，所以几点到都可以。张自忠路地铁站出来，要走五分钟，如果行李多建议打个车。沿路很多便利店，饭馆，水果店，办理入住很快，房间有点小，不过性价比还可以。服务很好，需要什么都尽量满足。', 'star': 5}
{'descr': '！！！！！！！！！', 'star': 5}
{'descr': '0', 'star': 5}
{'descr': '京东服务没的说 绝对很棒', 'star': 5}
{'descr': '帮朋友订的，朋友说很好，酒店在胡同里的，很安静，朋友头一次住胡同很兴奋。酒店里的服务员态度很好，干净。', 'star': 4}
{'descr': '北京大城市住住快捷酒店不错的！干净！大床房舒服！酒店附近就有很多小吃店！地理位置也不错！交通也很方便！地铁公交都有', 'star': 5}
{'descr': '酒店服务态度好，环境不错，房间卫生干净，价格实惠，离市中心近，交通和吃饭方便，下次旅游会再选这里的酒店住', 'star': 5}
{'descr': '很好！', 'star': 5}
{'descr': '离南锣鼓巷还是有点距离的，在一条小胡同里，位置不太好找，是拿之前的比较老的楼改的，不过设施倒是干净整洁，旅行和出差亦可', 'star': 5}
{'descr': '缩在北京老胡同里的酒店，房间还蛮干净。', 'star': 4}
{'descr': '一定看好时间', 'star': 4}
{'descr': '位置不错，去哪儿都方便。不过酒店在一个胡同里，第一次找可能不太容易。服务、房间卫生都不错。入住时唯一遇到的麻烦就是房卡经常打不开房门，去前台跑了两三次，才算彻底解决这个问题。', 'star': 5}
{'descr': '位置不错，挺清净的，卫生间也很干净，去南锣鼓巷、后海走路也不算太远噢，附近的小吃很多，味道也不错。下次还会住。', 'star': 3}
{'descr': '卫生不错，服务还行，屋子也挺暖和！', 'star': 5}
{'descr': '不错！', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '房间很老旧，墙壁都有些斑驳了，只有大厅WIFI，没有网线，床铺潮', 'star': 3}
