{'短评内容': '没有早餐，不能加床', '短评打分': 2}
{'短评内容': '还不错、各方面比较满意', '短评打分': 5}
{'短评内容': '整体来说不错，因为酒店时间较长了，部分设施有点陈旧，有待改善。还是比较干净整洁的，服务员态度很好，服务好', '短评打分': 4}
{'短评内容': '房间整洁度不错，有点小，也很干净', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很好的一次住宿', '短评打分': 5}
{'短评内容': '很好的一次住宿', '短评打分': 5}
{'短评内容': '很好，值得推荐', '短评打分': 5}
{'短评内容': '很好，值得推荐', '短评打分': 5}
{'短评内容': '服务很好 环境很好 地点很好', '短评打分': 5}
{'短评内容': '噪音大，设施陈旧，洗刷间设施损坏！失望！', '短评打分': 1}
{'短评内容': '因为离客户很近就选择了这家酒店，这是感觉最不好的一次入住', '短评打分': 2}
{'短评内容': '一如既往的好！每次来都是住这！下次还是会继续！', '短评打分': 5}
{'短评内容': '修路交通不便，房间小，有异味', '短评打分': 3}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '酒店还可以，但是没有像评论的那样，如同如家，距离火车站也没有预期的近', '短评打分': 5}
{'短评内容': '差不多的酒店，还有很高的提升空间，建议朋友们入住。服务还好', '短评打分': 5}
{'短评内容': '入住不错，服务好，餐饮便宜，值得推荐。值得推荐.值得推荐', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 3}
{'短评内容': '    如家的价格，如家的设备，如家的服务。比较便宜，也就不挑了。', '短评打分': 1}
{'短评内容': '还不错，这个价位的酒店还算值。\r\n居然字数不够', '短评打分': 5}
