{'短评内容': '早餐还行', '短评打分': 4}
{'短评内容': '老牌酒店，除了设施有点老旧，其他还是非常满意的，房间也非常干净，前台能用英语沟通，非常的好！', '短评打分': 5}
{'短评内容': '各方面都不错，交通都挺方便。', '短评打分': 5}
{'短评内容': '挺好的，早餐也还可以，距离地铁11号线地铁站较近。', '短评打分': 5}
{'短评内容': '朋友说不错很好', '短评打分': 5}
{'短评内容': '这个酒店其实已经蛮旧的咯。九几年就开业的吧。内部软件硬件条件都一般。但是离轨道交通很方便。离我办事的地方也很近。', '短评打分': 4}
{'短评内容': '老字号饭店，又是咱江苏的名号，给个赞！家人在酒店参加培训，我带孩子白相大上海！酒店工作人员亲和力也不错的！', '短评打分': 5}
{'短评内容': '比较方便', '短评打分': 4}
{'短评内容': '在上海这样的地方还算行吧', '短评打分': 4}
{'短评内容': '总体性价比还算比较高的…', '短评打分': 5}
{'短评内容': '比较老的酒店，酒店里设施还不错，总体比较满意', '短评打分': 4}
{'短评内容': '酒店地理位置优越，紧临地铁口，交通非常方便。周边吃饭消费都很方便。老牌酒店了设施相对陈旧一些，其他都还好。', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '酒店位置很好。出行什么的比较方便。大堂和停车相对方便，打车也方便。 网上预订的是单间和双间，预留竟然不在同一幢楼内。后来我们要求安排一起，酒店给放在临街的楼。我们在二楼，房间设施由于时间原因相对比较显旧。地面会随着走动有震动。可见很久了。不过WIFE还好，而且我们都属于不太较真的。也没有时间去对比后面的新楼。 一楼的早餐还可以，有热干面。而且据我们领导在酒店的用餐经历来讲，非常赞赏餐厅的服务理念，', '短评打分': 5}
{'短评内容': '经常住', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '总体还好，服务员需要在负点责任，我去定了两天居然给搞成一天第二天刷不开门了，又重新设置才好。还有就是没有电脑。', '短评打分': 5}
{'短评内容': '不错的酒店，就是早餐简单了点，但是够吃。不错的酒店。', '短评打分': 5}
{'短评内容': '感觉算不上四星的，不过在上海也差不多了。像很多顾客说的，早餐可以在优化一下。', '短评打分': 5}
{'短评内容': '酒店综合来说，不错！下次还会入住。如果早餐样式再多些就好了！', '短评打分': 5}
{'短评内容': '还算可以！\n还算可以！\n还算可以！\n还算可以！\n还算可以！', '短评打分': 5}
